,bins,qlp_snr,spoc_snr
0,1.0,0.00015264845061822624,0.0
1,2.6333333333333333,0.00034985051841485913,0.0002192982456140351
2,4.266666666666667,0.007951070336391437,0.005991440798858773
3,5.9,0.08965738072366314,0.07453666398066076
4,7.533333333333333,0.33344086021505376,0.2991718426501035
5,9.166666666666666,0.5774743104380746,0.52841973766396
6,10.8,0.7048800661703888,0.6923893805309734
7,12.433333333333334,0.7648410570662582,0.7818336162988115
8,14.066666666666666,0.8147587102358796,0.8038825286212046
9,15.7,0.8407014077550012,0.8439955106621774
10,17.333333333333332,0.8485103991006183,0.8554838709677419
11,18.966666666666665,0.8401714635639926,0.8394698085419735
12,20.6,0.8539553752535497,0.872954014029618
13,22.233333333333334,0.8623616236162361,0.8704974271012007
14,23.866666666666667,0.8653212520593081,0.86983842010772
15,25.5,0.8776619845944721,0.8693918245264207
16,27.133333333333333,0.8811691423095352,0.8716075156576201
17,28.766666666666666,0.8701508620689655,0.8702928870292888
18,30.4,0.8692620569436375,0.8651428571428571
19,32.03333333333333,0.8650497512437811,0.8898007033997656
20,33.666666666666664,0.8791134989926125,0.8770806658130602
21,35.3,0.880354505169867,0.864247311827957
22,36.93333333333333,0.8822618125484121,0.884318766066838
23,38.56666666666666,0.8779631255487269,0.8908296943231441
24,40.2,0.8922528940338379,0.9050991501416431
25,41.833333333333336,0.8917874396135266,0.8872180451127819
26,43.46666666666667,0.8590956887486856,0.8766025641025641
27,45.1,0.8809523809523809,0.8884826325411335
28,46.733333333333334,0.8839907192575406,0.8802083333333334
29,48.36666666666667,0.902676399026764,0.8917910447761194
30,50.0,0.885952712100139,0.8635394456289979
