,bins,qlp_snr,spoc_snr
0,1.0,0.0004550773631517358,0.0
1,2.6333333333333333,0.00040500405004050043,0.0005224660397074191
2,4.266666666666667,0.0083540302551366,0.008297480024585127
3,5.9,0.10214592274678111,0.09279171644763043
4,7.533333333333333,0.32450422964914716,0.32991803278688525
5,9.166666666666666,0.5205945558739254,0.5593116164720344
6,10.8,0.6213030909495219,0.686923076923077
7,12.433333333333334,0.6853018372703412,0.7841191066997518
8,14.066666666666666,0.7175043327556326,0.8279158699808795
9,15.7,0.7541039671682627,0.8522114347357066
10,17.333333333333332,0.7519878833775085,0.8419689119170984
11,18.966666666666665,0.7820568927789935,0.85
12,20.6,0.805531914893617,0.8916913946587537
13,22.233333333333334,0.8102493074792244,0.8694968553459119
14,23.866666666666667,0.8165091994032819,0.8916967509025271
15,25.5,0.8335146898803046,0.8877118644067796
16,27.133333333333333,0.8445859872611465,0.8848368522072937
17,28.766666666666666,0.8532716457369465,0.881104033970276
18,30.4,0.8573508005822417,0.8807339449541285
19,32.03333333333333,0.8578088578088578,0.9245283018867925
20,33.666666666666664,0.8522012578616353,0.899749373433584
21,35.3,0.8560669456066946,0.8994708994708994
22,36.93333333333333,0.8664965986394558,0.899135446685879
23,38.56666666666666,0.8643744030563515,0.8830769230769231
24,40.2,0.8669314796425025,0.9115853658536586
25,41.833333333333336,0.8641425389755011,0.9201183431952663
26,43.46666666666667,0.8730853391684902,0.9133333333333333
27,45.1,0.8605830164765526,0.9071428571428571
28,46.733333333333334,0.870026525198939,0.9377162629757786
29,48.36666666666667,0.8781954887218045,0.9158249158249159
30,50.0,0.8586626139817629,0.8851851851851852
