tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
110699718,154.88166189124794,1.037325712998754,1.0401349003191016,55.73839903324468,4.143562796843448e+18,270.622106801399,-18.0726174378759,1.33579,13.6767,15.211,0.028,14.479,0.092,12.875,0.022,12.533,0.021,12.374,0.023,14.223,0.000581,14.6647,0.00257,13.6143,0.002144,12.482,0.036,12.736,0.041,11.559,,8.672,,Theia653,154.88166189124794,Kounkel2020,5715.0,1.13161,1.02,[11],1,,,,,,,,,0,,0,,0,,0
138829652,8.054993754515346,11.344792088907775,2.420841410476848,12.612059800537567,3.236473469190447e+18,82.65725,4.05861,1.53124,12.3448,13.354,0.077,12.841,0.092,11.81,0.021,11.562,0.023,11.474,0.022,12.7013,0.000304,12.962,0.001912,12.2832,0.001447,11.442,0.022,11.469,0.02,11.553,0.236,8.781,,OSFC,10.0,roquette25,6320.29,1.42791,1.25,[12],1,,,,,,,,,0,,0,,0,,0
118372177,45.70881896148752,3.6783040212676186,8.507653583787796,2.7672494449252643,4.094738605044904e+18,273.641748759637,-19.0986674036521,0.533141,14.2386,15.357,0.204,14.852,0.218,12.932,,12.999,0.123,12.929,0.073,14.8106,0.000388,15.2765,0.001641,14.1752,0.000934,,,,,,,,,Theia1959,45.70881896148752,Kounkel2020,5750.0,2.19933,1.03,[11],1,,,,,,,,,0,,0,,0,,0
144668988,10.03079090786412,3.353787125555048,5.195087624887513,13.981118647187026,3.3344026018940283e+18,84.81242178,7.788734621,2.71807,14.5607,17.966,0.165,16.206,0.149,12.974,0.024,12.289,0.027,12.101,0.029,15.5957,0.002967,16.7705,0.01269,14.515,0.007841,11.973,0.024,11.89,0.023,11.6,0.349,8.493,,OSFC,10.0,roquette25,3792.0,0.903984,0.577,[5],1,13.981118647187026,3.353787125555048,0.0011518228165780225,0.004762808003832355,0.004924369258428845,98.88937348062436,2.145751048757171,0.08842241024606345,0,4.900936896583176,0,,0,,0
89007882,524.8074602497734,0.9439464840179668,0.7485698034252213,6.403622533959274,3.3487611629002506e+18,89.5266291927069,15.6131770513395,0.752868,14.2242,15.663,0.054,14.921,0.149,13.444,0.025,13.159,0.025,13.027,0.027,14.7176,0.000408,15.1068,0.00182,14.1615,0.002158,13.037,0.025,13.061,0.028,11.933,0.306,8.804,,Theia5017,524.8074602497734,Kounkel2020,6071.0,1.38843,1.13,[16],1,,,,,,,,,0,,0,,0,,0
124196225,117.48975549395304,20.795172880635445,5.744565499968317,5.164735209588851,3.099226621020252e+18,103.981098807912,-7.21449757340186,0.332373,16.0111,16.952,0.121,16.7775,0.0459,15.2,0.054,14.935,0.079,14.554,0.108,16.5586,0.000661,16.969,0.006696,15.9105,0.00338,14.543,0.035,14.55,0.074,12.563,,8.823,,NGC_2309,117.48975549395304,Cantat-Gaudin2020,6575.0,1.40148,1.37,[27],1,,,,,,,,,0,,0,,0,,0
49306959,102.32929922807536,2.06045803266614,2.1862991057319525,16.97603782081374,2.926023234359336e+18,101.579212489407,-22.0397807789518,1.34721,15.8458,18.37,0.045,17.0474,0.0459,14.744,0.028,14.178,0.045,14.08,0.064,16.6063,0.000503,17.3305,0.004189,15.7865,0.001939,13.944,0.026,13.992,0.041,12.161,,9.11,,Theia476,102.32929922807536,Kounkel2020,4368.0,0.655859,0.68,[14],1,,,,,,,,,0,,0,,0,,0
34436546,50.0,6.533764374339523,3.2435361886153085,6.755505172316143,2.944876216640182e+18,95.2753460743434,-16.3332116608569,2.54745,12.9925,14.773,0.026,13.776,0.114,12.121,0.024,11.701,0.023,11.581,0.023,13.5731,0.001733,14.0613,0.006437,12.9363,0.004125,11.5,0.023,11.523,0.022,11.569,0.188,9.082,,LP 2383,50.0,Pang2022,5263.0,0.899951,0.9,[26],1,,,,,,,,,0,,0,,0,,0
31469302,446.6835921509635,2.0288554207500464,7.663946034595435,46.03417138843083,4.202215209500778e+18,282.916122164142,-10.9635364868197,0.576447,15.7792,18.232,0.046,16.7714,0.0461,14.836,0.029,14.496,0.026,14.389,0.079,16.4508,0.001099,17.0285,0.009435,15.7256,0.004155,14.466,0.042,15.149,0.125,12.427,,8.854,,Theia4701,446.6835921509635,Kounkel2020,5386.0,1.21145,0.93,[19],1,,,,,,,,,0,,0,,0,,0
318408213,724.4359600749891,2.2100531551601974,10.817772433722098,67.1573971911504,3.0488781281611453e+18,109.646442149234,-7.81017624220063,0.33957,15.7133,17.14,0.116,16.4633,0.0459,14.874,0.037,14.394,0.038,14.352,0.087,16.2524,0.000909,16.6796,0.005305,15.6427,0.003188,14.336,0.036,14.658,0.073,12.521,,8.681,,Theia5719,724.4359600749891,Kounkel2020,5612.0,1.61912,0.99,[2],1,,,,,,,,,0,,0,,0,,0
42564909,650.0,1.9553346134579523,4.164860591949472,25.67326114143457,3.116672125340837e+18,96.6333349661688,-3.7314327789049,8.93637,15.0125,19.771,0.162,,,13.372,0.022,12.827,0.023,12.556,0.024,16.3151,0.001547,17.8955,0.016681,15.092,0.003689,12.392,0.023,12.233,0.023,12.582,0.416,9.246,,Hyades,650.0,Roeser2019,3277.0,0.275216,0.248615,[3],1,,,,,,,,,0,,0,,0,,0
220188083,4265.795188015934,3.007284551008028,10.105744806245273,76.45709025132781,3.326783467351573e+18,99.2207747723644,9.50087218923877,0.315382,16.9535,17.406,0.111,18.0125,0.0462,15.928,0.091,15.626,0.112,15.266,0.164,17.6607,0.001799,18.2343,0.005954,16.8649,0.008433,,,,,,,,,Trumpler_5,4265.795188015934,Cantat-Gaudin2020,5878.0,1.18459,1.06,[15],1,,,,,,,,,0,,0,,0,,0
300986111,93.32543007969906,3.567885410693103,41.10375397938687,3.8064976707939975,4.321129973352516e+18,289.970064166286,16.4928871357585,1.35171,13.7279,,,14.981,0.103,12.531,0.047,12.082,0.056,11.935,0.059,14.5342,0.000306,15.2597,0.003709,13.6933,0.000981,11.591,0.044,11.62,0.047,11.919,,8.931,,Theia268,93.32543007969906,Kounkel2020,5725.0,1.58594,1.02,[9],1,,,,,,,,,0,,0,,0,,0
