,bins,qlp_snr,spoc_snr
0,1.0,0.0,0.0
1,2.6333333333333333,0.0006180469715698393,0.0011723329425556857
2,4.266666666666667,0.0028763183125599234,0.0
3,5.9,0.015915119363395226,0.013409961685823755
4,7.533333333333333,0.10344827586206896,0.06733167082294264
5,9.166666666666666,0.2627906976744186,0.2478134110787172
6,10.8,0.41131105398457585,0.39114391143911437
7,12.433333333333334,0.5470588235294118,0.4962962962962963
8,14.066666666666666,0.5407407407407407,0.5025125628140703
9,15.7,0.5433962264150943,0.5885167464114832
10,17.333333333333332,0.5662100456621004,0.603448275862069
11,18.966666666666665,0.5308056872037915,0.5955882352941176
12,20.6,0.5326633165829145,0.5592105263157895
13,22.233333333333334,0.585,0.5483870967741935
14,23.866666666666667,0.6190476190476191,0.5081967213114754
15,25.5,0.7006369426751592,0.49038461538461536
16,27.133333333333333,0.6950354609929078,0.5897435897435898
17,28.766666666666666,0.7217391304347827,0.5784313725490197
18,30.4,0.7319587628865979,0.5760869565217391
19,32.03333333333333,0.7985074626865671,0.6891891891891891
20,33.666666666666664,0.7291666666666666,0.7011494252873564
21,35.3,0.7647058823529411,0.7741935483870968
22,36.93333333333333,0.8235294117647058,0.7301587301587301
23,38.56666666666666,0.8780487804878049,0.6575342465753424
24,40.2,0.8839285714285714,0.7654320987654321
25,41.833333333333336,0.8709677419354839,0.7540983606557377
26,43.46666666666667,0.8554216867469879,0.7796610169491526
27,45.1,0.8961038961038961,0.7402597402597403
28,46.733333333333334,0.875,0.7096774193548387
29,48.36666666666667,0.8933333333333333,0.7647058823529411
30,50.0,0.8333333333333334,0.8181818181818182
