tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
469102557,4.0398044958986926e+18,266.780395694311,-38.1121671146491,7.11363,6.4375,6.382,0.024,6.41,0.03,6.409,0.026,6.429,0.038,6.425,0.023,6.38851,0.000475357,6.40121,0.003177,6.41305,0.003021,6.372,0.095,6.4,0.023,6.501,0.017,6.586,0.117,Hyades,650.0,Roeser2019,10495.0,2.52419,2.71
200950754,5.960483221774713e+18,261.663007297983,-39.1874398757042,0.533612,14.7888,16.392,0.083,15.671,0.126,13.794,0.053,13.449,0.07,13.45,0.081,15.3223,0.000903,15.7541,0.002941,14.6975,0.002733,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7561.0,1.55145,1.75
200945745,5.960433773759133e+18,261.77406628443,-39.3289427597483,0.304992,16.135,18.424,0.123,16.496,0.15,15.077,0.062,14.771,,14.522,,16.8722,0.001412,17.4883,0.013577,16.0422,0.008866,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7060.0,1.89165,1.56
200950587,5.960432919109968e+18,261.767941323302,-39.4097538762552,0.262072,15.2679,,,16.739,0.161,13.716,0.059,13.085,0.069,12.835,0.109,16.0507,0.000691,16.7275,0.013703,15.1914,0.003188,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7047.0,3.4026,1.56
200955703,5.960429929812675e+18,261.777739122055,-39.4236284839218,0.236035,14.3787,,,15.508,0.092,13.057,0.032,12.624,0.036,12.487,0.041,15.1805,0.000636,15.8886,0.005192,14.3126,0.004322,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7123.0,5.76128,
200960744,5.960434804551412e+18,261.741223038377,-39.3007762336915,0.303362,15.4129,17.845,0.115,16.418,0.229,14.37,0.047,13.931,0.065,14.01,0.09,16.1288,0.000946,16.7466,0.00797,15.3397,0.003471,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7173.0,2.56057,1.6
1540258421,5.960402746914098e+18,261.71624463541,-39.629897857168,0.316717,16.5095,,,17.5308,0.0468,,,,,,,17.1906,0.00115,17.7563,0.017708,16.4112,0.008164,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7415.0,1.42752,1.69
1540334771,5.960429895452903e+18,261.787639911649,-39.4317389525923,0.248123,14.9105,,,16.1337,0.046,,,,,,,15.694,0.000556,16.3801,0.004098,14.8386,0.005716,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7189.0,4.21081,1.61
464046346,5.96043350318778e+18,261.800195863853,-39.3521856108547,0.208797,15.7126,,,16.758,0.081,14.471,0.041,14.136,0.077,13.958,0.084,16.4944,0.000982,17.1565,0.006712,15.6139,0.00339,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,7339.0,,
464047446,5.960429998532021e+18,261.83061996395,-39.4427041005173,0.35793,15.0551,17.302,0.109,16.146,0.126,14.09,0.02,13.782,0.029,13.749,0.044,15.6175,0.000556,16.0982,0.003787,14.9604,0.002253,,,,,,,,,LP_866,1905.4607179632444,Cantat-Gaudin2020,8247.0,2.11105,2.02
408858930,5.960685325707597e+18,265.189038964588,-40.3730389521159,0.582021,13.7595,14.471,0.054,14.213,0.126,13.041,0.052,12.819,0.042,12.754,0.038,14.1533,0.001016,14.4256,0.004321,13.6544,0.003498,,,,,,,,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,7297.0,1.87222,1.65
409254720,5.960715180018223e+18,265.304638219609,-40.1214106787307,0.780102,12.1162,11.565,0.303,12.292,0.08,11.689,0.022,11.704,0.022,11.656,0.019,12.2231,0.000416,12.3134,0.004479,12.0172,0.001888,11.687,0.028,11.81,0.033,11.781,,8.439,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,10728.0,1.99369,2.78
409255259,5.960711675320497e+18,265.349896187188,-40.1830584463477,0.582984,12.029,12.251,0.011,12.158,0.069,11.698,0.043,11.636,0.068,11.625,0.052,12.097,0.000294,12.1666,0.003422,11.9225,0.001627,10.997,0.024,11.133,0.024,12.135,,8.416,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,13070.0,,
409325693,5.960694598557352e+18,265.375857185722,-40.4722922893254,0.592209,12.977,13.279,0.017,13.16,0.115,12.599,0.057,12.514,0.088,12.469,0.062,13.1121,0.000684,13.2282,0.002649,12.8805,0.003475,12.412,0.036,12.5,0.037,12.372,,8.523,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,10453.0,1.83072,2.7
409421482,5.96071734906746e+18,265.445268434349,-40.1149459887044,0.617118,13.8049,15.442,0.11,14.323,0.16,13.164,,12.953,0.046,12.835,0.044,14.2064,0.000353,14.516,0.003367,13.7274,0.001074,,,,,,,,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,7374.0,1.74947,1.68
147872951,5.960706628827042e+18,265.55523064762,-40.1431652255186,0.628491,14.0185,16.245,0.111,14.543,0.092,13.369,0.023,13.124,0.024,13.103,0.025,14.4376,0.000339,14.7655,0.002743,13.9473,0.002298,12.968,0.027,13.239,0.036,12.222,,8.787,,Trumpler_29,51.28613839913648,Cantat-Gaudin2020,7187.0,1.59761,1.61
175721417,5.962142728413459e+18,262.767003483284,-38.0038673352646,0.437174,13.8872,16.352,0.037,15.098,0.115,12.558,0.048,12.293,0.069,11.95,0.074,14.6841,0.00064,15.4345,0.003105,13.814,0.002354,10.822,0.027,10.944,0.029,10.442,,7.786,,UBC_562,11.748975549395302,Cantat-Gaudin2020,8796.0,4.20882,2.21
463809187,5.959592960966846e+18,261.326460079378,-41.6530678084642,1.13231,14.2527,15.889,0.048,14.926,0.103,13.467,0.035,13.086,0.034,12.998,0.04,14.8017,0.000435,15.2572,0.002393,14.1789,0.002262,12.797,0.031,12.966,0.043,10.713,0.365,8.012,,Theia182,141.25375446227554,Kounkel2020,7263.0,0.978811,1.64
199097932,5.960345885889954e+18,260.807550597277,-39.9753616844254,1.13079,13.2644,14.563,0.027,13.873,0.092,12.351,0.023,12.081,0.025,12.016,0.026,13.7313,0.000277,14.079,0.00552,13.1556,0.005386,,,,,,,,,Theia192,245.47089156850336,Kounkel2020,7528.0,1.37165,1.74
326084288,5.974098199346858e+18,261.375226562198,-38.1122107069816,1.07155,15.6585,14.698,0.095,16.7192,0.0463,14.61,0.048,13.877,0.064,13.769,0.077,16.3606,0.001512,16.9699,0.007941,15.5865,0.009095,,,,,,,,,Theia192,245.47089156850336,Kounkel2020,7308.0,0.677159,1.65
262489160,5.962230272681161e+18,264.394374455356,-38.1902430367982,1.19647,11.7161,12.404,0.009,12.085,0.046,11.171,0.024,11.078,0.025,11.024,0.021,11.9559,0.00022,12.1664,0.001723,11.6082,0.001452,10.894,0.026,10.977,0.025,11.039,0.205,8.467,,Theia192,245.47089156850336,Kounkel2020,10606.0,1.91652,2.74
263031740,5.961434776016171e+18,264.568645133847,-38.86007137719,1.07591,13.3508,14.71,0.033,14.089,0.103,12.443,0.026,12.059,0.031,11.958,0.029,13.8786,0.000668,14.2997,0.002987,13.2646,0.001626,11.829,0.029,11.962,0.03,12.189,,8.867,,Theia192,245.47089156850336,Kounkel2020,7230.0,1.52856,1.62
465077412,5.962110602055057e+18,263.413313807212,-38.0046909348558,1.41766,9.1404,9.922,0.062,9.655,0.005,8.423,0.023,8.069,0.026,7.96,0.023,9.44704,0.000385,9.69007,0.001799,9.0684,0.003692,7.845,0.026,7.926,0.02,7.891,0.037,7.332,0.154,Theia192,245.47089156850336,Kounkel2020,8011.0,5.9066,
199843731,5.972481019582878e+18,260.932013221592,-39.2007187544486,1.21693,12.3861,13.107,0.028,12.844,0.08,11.787,0.023,11.633,0.024,11.549,0.028,12.6844,0.000236,12.9068,0.001758,12.3123,0.001331,11.415,0.032,11.593,0.032,12.233,,8.881,,Theia325,169.8243652461746,Kounkel2020,7708.0,1.50585,1.81
463740463,5.972540530652986e+18,261.219488604706,-38.5036993134571,1.15715,13.4798,14.668,0.127,14.078,0.103,12.606,0.041,12.246,0.044,12.006,0.05,13.9379,0.000322,14.298,0.001995,13.3991,0.001605,11.659,0.037,11.847,0.042,11.007,,8.268,,Theia325,169.8243652461746,Kounkel2020,7296.0,,
1546359130,5.972540530652986e+18,261.219488604706,-38.5036993134571,1.15715,13.4798,,,14.1016,0.0459,,,,,,,13.9379,0.000322,14.298,0.001995,13.3991,0.001605,,,,,,,,,Theia325,169.8243652461746,Kounkel2020,7296.0,,
325878338,5.959957689580022e+18,261.458410349689,-41.5379347113467,1.66958,12.0083,12.995,0.031,12.495,0.069,11.384,0.021,11.2,0.024,11.115,0.023,12.3733,0.000336,12.6607,0.002445,11.934,0.001304,11.152,0.024,11.248,0.024,10.655,0.145,8.368,,Theia334,81.28305161640996,Kounkel2020,7700.0,1.44643,1.81
465187943,5.961867090242707e+18,263.552098942337,-38.6106198764682,1.7249,11.8249,12.753,0.013,12.291,0.069,11.257,0.028,10.981,0.03,10.918,0.029,12.1623,0.000216,12.4275,0.002532,11.748,0.001697,10.633,0.026,10.71,0.024,11.087,0.257,8.784,,Theia334,81.28305161640996,Kounkel2020,7921.0,1.471,1.9
465194762,5.96179834074683e+18,263.493983899543,-39.2396166713949,1.5078,13.2081,14.516,0.026,13.859,0.114,12.473,0.049,12.224,0.031,12.103,0.027,13.6688,0.0005,14.0362,0.001605,13.1328,0.001741,,,,,,,,,Theia334,81.28305161640996,Kounkel2020,7283.0,1.05214,1.64
267305813,5.959288121360523e+18,263.280790338833,-41.1730658771438,1.62204,5.7732,5.868,0.023,5.84,0.03,5.563,0.02,5.565,0.031,5.497,0.02,5.79546,0.00160289,5.84674,0.002202,5.69254,0.003943,4.44,0.101,4.62,0.025,5.386,0.009,5.209,0.028,Theia334,81.28305161640996,Kounkel2020,13148.0,,
465325075,5.961917324185698e+18,263.611218671098,-38.1410958654433,1.54762,11.6708,12.22,0.454,12.357,0.053,11.208,0.024,11.07,0.024,11.018,0.023,11.8951,0.000391,12.0699,0.002011,11.5889,0.001496,10.957,0.026,11.16,0.028,11.543,,8.399,,Theia334,81.28305161640996,Kounkel2020,8694.0,1.51189,2.18
465189893,5.961861115994896e+18,263.444883374264,-38.7874487703353,1.20803,13.3706,14.964,0.112,14.055,0.08,12.559,0.023,12.22,0.028,12.168,0.03,13.8726,0.000323,14.2927,0.002325,13.2923,0.001231,11.799,0.028,12.065,0.04,10.3,0.139,7.572,0.175,Theia334,81.28305161640996,Kounkel2020,7748.0,1.29207,1.83
465443995,5.961838782162971e+18,263.794201881395,-38.6751817316619,1.60169,11.2399,11.569,0.192,11.047,0.013,10.855,0.023,10.847,0.024,10.785,0.025,11.3586,0.000714,11.4782,0.002592,11.1397,0.001837,10.772,0.026,10.867,0.026,11.337,0.462,8.761,,Theia334,81.28305161640996,Kounkel2020,12464.0,,
389286732,5.959174253198108e+18,262.493577277873,-41.5931550144339,1.19662,12.2303,13.311,0.01,12.765,0.137,11.58,0.024,11.324,0.028,11.271,0.026,12.6285,0.000237,12.937,0.002007,12.1552,0.001982,11.185,0.026,11.26,0.026,10.98,0.152,8.969,0.45,Theia334,81.28305161640996,Kounkel2020,7358.0,1.89441,1.67
389289616,5.959228674652771e+18,262.496153454535,-41.2779071181486,1.69645,11.7366,12.594,0.01,12.203,0.069,11.219,0.026,11.027,0.024,10.974,0.019,12.0596,0.000227,12.3071,0.002059,11.6697,0.001176,10.934,0.025,11.002,0.024,11.845,0.384,8.71,,Theia334,81.28305161640996,Kounkel2020,7515.0,1.5171,1.73
