tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
353663661,4.51615560781309e+18,289.074668126317,19.3461653233075,0.408683,15.261,18.162,0.168,16.793,1.133,13.944,0.029,13.532,0.037,13.347,0.041,16.1827,0.000679,17.0488,0.005213,15.2533,0.002173,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5723.0,2.93106,1.02
353664515,4.516183576641246e+18,289.042711623793,19.457055154857,0.330351,11.478,16.235,0.0,13.935,0.114,9.58,0.021,8.609,0.026,8.296,0.019,12.7902,0.000399,14.2632,0.003223,11.6109,0.000755,8.121,0.023,8.25,0.019,8.099,0.027,8.035,0.223,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4271.0,42.1354,
353665699,4.516234257257879e+18,289.046224749831,19.623044077079,0.300704,15.1364,19.324,0.165,16.742,0.435,13.769,0.031,13.303,0.039,13.12,0.042,16.0797,0.000749,16.9679,0.006041,15.1257,0.002483,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6453.0,4.06732,1.31
354059921,4.5162417820410906e+18,289.153684561489,19.7760579455117,0.34982,15.8929,19.206,0.168,17.4141,0.0462,14.676,0.033,14.225,0.043,13.982,0.056,16.8194,0.000914,17.6891,0.007498,15.8835,0.005463,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5649.0,2.57699,1.0
354060318,4.516240957407752e+18,289.145571718567,19.7192400258136,0.261065,14.8767,17.981,0.168,16.352,0.355,13.63,0.029,13.221,0.035,12.986,0.035,15.7589,0.000598,16.5778,0.004497,14.8551,0.00181,12.822,0.045,12.926,0.049,11.219,,8.736,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6560.0,4.72041,1.36
354060569,4.516240716889139e+18,289.123945125546,19.6784575802037,0.313667,15.1297,18.409,0.167,16.461,1.133,13.858,0.027,13.435,0.031,13.158,0.034,16.0435,0.00067,16.8942,0.003364,15.1142,0.001818,13.011,0.031,13.004,0.035,12.019,,8.751,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6086.0,3.81843,1.14
354060937,4.516192681972335e+18,289.173519528849,19.6221542489752,0.260989,12.0706,17.871,0.167,14.723,0.126,10.142,0.02,9.136,0.016,8.83,0.019,13.4335,0.000372,14.9734,0.004131,12.2288,0.000894,8.63,0.023,8.732,0.02,8.675,0.034,9.069,0.504,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4331.0,41.9122,
354061891,4.516181824294535e+18,289.186022378331,19.494050647175,0.250156,13.8526,18.869,0.161,16.058,0.126,12.054,0.02,11.219,0.016,10.908,0.019,15.0665,0.000435,16.353,0.006283,13.9388,0.00131,10.733,0.024,10.852,0.022,10.922,0.162,8.684,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4620.0,14.919,
354061943,4.516184637465736e+18,289.157520743783,19.4870340677445,0.224963,16.5397,20.05,0.172,18.024,0.0463,15.185,0.051,14.897,0.084,14.559,0.101,17.4499,0.000947,18.3026,0.009498,16.5298,0.004652,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6074.0,2.49093,1.14
354061078,4.516192338374925e+18,289.203466188639,19.603147552311,0.220224,15.4235,,,17.5136,0.0476,13.831,0.028,12.155,,13.017,0.037,16.5856,0.000782,17.7638,0.015883,15.4909,0.003254,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5717.0,6.46505,
354061666,4.516185191548912e+18,289.206391738364,19.522068080662,0.215562,16.5197,20.188,0.17,18.3099,0.0468,14.996,0.049,14.454,0.056,14.204,0.078,17.5613,0.001316,18.5765,0.011698,16.5418,0.005597,14.004,0.047,14.171,0.077,11.938,,8.882,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5566.0,3.24229,
354204883,4.516166499851043e+18,289.240269110586,19.3240632481127,0.245947,16.3828,19.609,0.174,18.0145,0.0467,15.061,0.054,14.68,,14.145,,17.3579,0.000874,18.2813,0.011873,16.3803,0.005359,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5901.0,2.84782,1.07
354205941,4.516178834997179e+18,289.225999635675,19.3950681946102,0.336581,13.7377,17.835,0.163,15.626,0.137,12.143,0.023,11.449,0.023,11.221,0.018,14.824,0.000346,15.9259,0.004202,13.7774,0.001663,11.085,0.024,11.192,0.023,11.488,0.334,8.553,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4787.0,9.88439,
354206077,4.516168527075655e+18,289.265865260961,19.4037099222479,0.335028,16.4812,19.615,0.171,18.1174,0.0484,15.022,0.047,14.528,0.063,14.388,0.09,17.4579,0.001075,18.3786,0.022522,16.4731,0.005029,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5601.0,2.208,0.99
354206156,4.516168561435384e+18,289.289938079733,19.4083377001538,0.384846,15.3488,18.518,0.169,16.446,0.709,13.9,0.038,13.427,0.047,13.261,0.046,16.2787,0.000687,17.1263,0.009394,15.3141,0.007005,12.826,0.048,12.896,0.051,11.922,,8.645,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5660.0,,
354206312,4.5161685957955226e+18,289.297774105643,19.4165391071583,0.27947,15.7984,18.772,0.17,17.3582,0.0463,14.482,0.036,14.04,0.038,13.776,0.052,16.742,0.000801,17.6234,0.008705,15.7841,0.005578,13.603,0.036,13.752,0.048,11.839,,8.807,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6103.0,3.22043,1.15
354206360,4.516180518624378e+18,289.229869387077,19.4197973894826,0.243874,16.4804,19.245,0.075,17.9641,0.0466,15.141,0.049,14.858,0.076,14.377,0.082,17.3903,0.001152,18.2265,0.012264,16.4541,0.005435,14.259,0.059,14.481,0.099,12.213,,8.39,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6116.0,2.44898,1.15
354206393,4.516168664515007e+18,289.289542623987,19.4221559650146,0.356146,13.9775,18.57,0.162,16.035,0.137,12.202,0.024,11.442,0.026,11.212,0.021,15.1627,0.000431,16.419,0.005608,14.0487,0.001113,10.845,0.023,10.924,0.021,10.969,0.183,8.961,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4493.0,10.0422,
354206863,4.516180724782831e+18,289.239393757937,19.4510344091817,0.326419,15.4683,18.714,0.167,16.706,0.16,14.126,0.029,13.748,0.033,13.648,0.042,16.3548,0.000718,17.1514,0.009213,15.4237,0.003897,13.386,0.025,13.605,0.034,11.778,,8.409,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6325.0,3.00168,1.25
354207007,4.516180759142576e+18,289.244285519831,19.4606290868535,0.305473,13.8429,17.941,0.163,15.693,0.149,12.177,0.023,11.455,0.023,11.225,0.018,14.9783,0.000428,16.1384,0.004903,13.9008,0.001581,11.001,0.023,11.069,0.022,11.059,0.187,8.923,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4944.0,10.7996,
354207080,4.516181132775711e+18,289.254933412724,19.4652373289775,0.419136,16.2485,19.439,0.169,17.7345,0.0471,14.66,0.041,14.206,0.051,13.805,,17.1596,0.000911,17.9819,0.014355,16.2078,0.009498,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5929.0,1.77983,1.08
354207128,4.5161808965819e+18,289.292252035314,19.4688508182829,0.302607,16.0443,19.434,0.168,17.5248,0.0467,14.695,0.034,14.278,0.046,14.212,0.065,16.9472,0.000836,17.8002,0.013437,16.0218,0.0041,13.996,0.031,14.29,0.047,11.963,,8.975,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,7184.0,2.49169,1.61
354207218,4.516181893014338e+18,289.248084598045,19.4736272496405,0.256375,16.2995,18.821,0.082,17.8293,0.0474,14.87,0.057,14.284,0.065,13.656,,17.2293,0.000859,18.0705,0.017503,16.2565,0.007626,13.45,0.038,13.549,0.044,11.572,,8.992,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6342.0,2.64435,1.26
354207385,4.5161812014960783e+18,289.2983396586,19.4824764433278,0.36502,16.5128,20.167,0.168,18.1978,0.0468,15.16,0.038,14.675,0.055,14.553,0.086,17.5103,0.001119,18.4559,0.012364,16.5089,0.006293,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6219.0,2.00865,1.2
354207506,4.51618127453904e+18,289.290016769932,19.4905409681554,0.296394,16.2037,19.539,0.169,18.0253,0.0477,14.764,0.041,14.234,0.049,13.603,,17.2584,0.001092,18.2842,0.016889,16.2239,0.007221,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6193.0,2.97481,1.19
354207623,4.516182030453298e+18,289.270831836587,19.4973899922597,0.214138,16.0527,19.892,0.166,17.7767,0.0479,14.669,0.033,14.142,0.037,14.016,0.052,17.0671,0.001,18.0454,0.019589,16.0662,0.003209,14.009,0.056,14.369,0.077,12.439,,9.255,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5931.0,3.83853,1.08
354207747,4.516182099172788e+18,289.258964326298,19.5044327546455,0.317807,15.5905,19.393,0.165,17.3354,0.0466,14.158,0.025,13.747,0.031,13.59,0.038,16.613,0.000756,17.606,0.011497,15.6084,0.001949,13.442,0.034,13.542,0.046,12.17,,9.239,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5501.0,3.73418,
354208031,4.516182064813047e+18,289.280500043209,19.5154281382842,0.315337,14.1245,19.071,0.163,16.309,0.183,12.338,0.029,11.534,0.021,11.308,0.02,15.3703,0.000484,16.681,0.005102,14.2254,0.001396,11.163,0.03,11.218,0.029,11.085,0.121,9.156,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,4964.0,10.7786,
354208064,4.516187940328302e+18,289.291783210265,19.5172350141368,0.320488,15.1805,19.238,0.161,17.2036,0.0469,13.518,,13.058,0.034,12.902,0.034,16.316,0.000812,17.4641,0.012184,15.2426,0.003146,12.586,0.033,12.685,0.033,12.421,0.356,8.819,0.424,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,5535.0,5.24763,
354208209,4.516182133532541e+18,289.271355588215,19.5261982651402,0.3633,15.614,19.285,0.165,17.3732,0.0479,14.12,0.027,13.61,0.03,13.488,0.037,16.6431,0.000776,17.6228,0.019555,15.6142,0.002812,,,,,,,,,Berkeley_44,1445.439770745928,Cantat-Gaudin2020,6041.0,3.17447,1.12
