tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
390698920,1.827553050287536e+18,296.950416007235,21.9108624207413,1.08817,13.7639,15.501,0.069,14.734,0.195,12.881,0.028,12.571,0.033,12.49,0.032,14.3801,0.00058,14.8953,0.003196,13.7066,0.00166,12.396,0.031,12.486,0.031,12.241,,8.764,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,5875.0,1.44957,1.06
390700766,1.8275718407306127e+18,296.949847398263,22.1241627290683,1.20102,16.5573,19.709,0.17,18.2618,0.0465,15.162,0.043,14.589,0.057,14.429,0.077,17.5644,0.001098,18.5317,0.009411,16.5702,0.006455,,,,,,,,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,3805.0,0.638463,0.618405
390869143,1.8275741815282097e+18,297.035071548512,22.0821594588626,1.19103,15.4003,19.633,0.164,16.817,1.133,13.966,0.029,13.343,0.035,13.11,0.033,16.4367,0.001839,17.4773,0.014733,15.4097,0.005619,12.884,0.035,12.907,0.034,12.481,,9.187,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,4559.0,1.32193,0.72
390870814,1.8275534969639703e+18,297.090267014529,21.9099829240684,1.05179,15.6821,18.577,0.169,17.2186,0.0463,14.256,0.036,13.609,0.064,13.433,0.062,16.6014,0.001622,17.4933,0.008185,15.6524,0.005251,,,,,,,,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,4508.0,1.11533,0.71
390871015,1.8275533595250324e+18,297.068079443815,21.8921939245736,1.07581,13.9836,16.095,0.068,15.188,0.286,12.921,0.029,12.455,0.03,12.282,0.019,14.6959,0.000419,15.3083,0.002431,13.9268,0.001386,12.201,0.027,12.282,0.03,12.075,,8.877,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,5541.0,1.56459,0.98
390871256,1.8275503358680056e+18,297.09047040616,21.8664359804265,1.25815,16.01,19.328,0.176,17.632,0.0474,14.637,0.062,13.961,0.065,13.793,0.06,16.9592,0.001137,17.8889,0.017444,15.9636,0.004397,13.32,0.037,13.494,0.058,12.677,,8.824,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,4319.0,0.859529,0.68
390873931,1.8274038946671345e+18,297.102751548366,21.5765212713656,1.03919,14.1925,16.641,0.066,15.298,0.08,13.193,0.026,12.742,0.031,12.589,0.03,14.881,0.001051,15.4438,0.004958,14.1101,0.003213,12.507,0.031,12.556,0.033,12.142,,8.736,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,5592.0,1.41337,0.99
391187591,1.827560055337368e+18,297.170843036652,21.984790464559,1.09878,8.0491,8.361,0.028,8.2,0.03,7.822,0.023,7.817,0.031,7.847,0.023,8.14173,0.000511,8.25241,0.001298,7.96426,0.00338,7.783,0.025,7.827,0.02,7.949,0.02,8.146,0.231,ASCC_107,16.98243652461746,Cantat-Gaudin2020,12610.0,,
391383043,1.827559750436904e+18,297.34208290817,22.0846696692604,1.18193,14.6544,17.056,0.071,15.644,0.297,13.514,0.038,13.006,0.035,12.898,0.034,15.4365,0.001255,16.1211,0.005338,14.5911,0.005267,,,,,,,,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,5097.0,1.21375,0.86
391865368,1.827535969163495e+18,297.583681192907,22.0648935834818,0.994234,13.3411,,,14.172,0.16,12.423,0.031,12.234,0.035,12.048,0.025,13.9463,0.000275,14.454,0.001625,13.2762,0.00081,,,,,,,,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,6802.0,1.83364,1.46
306088947,1.8260798764810767e+18,295.488234167105,21.0563447309476,0.328881,16.0002,19.205,0.17,17.4454,0.0461,14.686,0.041,14.357,0.053,14.144,0.087,16.8897,0.000751,17.6966,0.00777,15.9536,0.001982,,,,,,,,,Czernik_40,25.118864315095824,Cantat-Gaudin2020,6850.0,2.31881,1.48
362680251,1.825892444128646e+18,295.661667488066,20.9917370779699,0.193852,15.7904,18.639,0.08,16.669,0.263,14.575,0.055,14.214,0.079,14.011,0.05,16.596,0.000638,17.3446,0.005468,15.719,0.002499,,,,,,,,,Czernik_40,25.118864315095824,Cantat-Gaudin2020,8399.0,3.4525,2.08
362680588,1.8258928177545605e+18,295.641007992856,21.0253631640712,0.287041,15.7083,19.019,0.167,17.3639,0.0463,14.396,0.026,14.022,0.032,13.866,0.046,16.6895,0.000663,17.6301,0.009274,15.7025,0.002099,13.964,0.055,14.358,0.093,11.933,,8.754,,Czernik_40,25.118864315095824,Cantat-Gaudin2020,6946.0,3.39148,1.52
362681707,1.82610537140846e+18,295.656816715535,21.1356771988191,0.418958,15.6209,18.434,0.063,16.757,0.217,14.401,0.026,14.03,0.042,13.829,0.04,16.4236,0.000564,17.1347,0.0069,15.5617,0.002359,,,,,,,,,Czernik_40,25.118864315095824,Cantat-Gaudin2020,6935.0,1.95746,1.51
362681716,1.826104924731792e+18,295.686332642647,21.1365498430303,0.0478183,15.7294,19.269,0.167,17.185,0.0462,14.251,0.036,13.839,0.064,13.647,0.051,16.5818,0.000843,17.4433,0.00811,15.6242,0.003887,13.448,0.048,13.798,0.091,12.024,0.333,8.978,,Czernik_40,25.118864315095824,Cantat-Gaudin2020,,,
