tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
179692680,4.269380840149744e+18,286.901998865429,4.32515953069411,0.252488,13.1499,14.63,0.043,14.015,0.126,12.069,0.043,11.871,0.052,11.723,0.051,13.7383,0.000226,14.2386,0.001804,13.0546,0.001337,11.43,0.036,11.498,0.035,11.089,,8.65,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,8095.0,7.10508,
179692697,4.2693808745094815e+18,286.903568949564,4.32620350358616,0.392559,16.018,13.787,0.095,17.1657,0.0461,14.818,0.086,14.497,0.101,14.265,0.114,16.7695,0.00073,17.3949,0.007968,15.936,0.004827,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,6226.0,1.62118,1.2
179692733,4.269380771430241e+18,286.92444572289,4.32888937178753,0.242778,16.1509,18.188,0.075,17.2413,0.0462,15.059,0.042,14.825,0.075,14.378,,16.8697,0.000639,17.4765,0.010205,16.0665,0.003657,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7078.0,2.07102,1.57
179692774,4.269380874509483e+18,286.910841699294,4.33253583224354,0.333885,15.6006,18.902,0.169,16.719,1.133,14.401,0.035,13.886,0.043,13.968,0.055,16.3959,0.000579,17.0896,0.005699,15.5441,0.001916,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,6202.0,2.40492,1.19
179692803,4.269380874509488e+18,286.909483438796,4.33467983309647,0.241188,13.7322,15.542,0.107,14.747,0.126,12.642,0.032,12.427,0.034,12.296,0.035,14.3589,0.000246,14.8899,0.001399,13.6409,0.001035,12.102,0.047,12.102,0.05,11.09,0.269,8.904,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7785.0,5.91122,
179692820,4.269380977588694e+18,286.917448453472,4.33616729322569,0.219965,14.6648,15.93,0.0,15.554,0.103,13.521,0.094,13.225,0.06,13.112,0.064,15.3398,0.000693,15.8993,0.002403,14.5665,0.002126,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7417.0,4.36085,1.7
179692856,4.269380771430252e+18,286.930885612709,4.33940380906273,0.15272,14.6314,12.593,0.05,15.678,0.069,13.541,0.031,13.3,0.025,13.21,0.039,15.2643,0.000326,15.8222,0.00176,14.5176,0.00118,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,9139.0,5.36156,
179692875,4.26938080578999e+18,286.933720269913,4.34110753265689,0.242085,12.8431,14.892,0.066,13.968,0.08,11.736,0.022,11.462,0.021,11.365,0.023,13.5158,0.000349,14.0954,0.001484,12.7669,0.001069,11.084,0.028,11.089,0.03,9.877,0.057,7.952,0.209,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7424.0,9.4672,
179692892,4.269381011948426e+18,286.930506171727,4.34253382047762,0.240077,13.9234,16.699,0.063,15.066,0.137,12.891,0.022,12.677,0.021,12.523,0.022,14.5529,0.000272,15.0893,0.001753,13.8354,0.001086,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7764.0,5.43835,
179692907,4.269380977588698e+18,286.925125928528,4.34420399788655,0.236276,13.8159,,,14.97,0.115,12.737,0.031,12.423,0.033,12.343,0.037,14.4649,0.000253,15.0109,0.002028,13.7234,0.00099,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7611.0,5.93079,
179692937,4.269381011927845e+18,286.926194328062,4.34666616109421,0.296687,11.5501,13.661,0.027,12.96,0.229,9.622,0.029,8.77,0.027,8.471,0.023,12.7532,0.00038,14.0223,0.003539,11.6195,0.001952,8.245,0.023,8.345,0.022,8.292,0.027,8.292,0.304,Czernik_39,138.03842646028866,Cantat-Gaudin2020,4520.0,36.7103,
179693041,4.2693810463082153e+18,286.908788911865,4.35433596125287,0.289749,15.8687,18.965,0.175,17.1101,0.046,14.725,0.054,14.373,0.059,14.252,0.096,16.6634,0.000725,17.3635,0.006908,15.8092,0.002534,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,6815.0,2.32376,1.47
179693048,4.269381011948442e+18,286.934880778395,4.35497976994334,0.251508,16.0691,17.342,0.062,17.2083,0.0463,14.483,,14.561,0.101,13.736,,16.8094,0.000711,17.4268,0.011274,15.9628,0.006135,,,,,,,,,Czernik_39,138.03842646028866,Cantat-Gaudin2020,7462.0,2.17419,1.71
