tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
203495663,4.251765255160416e+18,280.288533196157,-8.31871474338124,8.12807,8.92726,10.041,0.058,9.506,0.004,8.343,0.02,8.062,0.034,8.039,0.034,9.34883,0.000408,9.68525,0.001963,8.88289,0.002117,7.897,0.025,7.933,0.019,7.981,0.037,7.895,0.27,Hyades,650.0,Roeser2019,5925.0,1.38614,1.08
1762801335,4.2519222791373553e+18,280.839087865783,-7.63048028505542,5.15925,17.9678,,,18.3718,0.0466,,,,,,,18.2869,0.003438,18.073,0.025351,17.469,0.024647,,,,,,,,,Hyades,650.0,Roeser2019,,,
1765913260,4.253146001193917e+18,281.319815856603,-6.55509775324621,5.30333,18.33,,,19.5666,0.0565,,,,,,,19.1008,0.012304,19.0603,0.014285,17.4713,0.053105,,,,,,,,,Hyades,650.0,Roeser2019,,,
146287394,4.253261724848331e+18,281.907701156326,-6.08241999275229,0.414175,15.3986,17.108,0.123,16.114,1.133,14.449,0.055,14.051,0.074,13.961,0.083,16.0472,0.001096,16.5708,0.007976,15.3175,0.002921,,,,,,,,,Basel_1,229.086765276777,Cantat-Gaudin2020,6021.0,1.83678,1.11
146290255,4.25328498199065e+18,282.075956046461,-6.01797940766061,0.547494,15.8305,17.517,0.125,16.858,0.0472,14.804,0.06,14.459,0.054,14.187,0.076,16.5199,0.001438,17.013,0.021064,15.6723,0.01099,,,,,,,,,Basel_1,229.086765276777,Cantat-Gaudin2020,5281.0,1.29289,0.91
146291446,4.253257876557313e+18,282.03974344601,-6.12543841123191,0.485049,13.4895,14.175,0.106,14.044,0.092,12.889,0.023,12.794,0.021,12.664,0.021,13.8397,0.000321,14.1059,0.001634,13.405,0.001067,12.667,0.045,12.829,0.056,11.772,,8.049,,Basel_1,229.086765276777,Cantat-Gaudin2020,7804.0,2.37399,1.85
164358199,4.251403378397474e+18,281.186680704258,-9.43433114526345,0.513284,13.382,14.434,0.037,14.012,0.16,12.656,0.032,12.534,0.042,12.375,0.038,13.7888,0.000352,14.0983,0.002132,13.2954,0.001588,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7488.0,2.55393,1.72
164358431,4.251404752786911e+18,281.253848206654,-9.41258585025216,0.587693,15.0341,16.952,0.119,15.714,1.133,14.034,0.048,13.679,0.07,13.61,0.052,15.6632,0.000884,16.138,0.011311,14.9236,0.010513,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,5865.0,1.50789,1.06
164359677,4.25141268548863e+18,281.265631162905,-9.2958060557927,0.514847,14.5912,15.668,-0.044,14.676,0.217,13.369,0.042,12.966,0.054,12.749,0.04,15.1852,0.000629,15.5349,0.008134,14.3684,0.012119,12.877,0.07,13.006,0.08,12.238,,8.099,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,,,
164841188,4.251405474341458e+18,281.271272880546,-9.38021299874749,0.509691,12.945,14.055,0.113,13.55,0.08,12.288,0.033,12.231,0.049,12.089,0.042,13.2847,0.000448,13.5401,0.002436,12.853,0.001889,11.552,0.026,11.731,0.029,11.44,0.268,8.784,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,8005.0,2.88988,1.93
164842027,4.251401449853001e+18,281.297342667589,-9.45381388694438,0.492662,11.9927,13.001,0.492,12.504,0.034,11.366,0.026,11.26,0.035,11.18,0.029,12.3327,0.000347,12.5905,0.002589,11.8937,0.001632,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,8262.0,4.70873,2.03
1761058697,4.25141268548863e+18,281.265631162905,-9.2958060557927,0.514847,14.5912,,,15.4465,0.0463,,,,,,,15.1852,0.000629,15.5349,0.008134,14.3684,0.012119,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,,,
164840926,4.251405435583372e+18,281.308614669278,-9.35853933695583,0.472276,14.2645,,,15.074,0.126,13.402,0.021,13.137,0.021,13.02,0.023,14.8501,0.000562,15.3219,0.00456,14.1929,0.002042,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,6157.0,2.42549,1.17
164841068,4.251402416324618e+18,281.340697689086,-9.37108384602533,0.590756,15.2429,,,16.2326,0.0461,14.254,0.059,13.829,0.095,13.752,0.067,15.9141,0.000929,16.4586,0.008134,15.1602,0.003979,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,5707.0,1.46502,1.02
164841247,4.251408016963008e+18,281.367259693443,-9.38491490861851,0.501818,12.6215,13.041,0.103,13.194,0.114,11.967,0.022,11.875,0.033,11.795,0.029,12.9705,0.0016,13.2324,0.004647,12.5275,0.004065,11.556,0.026,11.733,0.035,10.754,0.125,8.14,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7993.0,3.43866,1.93
164841264,4.251402343206195e+18,281.348711434103,-9.3862097115734,0.507229,12.196,13.481,0.113,12.812,0.103,11.557,0.03,11.454,0.044,11.369,0.035,12.5819,0.000254,12.8794,0.002166,12.1114,0.001019,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7690.0,4.36178,1.8
164841313,4.2514052294247537e+18,281.305615803939,-9.39032067591565,0.605648,13.6802,16.327,0.109,14.395,0.126,12.965,0.029,12.812,0.033,12.641,0.029,14.095,0.000494,14.4108,0.004655,13.5879,0.002623,12.528,0.042,13.098,0.049,12.378,,8.644,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7620.0,1.93513,1.78
164841325,4.251402313245363e+18,281.339294072787,-9.39126148324639,0.474066,14.6571,17.245,0.112,15.757,0.092,13.771,0.039,13.559,0.041,13.432,0.052,15.2408,0.000606,15.7038,0.008465,14.5752,0.002995,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,6457.0,2.00042,1.31
164841327,4.2514023432144527e+18,281.34613659385,-9.39139776157867,0.452296,15.1151,,,16.042,0.115,14.07,0.048,13.744,0.068,13.545,0.058,15.7851,0.001041,16.3063,0.009684,15.0106,0.013791,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,5850.0,1.97519,1.06
164841463,4.251402308846457e+18,281.33724134081,-9.40254577306256,0.490019,11.741,12.075,0.302,11.988,0.028,11.17,0.022,11.072,0.022,11.02,0.021,12.0699,0.000473,12.3242,0.004713,11.6455,0.001804,11.083,0.03,11.256,0.028,11.6,,8.697,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,8376.0,5.19865,
164841597,4.25140217140793e+18,281.308664604379,-9.41400662816425,0.596091,12.3742,13.392,0.0,12.955,0.092,11.73,0.022,11.591,0.022,11.533,0.025,12.7565,0.000465,13.052,0.003221,12.2847,0.002794,11.512,0.035,11.643,0.035,11.73,,8.717,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7885.0,3.45377,1.88
164841622,4.251402175806389e+18,281.320488604674,-9.41615533192584,0.492577,14.3557,15.245,0.111,15.201,0.035,13.534,0.027,13.348,0.038,13.294,0.037,14.8559,0.000544,15.2447,0.005274,14.2701,0.002672,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,7016.0,1.97892,1.55
164841704,4.251401797849288e+18,281.304082831137,-9.4228713092263,0.555839,13.8412,15.248,-0.032,14.829,0.172,12.939,0.024,12.664,0.025,12.58,0.023,14.4076,0.000497,14.8666,0.003779,13.7709,0.001889,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,6549.0,2.42788,1.35
413904382,4.252513678999444e+18,282.557953557565,-6.20626840570736,0.42165,14.7071,,,15.228,0.035,13.924,0.047,13.745,0.075,13.637,0.058,15.1542,0.000737,15.4759,0.004078,14.612,0.004443,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6798.0,1.78003,1.46
413905040,4.252509899428095e+18,282.545732376739,-6.2633093832191,0.504084,15.2184,16.919,0.122,16.177,0.047,14.192,0.053,13.815,0.078,13.797,0.073,15.8464,0.001928,16.3201,0.010118,15.1062,0.003631,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,5569.0,1.65884,0.98
413905137,4.2525094827050255e+18,282.587479133051,-6.27186275992899,0.495135,15.5826,,,16.307,1.133,14.68,0.049,14.433,0.072,14.443,0.091,16.1704,0.001012,16.5816,0.005297,15.4491,0.004856,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,5906.0,1.30801,1.07
413905884,4.25250862811752e+18,282.566164475913,-6.33665330707351,0.531135,16.1251,18.406,0.121,16.692,1.133,15.169,0.057,14.719,0.072,14.775,0.119,16.7637,0.00105,17.2479,0.008487,16.008,0.006458,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,5268.0,1.08415,0.9
151447053,4.252490859725485e+18,282.666460517223,-6.45296274432448,0.461437,14.2845,15.377,-0.036,14.798,0.103,13.403,0.039,13.273,0.054,13.114,0.056,14.7369,0.000448,15.0796,0.002346,14.2056,0.002346,13.04,0.048,13.201,0.048,11.189,0.223,8.567,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6780.0,1.99762,1.45
151447284,4.252493922147517e+18,282.61571583708,-6.43200250700959,0.492319,14.9596,16.655,0.116,15.722,0.115,14.301,0.038,14.099,0.053,14.039,0.07,15.4214,0.000558,15.7663,0.004361,14.8787,0.002727,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6517.0,1.40358,1.34
151447592,4.252495463930901e+18,282.652665901902,-6.40238238012439,0.49416,14.7793,15.779,0.12,15.563,0.149,13.869,0.05,13.63,0.05,13.485,0.054,15.3401,0.001927,15.7457,0.00667,14.6669,0.003934,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,5863.0,1.83246,1.06
151447595,4.252495502657176e+18,282.669943095321,-6.40189783577473,0.453487,16.2459,17.809,0.137,17.1812,0.0463,15.141,0.081,14.473,,14.134,,16.8875,0.001224,17.3772,0.009244,16.1342,0.009876,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,5410.0,1.18498,0.94
151447651,4.252494231385262e+18,282.613456878658,-6.39786972582737,0.526037,14.8958,16.308,0.113,15.724,0.149,14.229,0.03,13.991,0.049,13.885,0.051,15.351,0.001327,15.6761,0.004785,14.803,0.003557,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6431.0,1.34633,1.3
151447744,4.252495738808829e+18,282.632341918088,-6.38907011191707,0.24892,15.7233,16.606,0.128,16.346,0.15,15.13,0.072,15.266,,15.228,,16.1043,0.000942,16.368,0.003607,15.6054,0.009365,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,7825.0,1.62984,1.86
151447829,4.252495605774693e+18,282.674501160768,-6.38245040072048,0.549685,15.6037,15.736,0.117,16.458,0.309,14.69,0.059,14.339,0.074,14.314,0.103,16.2119,0.001217,16.6495,0.004795,15.4748,0.01643,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6485.0,0.900025,1.32
151447872,4.252495915012281e+18,282.69944906575,-6.37898934035403,0.434607,13.9208,14.705,0.11,14.48,0.092,13.234,0.033,13.05,0.042,12.976,0.046,14.3008,0.000445,14.5799,0.003592,13.8354,0.002004,12.835,0.034,13.231,0.035,12.312,,8.946,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,7323.0,2.24883,1.66
