tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
72041053,3.00426877245724e+18,91.987173237987,-10.7419044741394,8.37825,17.0408,,,,,14.954,0.037,14.355,0.029,13.964,0.057,18.614,0.00296,20.7457,0.169328,17.1786,0.008598,13.75,0.026,13.555,0.034,12.472,,9.139,,Hyades,650.0,Jerabkova2021,2941.0,0.167929,0.138466
442993971,3.0077645665975224e+18,94.5659385438945,-6.4457091871679,,17.6113,,,,,14.789,0.037,14.012,0.037,13.518,0.039,19.3956,0.005723,21.6577,0.388976,17.7736,0.021875,13.246,0.026,13.008,0.027,12.449,0.465,8.653,,Hyades,650.0,Lodieu2019,2857.0,0.126527,0.101744
709847381,3.006210342487608e+18,95.7050930042531,-9.01779084225802,10.0062,18.8765,,,,,,,,,,,20.4168,0.014287,23.2758,0.375245,18.7239,0.030005,,,,,,,,,Hyades,650.0,Lodieu2019,,,
72492141,3.0048265040255974e+18,93.3235100472652,-9.6319526549897,12.5606,14.375,18.97,0.162,17.82,0.2,12.625,0.026,11.999,0.023,11.705,0.021,15.749,0.001956,17.5172,0.009583,14.4736,0.004204,11.575,0.024,11.386,0.02,11.108,0.131,9.157,,Hyades,650.0,Roeser2019,3162.0,0.287487,0.262406
443155324,3.007876270106127e+18,95.6404605184486,-6.63633463453797,10.5067,11.17,13.544,0.032,12.218,0.046,10.159,0.026,9.607,0.027,9.406,0.021,11.9029,0.000464,12.6089,0.001847,11.1154,0.002127,9.36,0.023,9.421,0.02,9.3,0.037,8.471,,Hyades,650.0,Roeser2019,4337.0,0.708997,0.68
443167343,3.0063860581914573e+18,95.7275910267983,-8.4223338352005,8.29629,14.2649,17.565,0.16,16.008,0.031,12.74,0.067,12.145,0.023,11.914,0.058,15.4916,0.000874,16.8893,0.009161,14.3261,0.002867,11.755,0.037,11.613,0.037,11.613,0.291,8.344,,Hyades,650.0,Roeser2019,3398.0,0.371207,0.358656
443308374,3.006412996226401e+18,96.4691693819552,-8.09000239343407,9.64385,11.945,14.795,0.072,13.258,0.103,10.748,0.026,10.09,0.023,9.933,0.024,12.8538,0.001712,13.7419,0.00415,11.9476,0.003067,9.848,0.023,9.881,0.02,9.748,0.051,8.675,,Hyades,650.0,Roeser2019,3973.0,0.637462,0.617641
72093098,3.004415733353624e+18,92.2144160268529,-10.2360554037747,13.7299,14.5626,19.373,0.162,18.09,0.2,12.778,0.023,12.201,0.023,11.941,0.026,15.964,0.001157,17.7878,0.014127,14.6671,0.002068,11.716,0.023,11.529,0.021,11.325,0.163,9.24,,Hyades,650.0,Roeser2019,3126.0,0.243429,0.213783
72549576,3.004878902626515e+18,93.4578790717085,-9.19463949266982,10.0175,15.0522,19.568,0.162,,,13.293,0.023,12.699,0.029,12.403,0.026,16.4195,0.001771,18.1335,0.023804,15.146,0.005001,12.24,0.023,12.063,0.024,11.495,0.208,8.951,,Hyades,650.0,Roeser2019,3189.0,0.265346,0.237648
71869988,3.005506758125892e+18,91.4897730160332,-9.00410371465874,15.5441,13.5987,14.904,0.06,15.481,0.469,11.676,0.048,11.071,0.043,10.804,0.039,14.8022,0.001111,16.5091,0.011226,13.5286,0.003087,10.633,0.034,10.454,0.031,10.222,0.098,8.187,,Hyades,650.0,Roeser2019,3210.0,,
