tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
156350427,3.336694675615812e+18,86.7737273078921,10.1517784895208,,16.0835,16.831,0.074,,,13.443,0.041,12.864,0.047,12.522,0.034,17.3264,0.003391,18.6286,0.122287,15.4806,0.021932,12.183,0.024,12.02,0.024,11.865,0.285,8.966,,Hyades,650.0,Jerabkova2021,,,
156353309,3.3352081358977603e+18,86.7693865784746,8.04155759265575,8.46528,8.70024,9.62,0.041,9.105,0.003,8.269,0.024,8.006,0.038,8.005,0.027,9.03816,0.000634,9.30431,0.002298,8.66389,0.002393,7.947,0.025,7.987,0.02,7.968,0.022,8.396,0.369,Hyades,650.0,Jerabkova2021,6431.0,1.282,1.299
144615423,3.3347909055944663e+18,84.6231698785562,8.76302776376073,7.88211,16.0714,,,,,14.127,0.033,13.564,0.027,13.222,0.036,17.5738,0.001598,19.6381,0.053578,16.1998,0.007489,13.113,0.025,12.887,0.028,12.267,,8.918,,Hyades,650.0,Jerabkova2021,2989.0,0.236061,0.205932
156427652,3.334933940888611e+18,87.0328274387842,7.39392808730163,10.0724,11.9338,14.735,0.042,13.318,0.092,10.746,0.026,10.072,0.023,9.919,0.026,12.7722,0.000432,13.6411,0.003009,11.8736,0.001559,9.846,0.023,9.862,0.021,9.774,0.059,8.617,,Hyades,650.0,Jerabkova2021,3998.0,0.642649,0.62
200526701,3.3405746116344e+18,83.1050414259145,11.2857108275609,7.22362,11.9902,14.375,0.033,13.065,0.08,10.981,0.021,10.366,0.023,10.223,0.019,12.7217,0.000303,13.4194,0.001904,11.9372,0.001179,10.16,0.023,10.221,0.019,10.056,0.064,8.866,,Hyades,650.0,Jerabkova2021,4306.86,0.744161,0.673
715860929,3.336280778208866e+18,86.1460974381578,9.70107345561956,14.2666,20.0893,,,21.1863,0.1152,,,,,,,20.8001,0.020146,20.5913,0.197356,19.1522,0.056769,,,,,,,,,Hyades,650.0,Lodieu2019,,,
156358248,3.3352400174393103e+18,86.8108838173623,8.29913119838587,,19.324,,,,,15.6,0.072,14.712,0.06,14.072,0.063,20.5726,0.011815,22.0336,0.330462,18.8601,0.067219,13.71,0.029,13.391,0.035,11.697,,8.72,,Hyades,650.0,Lodieu2019,,,
715842028,3.336083244072181e+18,86.1426564954232,8.85667128623022,10.3554,18.742,,,,,,,,,,,19.8929,0.03379,21.0467,0.237439,18.2757,0.002961,,,,,,,,,Hyades,650.0,Lodieu2019,,,
715857814,3.336249918869099e+18,86.7643798752601,9.77511940609451,11.0924,19.4323,,,20.9337,0.1772,,,,,,,20.3042,0.016828,20.5867,0.259648,18.7268,0.032425,,,,,,,,,Hyades,650.0,Lodieu2019,,,
144700586,3.340291448734176e+18,85.0301123846388,11.8074252170291,10.0205,16.4522,,,,,14.508,0.033,13.831,0.032,13.583,0.043,17.957,0.001933,19.8148,0.062963,16.5656,0.007928,13.382,0.026,13.182,0.031,12.125,,8.804,,Hyades,650.0,Lodieu2019,3068.0,0.167342,0.137928
715682783,3.334295502590848e+18,82.706882301274,7.73537739044198,10.5732,20.203,,,21.0604,0.1869,,,,,,,20.7981,0.01854,21.0653,0.431275,19.8964,0.074239,,,,,,,,,Hyades,650.0,Lodieu2019,,,
436334950,3.3347996329678587e+18,84.2374011029544,8.75677313139385,15.0469,15.6662,,,,,13.602,0.03,13.025,0.027,12.671,0.03,17.189,0.002308,19.2104,0.04849,15.7932,0.004696,12.457,0.025,12.269,0.024,12.02,,8.786,,Hyades,650.0,Roeser2019,2997.0,0.169241,0.139671
200639287,3.336095678002852e+18,85.889440008432,8.92972783218477,18.4671,11.0451,14.34,0.056,12.694,0.057,9.789,0.021,9.106,0.021,8.932,0.022,12.0516,0.000356,13.0827,0.002482,11.0656,0.001732,8.8,0.023,8.8,0.02,8.691,0.027,8.184,,Hyades,650.0,Roeser2019,3756.0,0.563507,0.557243
156146161,3.336989409156945e+18,86.1421421573612,10.9901162639076,10.6608,12.4066,15.614,0.067,14.166,0.092,10.946,0.023,10.242,0.022,10.044,0.023,13.4896,0.001108,14.6197,0.005296,12.439,0.005954,9.973,0.023,9.918,0.02,9.785,0.05,8.817,0.479,Hyades,650.0,Roeser2019,3629.0,0.57736,0.569212
156243729,3.336914268706467e+18,86.4602374055185,10.6271523622227,13.6278,15.5874,20.072,0.163,,,13.633,0.03,13.036,0.036,12.709,0.03,17.088,0.001587,19.1986,0.035929,15.7193,0.003132,12.492,0.024,12.306,0.024,11.884,,8.564,,Hyades,650.0,Roeser2019,2973.0,0.181132,0.150763
284286029,3.336974295169153e+18,85.9409217391568,10.7130594271723,11.9019,14.168,18.558,0.162,16.786,0.217,12.52,0.024,11.926,0.022,11.642,0.025,15.4765,0.001398,17.0303,0.011197,14.2464,0.003063,11.504,0.023,11.335,0.023,11.704,0.298,8.794,,Hyades,650.0,Roeser2019,3287.0,0.307767,0.285499
716013208,3.3382036522479324e+18,83.5524110850492,10.2549427584938,2.42622,16.2735,,,,,,,,,,,16.7035,0.002408,,0.0,,0.0,,,,,,,,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,,,
715990833,3.337886443141609e+18,83.8504146152796,9.30931329031671,2.5952,15.1425,,,,,,,,,,,15.5725,0.001843,,0.0,,0.0,,,,,,,,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,,,
200587333,3.3379764656578145e+18,83.3239559362705,9.8793863628562,,12.9839,14.463,0.015,13.756,0.137,12.176,0.026,11.862,0.024,11.733,0.025,13.5167,0.000415,13.9494,0.00101,12.917,0.00085,11.663,0.024,11.686,0.021,11.653,0.278,8.881,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,6070.42,1.34187,
200540222,3.340605294880675e+18,83.1604608658577,11.4943150914288,2.49978,12.5849,13.951,0.031,13.21,0.195,11.924,0.027,11.595,0.025,11.506,0.028,13.062,0.000475,13.4385,0.001791,12.5234,0.000912,11.442,0.022,11.47,0.022,12.222,0.429,8.89,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,5765.75,1.06981,1.032
715996595,3.3379609350540165e+18,83.133497899912,9.54770982225605,2.50669,14.7944,,,,,,,,,,,15.2244,0.014297,,0.0,,0.0,,,,,,,,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,,,
715993480,3.3379200426707804e+18,84.1607566310164,9.58486096981709,2.33,14.4699,,,16.6338,0.0781,,,,,,,15.5393,0.006512,16.6309,0.03672,14.1571,0.062811,,,,,,,,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,,,
715721821,3.3348028284218854e+18,84.372929144565,8.76719930422435,2.61334,16.6722,,,,,,,,,,,17.1022,0.003297,,0.0,,0.0,,,,,,,,,Collinder_69,12.589254117941662,Cantat-Gaudin2020,,,
156393168,3.3349348686016435e+18,87.0121250742297,7.43804286082899,0.357387,15.3909,16.842,0.032,16.257,0.298,14.579,0.035,14.29,0.042,14.353,0.073,15.907,0.000913,16.3228,0.007087,15.3306,0.006158,14.196,0.031,14.371,0.055,12.34,,8.821,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,6291.0,1.58671,1.23
156503585,3.33492249909593e+18,87.1669974226457,7.38376498753513,0.32346,17.188,18.901,0.138,18.2155,0.0467,16.281,0.12,15.835,0.132,15.327,0.164,17.8771,0.002083,18.4847,0.014913,17.1434,0.00965,15.555,0.056,15.81,0.181,11.931,,8.841,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,5232.0,0.938821,0.89
156503690,3.3349189256831104e+18,87.2349176194546,7.32725786146665,0.380636,16.736,19.665,0.172,18.3244,0.0472,15.426,0.047,14.707,0.057,14.667,0.1,17.6899,0.001749,18.608,0.015147,16.7404,0.007769,14.566,0.036,14.62,0.062,12.329,,8.9,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,5199.0,1.57423,0.88
156503796,3.334916215560134e+18,87.2563001497662,7.25316473955059,0.37409,16.1633,18.567,0.071,17.3397,0.0462,14.962,0.037,14.497,0.045,14.363,0.063,16.9293,0.001288,17.5985,0.010029,16.1123,0.004679,14.213,0.033,14.164,0.048,12.119,,8.957,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,5975.0,1.50342,1.1
156427608,3.334922469032369e+18,87.1538110392104,7.37124357333613,0.362596,14.2919,13.682,0.059,14.37,0.526,13.723,0.032,12.877,,13.353,0.081,14.5741,0.000502,14.777,0.001677,14.2045,0.002223,,,,,,,,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,7990.0,1.93904,1.93
156427685,3.334935383997707e+18,87.0890622385815,7.41776669032426,0.311587,15.1422,16.56,-0.074,15.9,1.133,14.385,0.032,14.017,0.035,13.969,0.05,15.6819,0.000767,16.1134,0.003896,15.0765,0.001829,13.873,0.03,13.998,0.044,12.433,,8.852,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,5995.0,2.10734,1.1
156393399,3.333419638499364e+18,87.0083770983628,7.26354642789845,0.326629,15.8287,17.003,0.075,16.5932,0.0459,14.952,0.04,14.723,0.065,14.527,0.083,16.3763,0.000823,16.822,0.004388,15.769,0.002994,14.548,0.035,14.647,0.064,11.995,,8.819,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,6060.0,1.4929,1.13
156427509,3.334920162633561e+18,87.1254448243283,7.30484951131375,0.497494,17.1559,19.043,0.114,18.2654,0.0475,16.177,0.093,15.738,0.126,15.803,0.258,17.8874,0.002347,18.5151,0.020406,17.0923,0.012655,14.838,0.048,14.824,0.087,11.748,0.329,8.622,0.42,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,5337.0,0.774738,0.92
