tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
151286340,3.3450764889785533e+18,91.3406023049271,13.6438509078587,0.276688,14.2132,15.487,0.044,14.902,0.137,13.394,0.022,13.172,0.027,13.051,0.021,14.6925,0.000424,15.0762,0.001903,14.134,0.002993,12.972,0.025,12.965,0.029,11.651,,8.934,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7341.0,3.39044,1.67
151286384,3.3450762527575327e+18,91.3875893217934,13.6280699247107,0.185258,14.1631,15.415,0.018,14.869,0.137,13.281,0.023,13.044,0.024,12.919,0.026,14.6359,0.000448,15.0255,0.002785,14.0676,0.001992,12.876,0.025,12.884,0.028,12.277,,8.782,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,8190.0,4.80486,2.0
151286473,3.34507529068502e+18,91.3910217044193,13.5844414193264,0.274233,14.969,16.185,0.08,15.731,0.32,14.132,0.031,13.928,0.039,13.749,0.047,15.4571,0.000759,15.8517,0.003578,14.8842,0.002185,13.667,0.029,13.673,0.041,12.305,,8.711,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7594.0,2.44266,1.77
151353263,3.345057080023541e+18,91.4155193544927,13.5140657266739,0.304123,14.3454,15.624,0.031,14.983,0.149,13.555,0.024,13.328,0.03,13.196,0.027,14.8379,0.000465,15.2312,0.002106,14.2701,0.001934,13.101,0.025,13.134,0.03,12.472,,8.77,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7089.0,2.99733,1.57
151353321,3.345062302703756e+18,91.4825104960736,13.5384989233634,0.205376,15.5537,17.223,0.188,16.471,0.172,14.595,0.037,14.273,0.037,14.17,0.056,16.1353,0.000978,16.6269,0.007339,15.4884,0.00382,14.104,0.029,14.263,0.053,12.117,,8.646,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7109.0,2.62257,1.58
151353451,3.34506381023502e+18,91.4638525478563,13.5986181803058,0.222782,15.8224,17.136,0.073,16.489,1.133,14.892,0.037,14.477,0.052,14.302,0.064,16.4169,0.000841,16.9111,0.0134,15.7494,0.007125,14.265,0.03,14.271,0.055,12.395,,8.862,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7016.0,2.21703,1.55
151353490,3.3450639519711795e+18,91.480011371274,13.6112289063005,0.270121,15.265,16.022,0.068,15.88,0.378,14.447,0.03,14.126,0.037,14.025,0.059,15.8128,0.000736,16.2723,0.006307,15.1858,0.003006,13.937,0.032,13.936,0.049,12.259,,8.805,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7604.0,2.33753,1.77
151353515,3.3450756686419656e+18,91.4552425653967,13.6240964638553,0.269128,15.2721,15.959,0.043,15.935,0.218,14.474,0.03,14.235,0.05,14.168,0.061,15.7773,0.000805,16.1969,0.006417,15.1965,0.002629,,,,,,,,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7557.0,2.20232,1.75
151353558,3.3450758060809083e+18,91.4789777743341,13.6402206645702,0.325999,16.1587,17.111,0.087,17.0984,0.0461,15.014,0.059,14.762,0.075,13.774,,16.7988,0.00103,17.3356,0.009347,16.0793,0.005795,,,,,,,,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7168.0,1.49636,1.6
151353609,3.345077313613658e+18,91.4937036680632,13.65619649812,0.293222,14.6834,16.488,0.078,15.57,0.046,13.645,0.024,13.374,0.034,13.26,0.036,15.3233,0.000735,15.8754,0.002535,14.6127,0.001985,13.148,0.025,13.186,0.029,11.839,,8.778,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7393.0,3.26534,1.69
151353612,3.3450772792539203e+18,91.486279516156,13.6571917933697,0.328563,15.7186,17.584,0.08,16.443,0.343,14.736,0.037,14.388,0.043,14.229,0.07,16.3659,0.000802,16.9214,0.009018,15.6524,0.003604,14.023,0.028,14.208,0.047,12.423,,8.77,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7109.0,1.84768,1.58
151353642,3.3450767681535933e+18,91.4113316374963,13.6633753783768,0.219083,15.3051,16.627,0.036,15.963,0.092,14.404,0.044,14.093,0.059,13.998,0.054,15.8628,0.000806,16.328,0.00595,15.236,0.003281,13.867,0.032,13.857,0.045,12.361,,8.558,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7144.0,2.71266,1.59
151353660,3.345076832575983e+18,91.4447606547182,13.6672218220325,0.347868,15.0064,,,16.01,0.172,14.055,0.028,13.817,0.033,13.695,0.041,15.563,0.000662,16.0195,0.006423,14.9285,0.002531,,,,,,,,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7184.0,2.1472,1.61
151353677,3.345077627147032e+18,91.4933231958649,13.6724257431955,0.273061,14.3091,15.969,0.0,15.347,0.24,13.208,0.022,12.882,0.023,12.72,0.023,15.0062,0.000569,15.6122,0.003184,14.2461,0.002697,12.406,0.025,12.382,0.024,12.306,,8.998,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7047.0,4.48643,1.56
151353680,3.345076871232805e+18,91.4130714057959,13.6734987627261,0.214685,15.5302,17.282,0.019,16.465,0.103,14.605,0.03,14.37,0.047,14.256,0.06,16.0991,0.000969,16.5797,0.008278,15.4675,0.005795,14.16,0.029,14.239,0.051,11.658,,8.66,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7063.0,2.48118,1.56
151353683,3.345077627147029e+18,91.4960609156832,13.6747558384472,0.314874,14.6734,15.593,0.067,15.656,0.149,13.601,0.025,13.374,0.033,13.213,0.032,15.3403,0.000948,15.9098,0.005291,14.6031,0.003303,12.949,0.025,13.023,0.03,12.269,,8.928,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7070.0,3.20596,1.56
151353686,3.3450768368730604e+18,91.4372726000136,13.6764939409304,0.252348,13.6284,15.171,0.029,14.436,0.114,12.655,0.02,12.403,0.019,12.285,0.024,14.1956,0.000419,14.6674,0.002648,13.5533,0.002157,12.189,0.024,12.186,0.023,11.988,0.37,8.311,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7254.0,5.43968,
151353716,3.345078344404508e+18,91.4676418929894,13.6872136940063,0.292331,15.4323,17.096,0.185,16.441,0.16,14.471,0.03,14.272,0.038,14.143,0.065,16.0138,0.000802,16.4995,0.004497,15.3612,0.002608,13.986,0.028,14.04,0.046,12.476,,8.884,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7108.0,2.11863,1.58
151353780,3.345078520500224e+18,91.4700633193453,13.7090299075242,0.0638801,14.487,16.27,0.102,15.429,0.092,13.426,0.021,13.088,0.021,12.966,0.027,15.1073,0.000839,15.6376,0.004189,14.4096,0.002759,12.882,0.025,12.911,0.029,12.245,,8.919,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7535.0,6.43961,
151353829,3.345078829737868e+18,91.4507277939654,13.7319544107109,0.150799,14.6495,16.293,0.087,15.547,0.092,13.614,0.024,13.33,0.029,13.151,0.03,15.2548,0.000626,15.7744,0.003509,14.5683,0.002799,13.105,0.026,13.1,0.031,12.186,,8.82,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7772.0,4.65709,1.84
151353866,3.34507916903962e+18,91.4873268747829,13.7443951142263,0.140005,14.2144,16.273,0.089,15.226,0.114,13.059,0.022,12.727,0.027,12.567,0.023,14.9256,0.00063,15.5512,0.002582,14.1558,0.002533,12.449,0.024,12.427,0.025,12.071,0.404,8.651,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7092.0,7.49586,
151353921,3.345082265711694e+18,91.4513341020505,13.7702886124705,0.220857,14.3976,16.226,0.074,15.266,0.16,13.335,0.024,13.02,0.024,12.815,0.027,15.0453,0.000457,15.6047,0.002448,14.3223,0.003223,12.714,0.024,12.694,0.027,12.317,0.427,8.953,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7530.0,4.71167,1.74
151353968,3.3451057978368973e+18,91.4875676478029,13.7915627022378,0.306876,15.4901,17.451,-0.173,16.374,0.492,14.404,0.035,14.146,0.036,13.906,0.049,16.1311,0.001004,16.6636,0.006462,15.3985,0.005278,13.804,0.028,13.844,0.04,12.385,,9.011,0.497,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7403.0,2.13817,1.69
151353550,3.345065493863642e+18,91.5181215883804,13.6384512216155,0.286219,15.6987,17.31,-0.137,16.135,1.133,14.683,0.035,14.455,0.059,14.18,0.066,16.3263,0.000835,16.871,0.00644,15.6296,0.004727,14.111,0.033,14.137,0.051,12.337,,8.79,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7497.0,2.02263,1.73
151353582,3.345065601238603e+18,91.5219116092742,13.6463374392033,0.241391,14.2556,16.19,0.026,15.344,0.137,13.165,0.021,12.866,0.027,12.693,0.027,14.9268,0.000529,15.5072,0.003281,14.1843,0.002756,12.569,0.025,12.534,0.027,11.97,,8.933,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7335.0,4.91327,1.66
151353649,3.3450774209886e+18,91.5054682915915,13.6648426230985,0.261425,13.5266,14.854,0.043,13.973,0.183,11.949,0.025,11.617,0.03,11.476,0.028,14.2143,0.00032,14.7608,0.011372,13.4107,0.010491,11.206,0.024,11.205,0.021,11.268,0.172,8.346,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7144.0,,
151353684,3.3450774553483305e+18,91.5216867066663,13.6751699496043,0.216265,15.2584,17.051,0.067,15.962,0.24,14.141,0.024,13.828,0.031,13.658,0.044,15.9443,0.000802,16.543,0.004084,15.1931,0.003416,13.497,0.027,13.486,0.034,12.395,,8.97,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7263.0,3.34654,1.64
151353741,3.34507803946388e+18,91.5124592875052,13.6941323435822,0.174602,15.9821,18.122,0.071,16.59,1.133,14.79,0.035,14.483,0.051,14.31,0.07,16.697,0.000855,17.3202,0.008357,15.9102,0.003345,14.167,0.03,14.178,0.047,12.478,,8.391,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7350.0,2.73006,1.67
151353766,3.345078069527953e+18,91.521266519792,13.7042197700805,0.146241,16.1009,16.901,0.076,17.1902,0.0461,14.864,0.043,14.57,0.071,14.439,0.086,16.8169,0.001059,17.4383,0.006614,16.0248,0.006211,13.944,0.034,14.011,0.048,12.279,,8.576,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7390.0,2.74551,1.68
151405967,3.345101747683337e+18,91.545329487322,13.7488823312687,0.351851,15.9189,,,16.9266,0.046,14.729,0.043,14.592,0.06,14.29,0.072,16.5952,0.000927,17.1879,0.007683,15.8615,0.003772,13.92,0.033,13.875,0.044,12.121,,8.457,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7104.0,1.65572,1.58
151405986,3.3451016746682414e+18,91.5673596307294,13.7354830347259,0.332833,15.2585,17.519,0.263,16.453,0.4,14.052,0.028,13.686,0.031,13.543,0.034,15.9491,0.00064,16.5644,0.007461,15.1795,0.002603,13.461,0.028,13.469,0.036,12.037,,8.582,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,8047.0,2.43285,1.95
151406154,3.3450650815468124e+18,91.6259411680875,13.669203600815,0.0626431,16.3873,19.046,0.067,17.6939,0.0472,14.935,0.035,14.579,0.062,14.3,0.069,17.203,0.001243,17.933,0.018867,16.2996,0.005717,14.195,0.031,14.172,0.044,12.297,,8.915,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,8047.0,3.2063,1.95
151406199,3.345088278666103e+18,91.6487107594069,13.6504806406569,0.218096,16.6907,19.674,0.173,17.9481,0.0516,15.372,0.05,15.003,0.07,14.893,0.124,17.4879,0.001869,18.2142,0.039401,16.6353,0.016452,14.707,0.036,14.952,0.082,12.409,,9.055,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7525.0,1.80828,1.74
151406204,3.3450655969428685e+18,91.5349483899223,13.6493551962156,0.3248,14.9288,16.734,0.118,16.002,0.332,13.854,0.024,13.523,0.027,13.412,0.036,15.5747,0.00062,16.1294,0.006087,14.8619,0.002488,13.351,0.027,13.364,0.035,12.527,,8.823,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7163.0,2.68764,1.6
151406234,3.345065669958067e+18,91.5747785248382,13.6383877214056,0.199613,15.8244,17.685,0.07,16.9742,0.0461,14.574,0.032,14.179,0.045,14.018,0.05,16.573,0.000851,17.2331,0.006953,15.7646,0.005178,13.864,0.073,13.861,0.083,11.8,,8.377,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7051.0,2.90018,1.56
716697574,3.3450774209886e+18,91.5054682915915,13.6648426230985,0.261425,13.5266,,,14.5569,0.0464,,,,,,,14.2143,0.00032,14.7608,0.011372,13.4107,0.010491,,,,,,,,,FSR_0942,724.4359600749891,Cantat-Gaudin2020,7144.0,,
59539986,3.3446289576847293e+18,94.9765407844288,13.9800070609227,0.336805,14.4538,15.832,0.035,14.889,0.114,13.411,0.029,13.217,0.041,13.027,0.032,15.0002,0.000678,15.4313,0.003796,14.3594,0.008173,12.786,0.032,12.82,0.037,11.789,,8.893,,FSR_0953,645.6542290346563,Cantat-Gaudin2020,7222.0,2.81038,1.62
153213792,3.330407427614424e+18,92.9097350275803,11.9216139823591,0.415452,14.1075,14.968,0.062,14.516,0.08,13.468,0.033,13.343,0.04,13.213,0.041,14.4148,0.000422,14.6588,0.002824,13.9972,0.002521,12.989,0.025,13.079,0.028,12.43,,8.885,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,9261.0,1.96142,2.35
153213847,3.330407049657331e+18,92.8863517054013,11.8867593736144,0.401492,13.5642,14.417,0.073,13.953,0.08,12.897,0.023,12.801,0.027,12.735,0.03,13.8834,0.000423,14.1252,0.001723,13.4772,0.001944,12.71,0.024,12.735,0.025,12.208,0.357,8.918,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8057.0,2.62979,1.95
153213952,3.330405572188583e+18,92.930544724217,11.8440683197763,0.3735,13.7375,14.585,0.068,14.044,0.183,13.095,0.024,12.962,0.035,12.886,0.033,14.0421,0.000344,14.2799,0.002319,13.635,0.003021,12.791,0.025,12.802,0.027,12.278,0.417,8.525,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8853.0,2.56329,2.23
153213956,3.3304057396891976e+18,92.8921346122244,11.8428801222985,0.375142,13.5514,14.374,0.066,13.932,0.08,12.952,0.026,12.824,0.021,12.811,0.027,13.8469,0.000443,14.0802,0.0031,13.4504,0.002255,12.667,0.024,12.668,0.027,12.08,,8.771,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8955.0,2.74407,2.26
153213975,3.3304056065483576e+18,92.8765141838294,11.8317410881761,0.381523,14.6796,15.377,0.057,14.838,0.115,13.873,0.053,13.781,0.071,13.593,0.058,15.0402,0.000821,15.2955,0.007443,14.5683,0.00835,13.105,0.024,13.133,0.031,12.65,0.539,8.317,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,7965.0,1.74882,1.92
153214041,3.330403922921193e+18,92.8761022957904,11.8040827386394,0.412091,14.1133,14.885,0.044,14.458,0.103,13.516,0.032,13.392,0.035,13.247,0.035,14.3962,0.000496,14.6028,0.00632,14.0115,0.001639,13.212,0.025,13.195,0.029,12.677,0.527,8.64,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8499.0,1.90992,2.11
166922312,3.330410245113004e+18,92.81820297435,11.9413695223304,0.370581,14.2378,15.18,0.093,14.728,0.115,13.586,0.028,13.491,0.031,13.365,0.038,14.5831,0.000654,14.8424,0.003951,14.1431,0.003809,13.295,0.027,13.322,0.033,11.92,0.294,8.346,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8039.0,2.15623,1.95
166922389,3.330408320967701e+18,92.7928439849273,11.8854970822449,0.437807,14.4007,15.358,0.066,14.758,0.115,13.728,0.026,13.562,0.029,13.534,0.04,14.7528,0.000614,15.0226,0.002974,14.3102,0.001666,13.452,0.025,13.471,0.033,12.558,,8.534,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8027.0,1.73096,1.94
166922414,3.330406740419715e+18,92.843094887674,11.8780868898569,0.372909,11.6712,12.229,0.404,12.019,0.032,11.211,0.023,11.161,0.023,11.104,0.019,11.8539,0.000333,11.9936,0.002259,11.564,0.001905,11.078,0.023,11.108,0.021,11.113,0.134,8.759,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,9883.0,5.53971,
166922416,3.330406809139194e+18,92.83888752066,11.8780357895164,0.34755,14.3033,14.032,0.058,14.717,0.069,13.687,0.024,13.563,0.038,13.487,0.038,14.5848,0.00052,14.8016,0.001792,14.2059,0.001204,13.376,0.026,13.492,0.032,12.698,,8.935,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8736.0,2.04266,2.19
166922425,3.330406843498924e+18,92.858442735619,11.8745786467992,0.293832,15.2817,12.865,0.05,15.62,0.069,14.495,0.035,14.27,0.062,14.118,0.063,15.7257,0.000753,16.0847,0.009907,15.2001,0.002266,,,,,,,,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,7732.0,1.87204,1.82
166922426,3.330406843499764e+18,92.8571255352636,11.8742131389895,0.3832,14.4192,14.877,0.071,14.75,0.103,13.746,0.051,13.577,0.063,13.559,0.057,14.7465,0.000516,14.9885,0.003101,14.3249,0.001299,13.208,0.03,13.243,0.034,12.554,,8.546,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8041.0,1.87554,1.95
166922510,3.330405125512063e+18,92.7836786552528,11.8396000736008,0.39048,13.5188,14.291,0.064,13.893,0.103,12.937,0.026,12.866,0.029,12.829,0.033,13.7923,0.000411,13.9951,0.002368,13.4159,0.001797,12.77,0.025,12.839,0.03,12.48,0.483,8.768,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8709.0,2.60372,2.18
166922547,3.330404193501321e+18,92.8570818012568,11.8260424194651,0.3825,14.4881,14.46,0.06,14.897,0.092,13.92,0.023,13.759,0.052,13.716,0.046,14.7876,0.000677,15.0159,0.006615,14.3908,0.001937,13.589,0.027,13.603,0.035,12.403,,8.991,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8524.0,1.76405,2.12
166922573,3.3304048806957394e+18,92.8098328043694,11.817309102793,0.425328,13.7055,13.415,0.058,13.964,0.103,13.2,0.026,13.123,0.036,13.051,0.035,13.9298,0.000394,14.1034,0.002008,13.6073,0.002672,12.891,0.025,12.933,0.028,12.201,,8.438,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,9236.0,2.04933,2.34
166922583,3.3304041634393723e+18,92.84514045874,11.8142693838091,0.374102,14.1263,15.089,0.057,14.572,0.092,13.445,0.026,13.268,0.022,13.194,0.034,14.477,0.000478,14.7475,0.001365,14.0365,0.001339,13.144,0.025,13.202,0.03,12.462,0.497,8.837,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8067.0,2.26924,1.96
166922587,3.330404060360164e+18,92.8340203144707,11.8131772438102,0.324949,12.3257,12.879,0.051,12.519,0.057,11.836,0.022,11.771,0.022,11.727,0.023,12.5097,0.000322,12.6565,0.002645,12.209,0.001717,11.719,0.024,11.753,0.022,12.275,0.37,8.741,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,10614.0,4.60662,2.75
166922599,3.330404060360168e+18,92.8322982224791,11.8080222898141,0.437695,14.5311,14.598,0.064,14.986,0.115,13.797,0.028,13.695,0.039,13.561,0.044,14.8866,0.000606,15.1573,0.003569,14.4499,0.002168,13.486,0.027,13.545,0.035,12.227,0.391,8.941,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,7686.0,1.62626,1.8
166922701,3.3304036136835963e+18,92.8066244986241,11.7775454536911,0.381507,14.3235,15.07,0.066,14.615,0.092,13.712,0.024,13.639,0.031,13.58,0.039,14.6029,0.000561,14.8155,0.003545,14.2266,0.004472,13.541,0.026,13.615,0.036,12.476,,8.987,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,8645.0,1.85348,2.16
166922718,3.330403682403056e+18,92.8502192759458,11.7697868036226,0.320488,14.9923,16.24,0.045,15.698,0.126,14.202,0.03,13.983,0.036,13.899,0.053,15.4417,0.00138,15.7867,0.003386,14.907,0.002758,13.733,0.028,13.858,0.044,12.602,,8.809,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,7237.0,1.99616,1.63
294122317,3.330410275174659e+18,92.8500364441604,11.9159225683483,0.365242,11.3468,11.364,0.177,11.192,0.015,10.916,0.022,10.921,0.033,10.819,0.021,11.5128,0.000526,11.65,0.002564,11.2289,0.001813,10.783,0.024,10.798,0.021,11.137,0.139,8.719,,FSR_0968,83.17637711026708,Cantat-Gaudin2020,11354.0,6.14999,
140569690,3.341722428757461e+18,90.5538639111461,10.2824618924613,0.133754,15.4397,16.403,0.1,15.748,1.133,14.792,0.032,14.594,0.044,14.592,0.105,15.7853,0.000888,16.0393,0.004077,15.3614,0.003844,14.554,0.033,14.648,0.065,12.566,,8.771,,NGC_2141,1862.0871366628653,Cantat-Gaudin2020,7377.0,2.46024,1.68
140600666,3.34172246741504e+18,90.571692584706,10.2923771307777,0.129335,15.7126,16.631,0.073,16.146,0.093,15.053,0.05,14.708,0.078,14.752,0.129,16.0655,0.001413,16.3337,0.004067,15.6431,0.003456,14.512,0.032,14.6,0.06,11.723,,8.513,,NGC_2141,1862.0871366628653,Cantat-Gaudin2020,7320.0,2.13591,1.66
156572041,3.3418184985854024e+18,90.7204358967873,10.3993040612628,0.140181,15.0874,14.479,0.058,15.584,0.126,14.543,0.03,14.384,0.047,14.411,0.072,15.4014,0.000659,15.6349,0.00312,14.9984,0.003187,,,,,,,,,NGC_2141,1862.0871366628653,Cantat-Gaudin2020,8019.0,2.61972,1.94
