tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
247466855,3.347333343970503e+18,85.6783496652239,13.7612848479564,0.811014,10.7274,11.864,0.184,11.199,0.013,9.909,0.021,9.714,0.019,9.611,0.018,11.1642,0.000821,11.5196,0.002361,10.6467,0.001844,9.511,0.023,9.501,0.02,9.569,0.043,8.671,,COIN-Gaia_27,724.4359600749891,Cantat-Gaudin2020,7964.07,5.67105,
247481772,3.347328396168198e+18,85.7211638941715,13.6477443657911,0.973283,12.4491,13.926,0.03,13.209,0.057,11.51,0.022,11.276,0.022,11.111,0.019,12.9911,0.00041,13.4364,0.00131,12.3743,0.001219,11.05,0.024,11.053,0.022,11.385,0.218,8.798,,COIN-Gaia_27,724.4359600749891,Cantat-Gaudin2020,7191.0,2.57136,1.61
144697711,3.3364529548587566e+18,84.8907462002704,9.9280373707819,1.54425,10.8639,11.449,0.116,10.998,0.008,10.41,0.023,10.314,0.023,10.219,0.023,11.0923,0.00051,11.2647,0.002024,10.8016,0.001268,10.175,0.024,10.187,0.021,10.199,0.074,8.174,,Theia13,4.897788193684466,Kounkel2020,7922.0,2.18265,1.9
144773019,3.3400783882930483e+18,85.2549809753887,11.5202205084104,2.03772,8.8499,9.141,0.033,9.032,0.003,8.551,0.021,8.549,0.038,8.522,0.023,8.95431,0.000351,9.05696,0.002307,8.78407,0.002379,8.455,0.024,8.472,0.021,7.885,0.021,6.447,0.064,Theia13,4.897788193684466,Kounkel2020,9829.0,3.52956,2.511
127103314,3.341327257406218e+18,84.6754895075623,13.1849027981678,3.36994,9.99398,10.654,0.113,10.24,0.008,9.614,0.023,9.518,0.021,9.451,0.018,10.2423,0.001318,10.4339,0.00442,9.95175,0.003593,9.429,0.022,9.436,0.02,9.398,0.045,8.881,0.499,Theia55,22.387211385683376,Kounkel2020,7291.0,1.53977,1.647
247525832,3.340414976290861e+18,85.9723722968927,12.3048445523164,3.02859,10.7949,11.772,0.215,11.51,0.017,10.339,0.022,10.106,0.022,10.046,0.017,11.1362,0.000677,11.396,0.002492,10.7358,0.001127,10.023,0.024,10.031,0.02,10.042,0.066,8.233,,Theia55,22.387211385683376,Kounkel2020,7058.0,1.35318,1.56
59279168,3.340482798115881e+18,85.3894048949106,12.5767448742776,3.28807,9.62708,10.118,0.054,9.827,0.004,9.242,0.021,9.128,0.021,9.048,0.016,9.82841,0.000753,9.97002,0.001643,9.569,0.001889,9.01,0.023,9.028,0.02,8.999,0.032,8.283,,Theia55,22.387211385683376,Kounkel2020,7546.17,1.80172,1.747
247461721,3.347324234343513e+18,85.5440635078516,13.5918525227757,3.67974,8.83999,8.893,0.0,8.75,0.03,8.652,0.021,8.666,0.026,8.688,0.027,8.82646,0.000406,8.86773,0.001911,8.78732,0.002524,8.419,0.023,8.445,0.02,8.283,0.027,7.469,0.141,Theia55,22.387211385683376,Kounkel2020,12888.0,,
247675468,3.346259567786672e+18,86.8551233285528,12.6481107814492,3.32194,8.69504,8.575,0.031,8.629,0.003,8.688,0.027,8.757,0.017,8.735,0.017,8.62145,0.00054,8.6211,0.001503,8.66317,0.002238,8.725,0.023,8.765,0.021,8.776,0.035,8.242,0.328,Theia55,22.387211385683376,Kounkel2020,12578.0,,
156240384,3.3369674189237647e+18,86.4081645806513,10.7680563151469,3.33071,11.4918,12.358,0.317,12.125,0.057,10.836,0.022,10.477,0.021,10.483,0.025,11.9147,0.00157,12.2534,0.005342,11.4279,0.007641,10.328,0.022,10.332,0.02,10.283,0.073,9.122,,Theia55,22.387211385683376,Kounkel2020,7178.0,1.00394,1.605
144736763,3.3402787742875976e+18,85.1445269059385,11.7756651180367,3.32613,9.78705,10.383,0.069,10.056,0.005,9.454,0.026,9.24,0.026,9.185,0.021,9.99618,0.000671,10.1631,0.00116,9.73277,0.001502,9.118,0.023,9.137,0.02,9.034,0.034,8.418,0.309,Theia55,22.387211385683376,Kounkel2020,7532.01,1.84321,1.741
156145271,3.336526038022552e+18,86.1522265167043,10.2677805997062,3.26461,8.90751,9.437,0.044,9.197,0.003,8.569,0.026,8.496,0.065,8.457,0.02,9.1135,0.000258,9.2727,0.00127,8.86592,0.001793,8.416,0.023,8.437,0.019,8.408,0.024,7.979,0.217,Theia55,22.387211385683376,Kounkel2020,7565.0,2.475,1.754
