tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
79537657,2.9225148301898527e+18,104.477902008661,-23.1223928741499,8.93191,17.0403,,,,,14.938,0.035,14.319,0.037,13.903,0.048,18.6116,0.00183,20.72,0.075837,17.1763,0.005352,13.874,0.029,13.704,0.035,12.714,,9.137,,Hyades,650.0,Jerabkova2021,2949.0,0.162933,0.133909
745305650,2.92882747004513e+18,104.537226715414,-22.1274153746331,10.8528,19.7721,,,21.7231,0.0937,,,,,,,20.7852,0.008973,21.2269,0.095121,18.9415,0.035931,,,,,,,,,Hyades,650.0,Lodieu2019,,,
745236349,2.9285770562730506e+18,105.308330596507,-22.5052192099603,12.038,19.612,,,21.6835,0.0939,,,,,,,20.6577,0.009724,21.5641,0.092816,19.1712,0.029368,,,,,,,,,Hyades,650.0,Lodieu2019,,,
53746405,2.921903776605684e+18,103.53458234233,-24.7705221134483,15.8866,13.6156,18.165,0.162,16.441,0.137,11.963,0.023,11.39,0.022,11.145,0.021,14.9244,0.000614,16.5133,0.004055,13.6969,0.001315,10.978,0.023,10.802,0.021,10.607,0.078,9.19,,Hyades,650.0,Roeser2019,3271.0,0.293102,0.268767
78312995,2.9222172748591964e+18,102.367281434463,-23.9865519074379,0.0236007,17.0189,17.188,0.145,17.3522,0.0459,16.456,0.139,16.178,0.251,16.406,,17.285,0.00086,17.477,0.008862,16.9613,0.006305,16.527,0.072,16.692,0.267,12.735,,9.197,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,7229.0,1.0607,1.62
172997202,2.922223150374468e+18,102.218978338305,-23.9860144920739,-0.102172,17.2189,17.051,0.175,17.5083,0.0459,16.573,0.148,17.367,,15.981,,17.4516,0.001057,17.6305,0.008775,17.1747,0.007278,,,,,,,,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,7440.0,0.953887,1.7
172997207,2.9222230816548475e+18,102.229327339757,-23.9909046281154,0.0888834,13.0369,15.562,0.029,14.17,0.126,11.815,0.022,11.129,0.026,10.971,0.023,13.804,0.000255,14.5385,0.000925,12.984,0.000795,10.855,0.022,10.962,0.021,10.724,0.106,8.566,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,4387.0,23.9275,
172997209,2.9222230816548526e+18,102.219484306962,-23.9914672720218,0.0563181,16.9718,17.438,0.156,17.5082,0.0459,16.379,0.118,16.058,0.233,16.813,,17.3804,0.001109,17.6921,0.007332,16.9139,0.005675,,,,,,,,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,6224.0,1.18234,1.2
172997215,2.92222325345353e+18,102.250431437396,-23.9943134363092,0.0744982,14.6272,13.818,0.092,15.45,0.206,13.577,0.035,13.039,0.044,12.893,0.041,15.3017,0.000326,15.9053,0.001925,14.5703,0.001279,12.728,0.023,12.775,0.024,11.856,,9.067,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,4727.0,9.42523,
172997221,2.922223253453531e+18,102.251596914241,-23.9963186652117,,17.5806,17.53,0.18,18.065,0.0463,16.524,0.147,15.951,,15.53,,17.9552,0.00159,17.7549,0.020331,17.0449,0.011592,,,,,,,,,Berkeley_75,1698.243652461746,Cantat-Gaudin2020,,,
