tic,rp,period,mstar,rstar,tmag,teff,age
183714365,15.618565905522985,25.957041090626653,0.69,1.11952,15.3208,4390.0,6.606934480075965
4379299,34.526565936198246,10.451393098715217,1.42,1.48439,11.0622,6684.71,4.897788193684466
50723715,26.217675550609297,13.306735391601702,1.34,3.60056,8.9967,6521.0,4.897788193684466
11201280,31.830769481057796,16.404374700588424,1.32,1.60347,11.1758,6485.01,4.897788193684466
220079986,12.196186474407709,3.184201363593653,1.159,1.60813,11.7116,6129.0,4.897788193684466
44860400,28.36427783854768,4.5116495837030905,0.94,1.99305,13.5189,5389.0,5.754399373371567
9309817,10.913569190830266,1.114601628080804,0.86,0.993866,14.5495,5109.0,7.585775750291836
353277833,8.848138064494092,1.8350077108940528,0.47,0.557081,16.8199,3512.0,7.585775750291836
385178858,17.25302422887381,2.192989228349181,0.626446,0.649092,16.0956,3113.0,7.585775750291836
385305217,35.19391155881254,7.678278058186278,0.63,0.871142,16.3021,4009.0,7.585775750291836
368544132,5.656805186344852,4.137347865823998,1.16,4.66224,9.332,6141.0,7.585775750291836
220250132,11.41505644976732,9.945470515045963,1.27,1.5724,14.032,6361.0,2.5118864315095824
229358061,18.337428380047605,9.923307690818085,0.78,1.53499,13.2647,4836.0,2.5118864315095824
220283252,23.444219350999465,8.711323000034065,1.12,1.31427,13.8996,6044.0,2.5118864315095824
220212208,35.499363245158754,4.97266779649267,0.98,1.14107,15.6485,5570.0,2.5118864315095824
220323278,26.022543735080124,17.672786976557877,0.61,1.32188,15.2304,3926.0,2.5118864315095824
231147469,21.64842657895285,5.989566437096099,0.66,1.23614,15.6082,4207.0,2.5118864315095824
231189994,5.377565369537596,2.4256625615347893,0.419041,0.424682,16.7586,3677.0,2.5118864315095824
235114772,21.583659509081805,5.568764397676787,0.91,1.20343,14.8123,5304.0,2.5118864315095824
119235653,3.257818286879366,9.898053958349015,0.568033,0.575978,15.258,3150.0,35.481338923357534
35713916,15.462280244122576,5.975650433620294,0.429406,0.434129,16.2367,3168.0,35.481338923357534
399243154,4.480038639876207,6.714349035040689,1.087,1.1311,12.6665,5944.78,21.87761623949552
382933597,5.508065391024432,11.026266855059214,1.34,1.66762,12.2504,6509.84,21.87761623949552
47361825,3.905555901668986,3.779415713178712,1.156,1.69388,12.5553,6123.0,21.87761623949552
53678767,20.792229185758067,5.3734659484624485,0.61,0.976722,15.8917,3936.0,25.118864315095824
49242349,28.283620648478625,3.8568391889490505,1.04,1.01928,12.4805,5795.0,32.35936569296281
123951716,3.9602172471814607,3.1023748213836946,1.26,1.81551,10.983,6343.0,34.673685045253166
148300547,46.77017471274776,17.83783816730997,1.022,1.016,13.4702,5726.0,34.673685045253166
