tic,sigmaOptical,sigmaIR,mstar,rstar,teff,age,tmag,baseline
50792232,,,0.477114,0.479187,2908.0,14.619291674036166,17.0276,45
264539827,,,0.47,0.890821,3524.0,7.420116361981713,15.128,45
433312858,,,0.86,1.24218,5127.0,47.863009232263806,15.9139,45
163416089,,,1.3,2.5113,6432.0,38.904514499428046,14.0205,45
319038689,,,1.352,1.2643,6545.0,34.673685045253166,12.3239,45
427399874,,,0.57,1.11874,3771.0,5.695072263399656,14.0365,45
229302193,,,1.38,1.9001,6616.0,32.35936569296281,14.2645,45
50898561,,,1.01,1.71445,5676.83,9.498146507107382,11.1345,45
426184987,,,0.645124,0.674409,3299.0,7.871718127235421,15.0855,45
432867597,,,0.93,1.3781,5385.0,15.13561248436207,15.6117,45
116585514,0.021469510442012667,0.018452689779962308,1.14,4.9501,6093.0,41.68693834703355,14.0206,45
435668747,,,0.9,0.988339,5242.0,42.65795188015926,15.1974,45
436153908,,,0.97,1.50601,5503.53,12.325915194769594,12.3831,45
264680009,,,0.718,0.882122,4553.0,32.35936569296281,11.1628,45
138829670,,,1.39,1.65919,6633.76,8.922715621957762,10.4778,45
427396708,,,0.462863,0.465418,4092.0,9.382537948085652,17.19,45
1642109633,,,1.0,1.89332,5624.0,40.7380277804113,14.2738,45
427454285,,,0.593049,0.606115,3041.0,6.0,16.3748,45
451940155,,,1.19,4.37798,6210.0,6.918309709189363,13.7573,45
284983518,,,1.4,4.16304,6641.0,15.848931924611142,13.7096,45
174734030,,,0.68,0.752932,4359.0,15.13561248436207,16.2127,45
116472646,,,0.89,1.06596,5239.0,36.3078054770101,15.5961,45
436015550,,,0.569,0.861023,3765.0,10.16729526398544,15.0249,45
11196155,,,0.575584,0.584892,3108.0,11.78839211689746,15.8019,45
185444407,,,1.43,2.64449,6723.0,15.13561248436207,14.8397,45
178052790,,,0.446895,0.450319,3480.0,34.673685045253166,16.9558,45
229342320,,,0.96,1.14716,5467.0,32.35936569296281,15.2814,45
355389500,,,1.25,1.67036,6333.0,26.915348039269137,15.0412,45
214623623,,,1.21,4.10733,6235.0,35.481338923357534,13.5292,45
177927775,,,1.09,1.07218,5950.0,23.442288153199225,16.6069,45
43152697,,,0.574529,0.583638,3257.0,22.387211385683376,15.2204,45
72831455,,,0.644442,0.67347,3476.0,4.897788193684466,14.5242,45
117996162,,,0.85,0.914701,5093.0,7.585775750291836,15.9524,45
229347467,,,1.42,1.21375,6707.0,32.35936569296281,16.2386,45
427377115,,,0.59978,0.614524,3356.0,5.728891790650536,15.7586,45
427395957,,,1.46,0.919309,6805.0,6.118086160708403,13.6974,45
464840355,,,0.45,0.695574,3477.0,9.139857766296224,17.4407,45
42759371,,,0.68,0.873088,4367.0,22.387211385683376,13.3757,45
433152214,,,1.07,1.20581,5891.0,15.13561248436207,15.2008,45
1645303378,,,0.9,2.06455,5259.0,47.863009232263806,15.5298,45
388935776,,,1.39,2.00694,6628.0,11.43312401472583,14.9577,45
178161536,,,0.851,0.84108,5083.0,34.673685045253166,14.0155,45
264485427,,,0.91,0.85152,5309.44,8.629450665479467,12.8983,45
459990543,,,0.250012,0.276466,2990.0,7.184472484513926,17.3002,45
388917818,,,0.86,1.03242,5115.0,14.514211709469109,14.7028,45
264621727,,,0.311294,0.330175,3090.0,6.211463033668535,17.7981,45
144734702,,,0.58,1.19611,3789.0,9.791361812588953,14.2686,45
427377147,,,0.629457,0.653115,3233.0,8.952374777358417,15.0976,45
264740960,,,0.479757,0.481774,2862.0,13.112067489255129,16.5799,45
178382119,,,1.19,1.1736,6200.0,23.442288153199225,16.2342,45
457248808,,,0.535894,0.539697,3164.0,5.0,16.5262,45
50795591,,,1.01,1.4332,5673.23,12.31792828135218,12.0472,45
427395654,,,0.94,1.07943,5410.0,6.686543571093945,14.1336,45
177520509,,,0.92,1.41089,5345.0,23.442288153199225,16.1521,45
264741932,,,0.544339,0.548983,3019.0,7.192719221596521,16.4556,45
358006513,,,0.47,0.946365,3520.0,7.585775750291836,15.357,45
427395922,,,1.409,1.21737,6671.0,2.0,8.54372,45
178161152,,,0.82,0.7198,4962.0,34.673685045253166,14.4934,45
114762282,,,1.4,1.84658,6643.0,15.13561248436207,14.1627,45
204563120,,,0.91,1.51665,5281.0,19.952623149688787,15.8016,45
427373694,,,0.333173,0.349105,4107.0,2.0,17.2016,45
355675686,,,0.611077,0.628928,3226.0,7.585775750291836,16.0931,45
424675469,,,0.93,1.86856,5380.0,21.379620895022324,15.1557,45
138937891,,,1.1,1.75065,5992.73,4.897788193684466,11.6775,45
264594243,,,0.57,1.05007,3777.0,10.321852717025944,13.9802,45
276663891,,,0.378619,0.388656,3067.0,13.498343923609692,17.3754,45
11201461,,,0.539444,0.54358,3104.0,8.21867878157582,16.1029,45
436336914,,,1.33,2.86682,6503.0,4.897788193684466,12.0971,45
50747310,,,0.66,0.614685,4189.72,2.0,11.701,45
220251081,,,0.61,1.26429,3934.0,2.5118864315095824,15.7263,45
427346830,,,0.555212,0.561193,3129.0,13.934650817779636,15.8324,45
1641990680,,,0.88,1.07616,5192.0,38.904514499428046,16.4655,45
391271338,,,0.95,0.945251,5428.0,20.417379446695275,16.2831,45
11458872,,,0.662691,0.698877,3288.0,6.0,15.1912,45
332918675,,,0.386683,0.395758,3043.0,4.897788193684466,16.4281,45
432719481,,,1.17,3.14272,6151.0,9.332543007969903,14.5198,45
226110503,0.014262164313939918,0.011921227576590828,1.44,4.76704,6749.0,24.547089156850287,13.5782,45
388850698,,,0.43,1.17055,3452.0,6.019374865931989,15.0043,45
217826071,0.0643324613519719,0.06636681966979946,1.09,2.503,5947.0,35.481338923357534,15.4752,45
427373741,0.04753187355466105,0.053828980749648335,0.659624,0.694569,3740.0,5.823022835427678,15.9311,45
11195587,,,0.57,1.20842,3780.0,7.177681447345061,14.2593,45
360743608,,,1.31,1.37897,6446.0,15.848931924611142,16.2485,45
264484238,,,1.08,1.33848,5926.57,9.102136485630766,11.3629,45
432451969,,,0.95,1.3292,5462.0,15.13561248436207,15.8439,45
178570245,0.09313745273363004,0.08794428498039364,0.76,0.692987,4749.0,34.673685045253166,14.9256,45
427352648,,,0.607798,0.62471,3504.0,8.934901382788647,16.0111,45
427347161,,,0.66,1.19484,4197.0,8.260686540853898,13.6939,45
124025318,,,0.741,0.709822,4657.0,34.673685045253166,14.61,45
185440933,,,0.87,1.43385,5166.0,15.13561248436207,14.8847,45
332419770,,,1.15,1.94497,6107.0,5.888436553555883,15.8125,45
4378938,,,0.51,0.907829,3612.0,6.592820736296767,14.8177,45
125641248,,,0.8,0.990597,4877.0,6.165950018614822,16.0059,45
368547602,,,0.597516,0.611682,3114.0,7.585775750291836,16.3792,45
318419330,,,0.89,0.848007,5211.0,34.673685045253166,14.1302,45
427373622,,,0.614851,0.633819,4049.0,2.0,17.357,45
264683362,,,0.655383,0.688634,3353.0,13.68104956742163,14.8674,45
413577210,,,1.32,4.54878,6472.0,20.417379446695275,14.8972,45
11288090,,,0.83,1.13187,5019.0,11.55418625086675,13.0629,45
427455445,,,0.637173,0.663531,3361.0,7.0093764838607,15.2174,45
207016869,,,0.612,1.12182,3934.0,2.5118864315095824,15.0097,45
117472327,0.04113251875364586,0.04412527248688441,1.04,1.52438,5799.0,23.988329190194897,15.677,45
449260853,,,0.572925,0.581736,3294.0,6.755196056188559,12.5426,45
118371523,,,0.91,1.69455,5288.0,38.904514499428046,14.3306,45
226200904,,,1.33,2.34795,6494.0,24.547089156850287,15.4452,45
201369095,,,0.491537,0.493442,3160.0,10.684314898382231,16.7059,45
427347954,,,0.633821,0.658989,3248.0,10.325953573964552,15.2007,45
50658071,,,0.54,0.68497,3681.0,10.784027518264772,15.4026,45
178671502,,,0.64,0.716142,4076.0,34.673685045253166,15.5229,45
264484077,,,0.503129,0.505157,3198.0,11.92847712921172,15.6475,45
217196938,,,1.24,2.92477,6309.0,35.481338923357534,15.3597,45
197384980,,,0.83,1.26481,4997.0,5.754399373371567,15.0757,45
243701515,,,1.39,1.00539,6619.0,41.68693834703355,13.9663,45
35949530,,,0.417271,0.423079,3172.0,25.0,15.9532,45
204561995,,,1.09,0.951891,5945.0,41.68693834703355,15.1714,45
201966897,,,1.14,1.57328,6086.0,2.5118864315095824,14.5693,45
388918068,,,0.40413,0.411257,3143.0,6.065489408682625,17.2551,45
361432148,,,0.73,1.32446,4596.0,42.65795188015926,15.5447,45
436154859,,,0.36,1.11346,3335.0,6.642913137197163,15.0158,45
269117694,,,0.64,1.09696,4070.0,12.881536469911364,13.4183,45
11291124,,,0.384577,0.3939,3340.0,14.283129554860617,17.2778,45
4160663,,,0.66,1.33043,4221.63,12.748114111979378,12.8491,45
119449453,,,0.648,0.852915,4138.0,35.481338923357534,13.197,45
50794091,,,0.484394,0.48634,3204.0,2.0,16.9647,45
443757697,,,1.3,1.35146,6428.4,4.897788193684466,12.023,45
424863229,,,1.1,1.46117,5974.0,21.379620895022324,14.7297,45
177279119,0.04146505674170996,0.04525117647447188,1.06,1.11564,5852.0,6.165950018614822,15.7602,45
119549768,,,0.461686,0.464294,3154.0,34.673685045253166,16.6926,45
123549825,,,0.975,0.874818,5542.0,34.673685045253166,13.3836,45
50619913,,,0.529317,0.532581,3169.0,7.501878900654864,16.0726,45
436008620,,,0.625,1.2794,4002.0,11.395682175955743,13.9712,45
264542588,,,0.486468,0.488393,3108.0,11.486342016559808,16.0163,45
710320201,,,0.38,0.824715,3365.0,6.0,15.8302,45
433514378,,,0.96,1.2572,5480.0,13.80384264602884,15.7708,45
464839350,,,0.367939,0.379301,3007.0,10.135245865403538,16.9863,45
50749506,,,1.41,1.46561,6673.58,10.261552728045732,11.8522,45
264539924,,,0.551301,0.556767,3078.0,9.09172358708069,16.0056,45
202114339,,,0.93,1.19762,5383.0,2.5118864315095824,15.9754,45
427454508,,,0.514545,0.51694,3477.0,6.438461971697774,16.2222,45
220339098,,,0.65,1.25156,4122.0,2.5118864315095824,14.7715,45
50742666,,,0.604045,0.61992,3086.0,13.058496079626853,15.6925,45
436013317,,,1.04,1.3294,5790.3,14.931239828278391,13.8786,45
427346654,,,1.35,1.10816,6529.0,4.897788193684466,11.733,45
427396991,,,0.64,1.21981,4079.0,10.64886628892758,13.8827,45
11297122,0.03927417296148553,0.04089237915797361,0.48,1.10384,3546.0,4.897788193684466,15.5246,45
4357230,,,0.618585,0.638698,3353.0,11.0,15.1276,45
279991360,,,1.163,1.19475,6139.0,22.387211385683376,10.536,45
427334312,,,0.68,0.916747,4323.0,13.535097263262331,15.5657,45
50793454,,,0.69,0.71455,4412.0,32.35936569296281,12.2175,45
156389395,,,1.07,2.01593,5884.0,6.602662326752241,12.0996,45
138935911,,,0.623958,0.645784,3389.0,11.138333409351866,14.9723,45
340974690,,,0.59,1.23789,3856.0,2.5118864315095824,15.1188,45
220062492,,,0.556314,0.562448,3202.0,5.566217155508593,15.7204,45
177443355,,,1.11,1.27225,6010.0,34.673685045253166,12.4666,45
43244804,,,0.621,0.851176,3982.0,35.481338923357534,14.397,45
50745056,,,1.05,2.49912,5828.09,12.404673721297067,11.1693,45
427460011,,,0.616614,0.636118,3240.0,9.695009951176743,15.3962,45
200540937,,,0.49,0.910462,3562.0,12.8881427559166,14.8532,45
427398841,,,0.455443,0.458361,2979.0,9.06624901385197,15.8248,45
360079345,,,1.18,1.73786,6172.0,15.848931924611142,14.8138,45
264620168,,,1.1,1.41237,5971.71,8.380757066631265,11.7042,45
388851115,,,0.92,1.07216,5336.0,7.446825663821938,14.5631,45
50727334,,,0.544417,0.54907,3146.0,8.445893476705562,16.291,45
332969842,,,0.22167,0.250748,3066.0,14.500335398825012,15.7646,45
459991729,,,0.68,1.20701,4380.0,6.928768686639621,13.3219,45
177277991,,,0.96,0.82076,5472.0,6.165950018614822,15.2699,45
309795714,,,0.575,1.18892,3783.0,7.591456100233581,14.1278,45
457249731,0.014607768995948964,0.012324185613668498,1.09,1.10219,5945.23,14.443172356689864,13.7434,45
365637508,,,0.628444,0.651759,3454.0,10.84823175575828,12.1685,45
