tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
120383477,426.5795188015934,2.2294303300497966,3.1338153979972883,34.5738717719452,3.098724797042892e+18,101.94398855661,-8.27964997257594,0.326852,14.9177,15.861,0.113,15.86,0.149,14.055,0.032,13.704,0.043,13.616,0.05,15.4787,0.000581,15.9368,0.003098,14.8571,0.002204,13.456,0.028,13.501,0.034,12.478,,9.133,,Theia4604,426.5795188015934,Kounkel2020,6070.0,2.44202,1.13,[13],1,,,,,,,,,0,,0,,0
220119689,346.736850452531,4.644259813323011,12.021126940049523,65.54300591382307,3.325952618815572e+18,98.9502455199112,7.67125410460404,0.407648,15.7724,,,16.7662,0.046,14.701,0.033,14.36,0.052,14.223,0.069,16.4457,0.001146,17.0034,0.006767,15.7006,0.004205,,,,,,,,,NGC_2254,346.736850452531,Cantat-Gaudin2020,5676.0,1.62923,1.01,[11],1,,,,,,,,,0,,0,,0
432805765,2754.2287033381635,2.1989021363149424,14.186943737222624,39.0673663822963,4.103075205324243e+18,277.806284944513,-16.0251659009353,0.485306,16.1974,17.922,0.134,17.2161,0.0471,15.178,0.076,14.763,0.104,14.447,0.099,16.8818,0.001009,17.4043,0.02159,16.0718,0.008114,,,,,,,,,Ruprecht_171,2754.2287033381635,Cantat-Gaudin2020,5212.0,1.23813,0.89,[1],1,,,,,,,,,0,,0,,0
50584879,12.398476349777832,2.405278427689851,2.3141581728113327,16.950831800176893,3.210773106446907e+18,81.97792514,-3.297717711,2.75911,15.946,19.717,0.162,,,14.242,0.027,13.611,0.043,13.37,0.039,17.3002,0.001268,18.9833,0.030928,16.0361,0.003661,13.212,0.025,12.99,0.027,12.141,,8.991,,OSFC,10.0,roquette25,3208.0,0.508531,0.506423,[2],1,,,,,,,,,0,,0,,0
436246446,22.387211385683376,2.8348826402850658,11.309443993091104,23.96268512618489,3.3399654134734664e+18,84.2170224886099,11.6589689064833,3.31462,15.0978,16.103,0.075,17.5254,0.0483,13.47,0.041,12.8,0.039,12.614,0.033,16.3408,0.002965,17.7355,0.014364,15.1595,0.008161,12.258,0.023,12.165,0.023,12.078,,8.84,,Theia55,22.387211385683376,Kounkel2020,3392.0,0.569484,0.562447,[12],1,,,,,,,,,0,,0,,0
390871256,16.98243652461746,2.468768793348521,2.5816820395979674,37.117390134720736,1.8275503358680056e+18,297.09047040616,21.8664359804265,1.25815,16.01,19.328,0.176,17.632,0.0474,14.637,0.062,13.961,0.065,13.793,0.06,16.9592,0.001137,17.8889,0.017444,15.9636,0.004397,13.32,0.037,13.494,0.058,12.677,,8.824,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,4319.0,0.859529,0.68,[15],1,,,,,,,,,0,,0,,0
53239690,47.863009232263806,39.063696657223126,6.503043187095858,8.84232701289495,3.106386159704183e+18,99.8175776282884,-3.17638881170818,0.500855,14.7087,15.635,0.049,15.435,0.24,13.983,0.033,13.789,0.045,13.744,0.049,15.1545,0.000739,15.4968,0.001825,14.6353,0.001737,13.402,0.025,13.484,0.036,11.926,,8.748,,Theia1967,47.863009232263806,Kounkel2020,6807.0,1.50457,1.47,[4],1,,,,,,,,,0,,0,,0
125347031,102.32929922807536,4.096102976108006,2.801053685076174,15.453160234456227,3.0523744377008507e+18,105.642795427312,-7.73725075926974,0.866335,14.0454,15.304,0.061,14.535,0.069,13.386,0.024,13.093,0.022,12.999,0.032,14.5069,0.00047,14.8648,0.003751,13.9814,0.001199,13.008,0.024,13.058,0.028,12.601,,9.05,,Theia2471,102.32929922807536,Kounkel2020,6259.0,1.24796,1.22,[5],1,,,,,,,,,0,,0,,0
264630157,7.2094484778403185,1.6104522160503862,5.667271044589727,10.114531245024835,3.236056681270135e+18,82.09522669,3.487198713,2.93231,15.8585,19.396,0.169,,,14.133,0.047,13.501,0.052,13.178,0.042,17.2234,0.001955,18.9727,0.042733,15.9543,0.004091,12.832,0.024,12.7,0.028,11.79,0.272,8.893,,OSFC,10.0,roquette25,3174.0,0.518795,0.516321,[10],1,,,,,,,,,0,,0,,0
264593857,13.951686928938882,1.0035277208694786,0.9255452086438382,7.146037308928346,3.222174698428319e+18,80.69391666666667,1.5670277777777777,2.30999,15.5988,20.071,0.162,,,13.683,0.027,13.046,0.023,12.796,0.037,17.0344,0.001462,18.8649,0.044685,15.7056,0.004237,12.608,0.024,12.337,0.025,11.659,,8.902,,OSFC,10.0,roquette25,3109.0,0.68139,0.650176,[3],1,7.146037308928346,1.0035277208694786,0.00018151119435790117,0.053116471595988736,0.05610071645980966,81.87100043311275,6.297196341779023,0.8812772792997247,0,0.1068519639287561,0,,0
220213923,2.5118864315095824,1.0383423731982084,1.0437530452499766,43.185216330526224,3.326997395377743e+18,99.5367194702761,10.3925232069099,0.832503,16.1672,18.947,0.068,17.638,0.0467,14.831,0.037,14.16,0.044,13.953,0.054,17.0687,0.002318,17.9096,0.013058,16.1446,0.00511,13.97,0.028,14.232,0.046,12.111,,8.422,,Theia41,2.5118864315095824,Kounkel2020,5153.0,1.01192,0.87,[11],1,,,,,,,,,0,,0,,0
279795880,173.78008287493762,2.751438222543838,11.564081445115985,21.639397162876875,3.1064024118605507e+18,100.422609383999,-3.08503183825778,0.56857,16.2242,17.525,0.121,17.1184,0.0469,15.348,0.05,14.816,0.072,14.766,0.109,16.844,0.000955,17.3399,0.022012,16.1418,0.007107,14.808,0.035,14.674,0.062,11.947,,8.789,,Theia3093,173.78008287493762,Kounkel2020,5529.0,0.916097,0.97,[4],1,,,,,,,,,0,,0,,0
284998020,7.87167360545317,1.306935024056051,2.444309651438964,16.749998234835893,3.338244574696284e+18,82.50138763,10.22809207,2.23302,15.8808,20.369,0.163,,,14.069,0.031,13.373,0.034,13.084,0.034,17.3128,0.002721,19.1288,0.027059,15.9862,0.011376,12.961,0.025,12.749,0.026,11.708,0.279,8.966,,OSFC,10.0,roquette25,3116.0,0.640598,0.620031,[12],1,,,,,,,,,0,,0,,0
164841704,141.25375446227554,23.994232549180392,1.450465398486288,5.649040981374243,4.251401797849288e+18,281.304082831137,-9.4228713092263,0.555839,13.8412,15.248,-0.032,14.829,0.172,12.939,0.024,12.664,0.025,12.58,0.023,14.4076,0.000497,14.8666,0.003779,13.7709,0.001889,,,,,,,,,NGC_6694,141.25375446227554,Cantat-Gaudin2020,6549.0,2.42788,1.35,[8],1,,,,,,,,,0,,0,,0
32739800,107.15193052376048,2.509510598657505,2.838757272567247,55.83793586040074,4.252008449001816e+18,283.257829261255,-7.78909407558603,0.957919,13.535,14.737,0.04,14.2,0.08,12.781,0.036,12.564,0.045,12.458,0.037,13.9965,0.00037,14.3519,0.003591,13.4695,0.002077,,,,,,,,,Theia291,107.15193052376048,Kounkel2020,6131.0,1.43903,1.16,[8],1,,,,,,,,,0,,0,,0
