tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
281720504,36.3078054770101,2.277298786692846,6.5352107928692815,21.765236941648947,3.101937737516107e+18,102.553741176105,-5.32661604013981,0.680796,14.0337,16.003,0.11,15.016,0.103,12.783,0.026,12.41,0.023,12.208,0.027,14.6857,0.000456,15.2114,0.002496,13.9517,0.002601,12.039,0.022,11.926,0.023,8.536,0.041,5.766,0.05,Theia1885,36.3078054770101,Kounkel2020,5857.0,2.13542,1.06,[13],1,,,,,,,,,0,,0,,0
180315858,891.2509381337442,1.6685864696681154,6.58472243336503,5.313524058538203,4.2690888167457137e+18,287.258188917863,3.70060615381828,0.257189,15.981,,,17.4743,0.0461,14.646,0.066,14.244,0.048,14.028,0.068,16.8952,0.000771,17.7119,0.007684,15.931,0.00285,,,,,,,,,Theia6148,891.2509381337442,Kounkel2020,5676.0,3.0035,1.01,[17],1,,,,,,,,,0,,0,,0
181769569,758.5775750291851,2.2334802750058,6.058829963730708,49.492640171318456,4.267860387359284e+18,288.207521712366,2.21880656502524,0.84572,15.527,18.194,0.074,16.592,1.133,14.42,0.045,13.914,0.05,13.695,0.065,16.3178,0.001209,17.0272,0.011986,15.4829,0.002496,13.725,0.159,14.018,0.167,12.15,,9.184,,Theia5830,758.5775750291851,Kounkel2020,5189.0,1.14156,0.88,[17],1,,,,,,,,,0,,0,,0
32878108,107.15193052376048,2.484063827320567,10.385922074840618,53.548137372592194,4.203156047856521e+18,283.303994538797,-9.78581167868442,1.11768,14.5214,16.341,0.046,15.368,0.126,13.487,0.029,13.135,0.036,12.97,0.035,15.1961,0.001111,15.7793,0.007272,14.4653,0.003117,12.886,0.036,13.057,0.039,11.83,,8.544,,Theia291,107.15193052376048,Kounkel2020,5182.0,1.15742,0.88,[8],1,,,,,,,,,0,,0,,0
185441594,15.13561248436207,1.7852866549816258,8.820028433522156,43.103859880472186,4.093851161738293e+18,272.450696368795,-21.4019579565968,0.597371,15.4873,18.159,0.113,16.349,0.15,14.6,0.046,14.048,,14.041,,16.1051,0.00082,16.6085,0.008496,15.4165,0.004091,,,,,,,,,Theia1714,15.13561248436207,Kounkel2020,5850.0,1.19133,1.06,[6],1,,,,,,,,,0,,0,,0
50897494,10.0,1.1617321555271318,1.566834651108437,1.4439012610253394,3.2171806478966446e+18,83.34470833333333,-1.728277778,2.27639,13.9674,16.903,0.065,15.492,0.126,12.535,0.022,11.876,0.022,11.673,0.026,14.8695,0.003019,15.7812,0.011938,13.902,0.008605,11.533,0.024,11.489,0.022,9.76,0.052,8.078,0.253,OSFC,10.0,roquette25,4038.0,1.21915,0.63,[3],1,,,,,,,,,0,,0,,0
175566988,245.47089156850336,1.0880190262649658,1.2335467011751324,16.57443344583797,4.292269850382057e+18,289.131944353164,3.58615265243001,0.639372,14.3914,16.711,0.101,15.706,0.08,13.29,0.024,12.875,0.03,12.767,0.033,15.1272,0.000421,15.7653,0.003836,14.3387,0.001652,12.657,0.032,12.675,0.031,11.623,,8.776,,Theia3612,245.47089156850336,Kounkel2020,5736.0,2.18511,1.02,[17],1,,,,,,,,,0,,0,,0
112621761,208.9296130854041,0.9902770124085338,0.8835256435973764,1.6205724343370165,2.022866928589441e+18,292.42932711308,24.6148061513412,0.678541,15.9916,17.964,0.051,17.1005,0.0462,14.974,0.037,14.501,0.047,14.32,0.073,16.7225,0.00075,17.3249,0.010048,15.902,0.003,14.445,0.05,14.817,0.085,12.699,,8.497,,Theia3363,208.9296130854041,Kounkel2020,5279.0,1.03338,0.91,[15],1,,,,,,,,,0,,0,,0
220335688,64.56542290346549,2.326493432382424,6.82233294348949,57.414585237537885,3.134248192370058e+18,100.397346193027,8.10701633057882,0.706023,14.9439,16.6,0.069,15.993,0.08,13.986,0.028,13.594,0.027,13.558,0.05,15.6113,0.000773,16.1788,0.002567,14.8881,0.002433,13.36,0.026,13.36,0.035,11.842,,8.718,,Theia2118,64.56542290346549,Kounkel2020,6032.0,1.37184,1.12,[11],1,,,,,,,,,0,,0,,0
432953822,794.3282347242822,2.0454759396841613,16.30273539304312,28.46251982212325,4.103071318318095e+18,277.929015523147,-16.0694923230385,0.574047,14.9552,16.831,0.115,15.7525,0.0462,14.035,0.037,13.746,0.035,13.599,0.042,15.5216,0.000704,15.9139,0.011875,14.8238,0.008977,,,,,,,,,Theia5903,794.3282347242822,Kounkel2020,5836.0,1.45623,1.05,[1],1,,,,,,,,,0,,0,,0
163731535,114.8153621496884,1.337293094435991,2.672037560704008,52.303389356182166,4.253160737181421e+18,280.982328379239,-6.73000149972781,0.265369,14.7896,,,15.777,0.115,13.913,0.047,13.691,0.07,13.566,0.059,15.3918,0.000563,15.8395,0.003936,14.6729,0.003538,,,,,,,,,Theia2598,114.8153621496884,Kounkel2020,6530.0,3.25931,1.35,[8],1,,,,,,,,,0,,0,,0
231189987,72.44359600749905,3.008966656784264,24.6110155952354,53.34206431919122,3.3507496940998385e+18,100.862257551864,9.96113427490912,2.05134,13.1013,14.49,0.048,13.724,0.114,12.283,0.023,11.881,0.024,11.798,0.023,13.6104,0.003049,14.0141,0.011011,13.0349,0.007591,11.767,0.023,11.754,0.022,11.245,0.198,7.804,,Theia189,72.44359600749905,Kounkel2020,5461.0,0.937948,0.954,[11],1,,,,,,,,,0,,0,,0
1647557778,2754.2287033381635,3.150232957406655,30.581928895150444,35.5790970311448,4.102884337017189e+18,278.082699339833,-16.0813771751198,0.586635,15.1873,,,16.0165,0.046,,,,,,,15.7716,0.000859,16.2473,0.006682,15.1213,0.002486,,,,,,,,,Ruprecht_171,2754.2287033381635,Cantat-Gaudin2020,5678.0,1.33435,1.01,[1],1,,,,,,,,,0,,0,,0
355292255,169.8243652461746,2.430790681927747,8.281813406202577,34.00840104666075,4.50647595412479e+18,285.820293718872,13.8626561318167,0.686164,14.5339,16.605,0.108,15.594,0.183,13.52,0.023,13.165,0.022,13.083,0.033,15.2122,0.000483,15.7917,0.003116,14.4792,0.001524,13.053,0.031,13.096,0.037,12.109,,9.058,,Theia3061,169.8243652461746,Kounkel2020,6105.0,1.71629,1.15,[9],1,,,,,,,,,0,,0,,0
167935689,1548.8166189124795,1.1437531716272775,1.4793909661529907,43.131915677258654,4.278163429743819e+18,274.792416111145,3.38430345701601,0.366592,15.8109,17.619,0.075,16.772,1.133,14.895,0.04,14.536,0.055,14.43,0.077,16.4598,0.000994,17.0092,0.007201,15.7532,0.003015,14.423,0.033,14.686,0.072,12.354,,9.064,,Theia7229,1548.8166189124795,Kounkel2020,5513.0,1.75444,0.97,[16],1,,,,,,,,,0,,0,,0
11199544,10.0,1.727021649328211,7.633397555042892,19.61489781421088,3.217488854749348e+18,84.49013519,-1.285424948,2.61215,14.4871,17.938,0.042,16.493,0.06,12.901,0.03,12.155,0.023,11.981,0.028,15.566,0.003878,16.8267,0.023626,14.437,0.008269,11.883,0.023,11.777,0.021,11.762,0.259,8.289,,OSFC,10.0,roquette25,3634.36,1.10094,0.52,[3],1,,,,,,,,,0,,0,,0
385573395,26.915348039269137,1.8667501552771133,10.746315943132076,3.964508212271851,4.515122238662461e+18,290.552743048034,18.6343450032791,0.965122,15.5225,19.399,0.169,17.3652,0.0465,14.106,0.047,13.351,0.042,13.121,0.04,16.5849,0.0009,17.6462,0.01066,15.5675,0.002083,12.838,0.036,12.869,0.026,11.188,0.21,8.674,,Theia1796,26.915348039269137,Kounkel2020,6450.0,1.34757,1.31,[7],1,,,,,,,,,0,,0,,0
