tic,teff,tmag,mass,radius,sigma,GAIA,ra,dec,mstar,rstar,plx,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,age,e_age,assoc,ref
470024495,6370.0,8.86578,1.27,1.45322,0.0006068309421599,2.005649882148603e+18,331.246564478179,55.0802796050021,1.27,1.45322,6.97922,9.79,0.04,9.338,0.003,8.377,0.024,8.125,0.023,8.078,0.02,9.20938,0.000176,9.47459,0.000695,8.82388,0.001325,8.046,0.023,8.075,0.02,8.039,0.021,7.841,0.124,200.0,,Theia_507,Kounkel+2019;Kounkel+2020
470121382,6216.0,9.49456,1.197,1.23961,0.0008607837671998,2.2855515221242609e+18,329.83103750195,80.7236698851743,1.197,1.23961,6.40588,10.451,0.059,9.956,0.004,8.861,0.026,8.626,0.02,8.625,0.022,9.86512,0.002448,10.0911,0.001486,9.38843,0.002005,8.535,0.023,8.566,0.02,8.534,0.022,8.629,0.279,21.0,,CFN,Kerr+2023
470205411,6678.0,9.04617,1.412,1.43799,0.00181274723856,2.285593651459656e+18,338.829626211786,78.7387227311688,1.412,1.43799,6.13381,9.867,0.043,9.443,0.003,8.644,0.03,8.445,0.053,8.391,0.04,9.35482,0.000285,9.59219,0.001784,9.00572,0.001472,8.363,0.023,8.388,0.021,8.274,0.021,6.74,0.075,21.0,,CFN,Kerr+2023
470215950,6408.0,7.9846,1.29,1.34067,0.00053485194816,5.958180329030512e+18,267.215045588467,-39.4303466774337,1.29,1.34067,11.1907,8.929,0.033,8.42,0.03,7.524,0.021,7.36,0.038,7.309,0.023,8.31771,0.000394,8.57507,0.002061,7.94465,0.001324,7.192,0.048,7.273,0.021,7.296,0.018,6.955,0.091,17.0,,Sco-Cen,Kerr+2023
470310704,5316.07,11.0575,0.916,0.714741,0.0017316688795198,2.715032308823026e+17,64.6328154847338,50.8648940873555,0.916,0.714741,7.2477,12.756,0.067,11.641,0.023,10.107,0.022,9.677,0.026,9.548,0.02,11.6588,0.002655,12.181,0.008768,11.0069,0.006894,9.499,0.023,9.54,0.02,9.437,0.047,8.576,0.335,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
470448115,6878.0,6.6861,1.49,1.68729,0.0009568425715201,2.723263570729245e+17,66.0226979456666,53.4952687346212,1.49,1.68729,14.4922,7.4,0.025,7.06144,0.023,6.309,0.037,6.137,0.059,6.086,0.021,6.95173,0.000215,7.16023,0.001202,6.65519,0.001592,6.061,0.126,5.985,0.042,6.076,0.015,6.022,0.054,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
470530712,6362.01,9.78503,1.266,1.37181,0.00091272506256,2.1084932906693824e+17,83.8662674148744,47.8101529969465,1.266,1.37181,4.89738,10.723,0.113,10.323,0.008,9.307,0.024,9.09,0.033,9.026,0.02,10.1417,0.000412,10.4131,0.001078,9.7368,0.000845,8.981,0.023,9.022,0.02,8.948,0.031,8.649,0.423,188.0,,Theia_433,Kounkel+2019;Kounkel+2020
470895478,5784.0,10.5835,1.037,1.28921,0.0013414898822398,4.6453844435940006e+17,42.1369449931641,59.9465333877474,1.037,1.28921,4.30064,11.971,0.197,11.33,0.014,9.995,0.023,9.671,0.026,9.642,0.023,11.0371,0.00047,11.4017,0.001016,10.5355,0.000602,9.565,0.023,9.603,0.02,9.284,0.04,7.911,,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
470933866,8080.91,8.49006,1.962,1.59287,0.00048436325496,4.4719735927910746e+17,47.4794788215881,54.1821567839924,1.962,1.59287,5.49604,8.932,0.035,8.7,0.03,8.192,0.024,8.157,0.055,8.121,0.023,8.65487,0.000355,8.79191,0.001639,8.45915,0.00164,8.083,0.023,8.104,0.019,8.097,0.021,7.825,0.16,58.0,,Per OB3,Kerr+2023
470968635,6898.0,9.28415,1.501,1.51704,0.00073678826664,9.863576262835244e+17,110.534132583087,52.2884654467962,1.501,1.51704,4.92172,10.028,0.061,9.669,0.004,8.926,0.024,8.751,0.034,8.724,0.02,9.5557,0.000254,9.76315,0.001282,9.24543,0.00132,8.69,0.022,8.71,0.018,8.631,0.024,8.03,0.194,97.0,,Theia_214,Kounkel+2019;Kounkel+2020
