tic,teff,tmag,mass,radius,sigma,GAIA,ra,dec,mstar,rstar,plx,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,age,e_age,assoc,ref
10018208,6613.0,9.31756,1.384,1.78578,0.0007553133215999,2.788260513384452e+17,71.2879297590062,58.6275523675598,1.384,1.78578,4.70047,10.261,0.043,9.775,0.003,8.77,0.02,8.552,0.015,8.496,0.019,9.6788,0.000465,9.96162,0.000644,9.27189,0.001194,8.444,0.023,8.474,0.02,8.446,0.025,8.172,0.23,188.0,,Theia_433,Kounkel+2019;Kounkel+2020
100495933,6748.0,9.16624,1.442,1.51136,0.0008414051543997,1.8947873616542587e+18,336.475153965155,30.4955541524679,1.442,1.51136,5.38318,9.926,0.041,9.493,0.003,8.753,0.019,8.562,0.029,8.531,0.018,9.45785,0.00017,9.67853,0.000435,9.12428,0.000486,8.478,0.024,8.501,0.02,8.459,0.028,8.502,0.355,151.0,,Theia_372,Kounkel+2019;Kounkel+2020
100597102,5336.0,11.6154,0.921,0.876753,0.0024412558356,1.900646624758755e+18,337.247936664884,30.9822012583583,0.921,0.876753,4.51086,13.181,0.354,12.476,0.025,10.871,0.023,10.487,0.02,10.396,0.017,12.1359,0.000199,12.5664,0.000784,11.5624,0.000425,10.388,0.023,10.437,0.021,10.389,0.073,9.097,,151.0,,Theia_372,Kounkel+2019;Kounkel+2020
100611936,5697.0,9.6958,1.01,0.94479,0.00083872888848,2.888118876655268e+18,87.0271342898526,-35.779522333762,1.01,0.94479,8.91832,10.968,0.076,10.24,0.005,9.148,0.027,8.797,0.034,8.737,0.025,10.1489,0.000775,10.5171,0.002863,9.65151,0.002131,8.648,0.023,8.7,0.021,8.645,0.025,8.467,0.263,107.0,,Theia_301,Kounkel+2019;Kounkel+2020
100678988,7603.0,8.83319,1.77,1.53833,0.0022066017012,2.903002965560896e+18,87.3280451572273,-31.0912054332099,1.77,1.53833,5.21603,9.3,0.035,9.056,0.003,8.493,0.03,8.415,0.042,8.407,0.024,9.00995,0.000342,9.14861,0.001804,8.79865,0.002096,8.29,0.023,8.307,0.02,8.303,0.022,8.172,0.194,19.0,,Vela,Kerr+2023
100724993,5145.0,10.3958,0.87,0.767443,0.00117353264184,2.887775588507303e+18,87.7578725443431,-35.4211800644526,0.87,0.767443,9.62263,12.343,0.187,11.14,0.021,9.637,0.024,9.238,0.022,9.124,0.021,10.9436,0.000642,11.416,0.002167,10.3526,0.00159,9.072,0.023,9.127,0.021,9.058,0.028,8.652,0.335,107.0,,Theia_301,Kounkel+2019;Kounkel+2020
100940603,5178.64,7.9049,0.88,0.817696,0.0004053910593601,5.70884177503968e+18,129.314743162066,-17.4946524963196,0.88,0.817696,27.6133,9.544,0.0,8.72,0.03,7.168,0.03,6.792,0.063,6.686,0.026,8.45028,0.000555,8.92053,0.002047,7.86095,0.001565,6.64,0.073,6.625,0.021,6.644,0.015,6.601,0.067,34.5,,Car-near,
101100599,5458.0,9.8452,0.95,0.903218,0.00095422119984,4.836484576636946e+18,57.6228234353284,-43.6183980945241,0.95,0.903218,9.31873,11.162,0.08,10.463,0.006,9.209,0.026,8.837,0.027,8.702,0.021,10.3301,0.002393,10.7283,0.008437,9.79703,0.005796,8.478,0.022,8.486,0.019,8.486,0.02,8.261,0.154,35.0,,Crius_164,
101219458,6540.0,10.5677,1.35,1.73111,0.0015913442088001,2.181697357480192e+17,55.5676826423073,33.9279929459829,1.35,1.73111,3.10906,11.912,0.124,11.196,0.046,9.931,0.018,9.649,0.017,9.579,0.015,11.0213,0.000605,11.3874,0.000731,10.5158,0.000556,9.546,0.023,9.56,0.021,9.684,0.049,8.464,,9.0,,Ori-Per,Kerr+2023
101444131,7479.0,6.5203,1.72,1.92819,0.00223217984376,3.383085648175728e+18,99.5787605961513,24.4504207447049,1.72,1.92819,12.1466,6.999,0.027,6.7728,0.023,6.214,0.026,6.183,0.018,6.132,0.024,6.69967,0.000469,6.85147,0.002299,6.50039,0.005727,6.068,0.11,6.008,0.035,6.164,0.021,5.964,0.064,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
101445682,5627.0,8.9836,1.0,0.968734,0.0006434540272799,3.3828971119950367e+18,99.6150204056604,24.3488657029152,1.0,0.968734,12.1764,10.42,0.09,9.568,0.007,8.305,0.026,8.006,0.02,7.884,0.02,9.43775,0.001005,9.80928,0.004521,8.94106,0.004618,7.826,0.026,7.842,0.02,7.832,0.024,7.71,0.229,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
101447539,7687.0,10.6764,1.8,1.70799,0.0014923132948799,3.383312628606939e+18,99.7208443637182,25.549206841122,1.8,1.70799,1.99691,11.129,0.15,10.933,0.012,10.357,0.021,10.316,0.024,10.228,0.02,10.8532,0.000603,10.9889,0.001458,10.636,0.001952,10.204,0.022,10.231,0.02,10.171,0.098,8.306,,114.0,,Theia_324,Kounkel+2019;Kounkel+2020
101544662,4181.0,9.2711,0.65,0.670318,0.00250707246624,6.666178680963755e+18,301.849045275826,-51.7909081678144,0.65,0.670318,29.3646,11.575,0.114,10.561,0.01,8.158,0.024,7.565,0.044,7.388,0.033,10.0448,0.002442,10.8143,0.008945,9.21782,0.006246,7.231,0.034,7.256,0.02,7.19,0.016,7.187,0.12,48.5,,Tuc-Hor,
101547272,6204.91,9.80052,1.192,1.10037,0.0010938312503999,7.063247922145796e+17,129.800940654793,30.2607965550445,1.192,1.10037,6.29624,10.877,0.104,10.468,0.007,9.272,0.019,9.007,0.016,8.912,0.014,10.1765,0.000599,10.4659,0.000824,9.75262,0.000793,8.923,0.023,8.934,0.019,8.895,0.029,8.875,0.466,126.0,,Crius_217,
102219915,6960.0,7.5447,1.52,1.57779,0.0005195818367998,6.141995823908711e+18,195.902767304075,-38.9684436797581,1.52,1.57779,10.2508,8.19,0.026,7.88,0.03,7.188,0.032,7.033,0.034,6.977,0.024,7.7971,0.000906,7.98627,0.003025,7.50532,0.003875,6.931,0.052,6.953,0.02,6.96,0.016,6.954,0.07,180.0,,Crius_191,
1028816,6744.45,8.43709,1.44,1.35455,0.0005197598668799,2.486925844095191e+18,33.8389150325912,-7.12628464915817,1.44,1.35455,8.36088,9.164,0.029,8.84,0.03,8.044,0.02,7.904,0.038,7.873,0.023,8.72861,0.000274,8.95123,0.001862,8.39784,0.001939,7.789,0.027,7.825,0.02,7.801,0.018,7.704,0.155,208.0,4.0,HSC_1448            ,Hunt+2024
102951819,6266.0,10.2742,1.22,1.06807,0.00133596370656,5.437168880097239e+17,58.5176305203929,73.1588791703476,1.22,1.06807,5.21171,11.204,0.092,10.686,0.006,9.758,0.02,9.52,0.018,9.479,0.015,10.6504,0.000362,10.9421,0.000933,10.2279,0.000911,9.431,0.023,9.454,0.02,9.426,0.034,8.614,,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103061286,8085.0,9.0379,1.96,1.51081,0.0021085613294401,5.365383445227826e+18,156.160231738521,-47.316006793806,1.96,1.51081,4.53996,9.412,0.033,9.204,0.003,8.81,0.035,8.766,0.047,8.738,0.023,9.16475,0.000275,9.27194,0.001016,9.00454,0.000982,8.699,0.023,8.727,0.02,8.643,0.025,7.925,0.162,80.0,,Theia_233,Kounkel+2019;Kounkel+2020
103347855,6897.0,9.20974,1.5,1.45197,0.0007505561980801,5.015704082928878e+17,65.7105385006882,73.6162584171579,1.5,1.45197,5.34389,9.922,0.04,9.509,0.003,8.832,0.034,8.667,0.023,8.617,0.019,9.48377,0.000241,9.69136,0.001264,9.16869,0.001648,8.6,0.023,8.624,0.019,8.597,0.024,8.53,0.364,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103506688,5223.0,11.4896,0.89,0.758037,0.00247405988736,5.501233986665366e+17,67.4715970554008,75.0186459907716,0.89,0.758037,5.79925,13.231,0.322,12.204,0.028,10.728,0.021,10.306,0.018,10.253,0.015,12.0346,0.000546,12.4945,0.001546,11.4391,0.001161,10.184,0.023,10.232,0.021,10.13,0.047,8.939,,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103556060,7348.51,10.2869,1.67,1.80193,0.00259607439648,5.367650432038702e+18,157.456833562953,-44.0652435590757,1.67,1.80193,2.53751,10.68,0.063,10.53,0.005,10.035,0.023,9.958,0.023,9.934,0.022,10.4361,0.000381,10.5546,0.000789,10.2464,0.000994,9.765,0.02,9.846,0.018,9.855,0.04,9.028,0.397,80.0,,Theia_233,Kounkel+2019;Kounkel+2020
104024636,7948.0,7.91182,1.91,1.74911,0.0021886423502399,4.532892034535277e+17,43.419776947699,53.802788145297,1.91,1.74911,6.59371,8.575,0.0,8.08,0.03,7.646,0.021,7.611,0.02,7.587,0.021,8.04067,0.000489,8.15019,0.001306,7.88374,0.001238,7.569,0.031,7.588,0.021,7.468,0.018,6.557,0.08,58.0,,Per OB3,Kerr+2023
104066402,5042.0,10.0711,0.84,1.06398,0.00102164938128,4.4026614105752166e+17,43.8641473322591,50.3396564464382,0.84,1.06398,8.46447,11.868,0.165,10.947,0.013,9.259,0.022,8.796,0.02,8.703,0.015,10.6446,0.000397,11.1405,0.000799,10.0225,0.000557,8.639,0.165,8.714,0.02,8.656,0.026,8.645,0.376,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
104319359,7660.0,8.41587,1.793,1.70878,0.001974070512,2.4940868645943142e+17,54.6462635096089,48.5934898046217,1.793,1.70878,5.66854,8.859,0.033,8.64,0.03,8.104,0.02,8.067,0.02,8.005,0.027,8.58912,0.000345,8.72491,0.000932,8.38012,0.001466,7.978,0.025,7.993,0.02,8.004,0.02,8.042,0.2,58.0,,Per OB3,Kerr+2023
105013025,7770.0,11.622,1.84,1.55931,0.0034557307358399,2.0584717951472712e+18,300.728885647306,34.1462162880009,1.84,1.55931,1.4509,12.085,0.297,11.982,0.027,11.29,0.021,11.215,0.023,11.177,0.021,11.8193,0.00035,11.962,0.001697,11.5657,0.00081,11.08,0.033,11.107,0.031,10.555,0.175,8.979,,159.0,,Theia_470,Kounkel+2019;Kounkel+2020
105710145,3788.0,10.8054,0.58,1.04992,0.01572398908992,5.416606290347735e+18,156.508773939915,-41.0982938577264,0.58,1.04992,11.7807,13.969,0.051,12.649,0.069,9.176,0.02,8.494,0.047,8.272,0.027,11.7562,0.002218,12.8199,0.011085,10.7298,0.005272,8.15,0.022,8.057,0.019,7.948,0.02,7.854,0.169,17.0,,Sco-Cen,Kerr+2023
106812796,5775.0,10.6778,1.03,1.00947,0.0015226970544,5.391759492222513e+18,161.065139211456,-41.7064352824813,1.03,1.00947,5.24076,11.972,0.046,11.298,0.034,10.047,0.022,9.784,0.024,9.714,0.021,11.1276,0.000557,11.4915,0.000747,10.633,0.000506,9.66,0.023,9.701,0.019,9.626,0.035,8.756,,174.0,,Theia_432,Kounkel+2019;Kounkel+2020
10802452,5314.0,7.7224,0.92,0.831879,0.0003433063247998,2.470272812780609e+18,20.1344502748145,-11.4677023085925,0.92,0.831879,28.3029,9.199,0.025,8.43,0.03,7.026,0.02,6.654,0.042,6.549,0.021,8.22538,0.000519,8.64899,0.001455,7.67971,0.001969,6.537,0.077,6.525,0.023,6.545,0.016,6.375,0.062,150.0,,ABDMG,
10988057,7918.0,4.7906,1.9,1.93986,0.0057157418231999,2.0605235181978445e+18,303.633466632707,36.806301279205,1.9,1.93986,24.9257,5.083,0.022,4.94292,0.023,4.886,0.306,4.688,0.242,4.422,0.017,4.9147,0.0038674,5.00145,0.002931,4.74538,0.004308,4.419,0.264,4.055,0.107,4.468,0.016,4.435,0.032,8.0,,Argus,
11046514,5990.0,9.87821,1.103,1.00645,0.0009445255631999,3.251537981081838e+18,56.1118081317965,-0.687245741174463,1.103,1.00645,7.2158,11.039,0.017,10.49,0.03,9.317,0.027,8.971,0.023,8.943,0.021,10.3021,0.000473,10.6389,0.000704,9.83169,0.001197,8.891,0.025,8.934,0.024,8.849,0.03,8.314,0.314,90.0,,Crius_172,
110974138,7829.0,11.0898,1.861,1.54525,0.0025855552735199,5.599375874859423e+18,114.743813662592,-29.4851633315215,1.861,1.54525,1.7839,11.405,0.135,11.259,0.012,10.808,0.026,10.719,0.023,10.68,0.024,11.2505,0.000794,11.3701,0.001839,11.0445,0.000752,10.625,0.023,10.652,0.021,10.534,0.079,8.295,,26.0,,Haffner 13,Kerr+2023
11165188,6420.0,9.51759,1.293,1.33703,0.0008008677431999,3.2262972829177226e+18,73.0306292656416,-1.9825429904027,1.293,1.33703,5.59954,10.448,0.074,9.906,0.005,9.048,0.03,8.814,0.026,8.743,0.025,9.8601,0.000401,10.1219,0.001126,9.47257,0.001097,8.696,0.023,8.707,0.021,8.687,0.026,8.564,0.323,79.0,,Theia_160,Kounkel+2019;Kounkel+2020
11233542,7817.0,8.57918,1.857,1.53349,0.0017945233056,5.0801848993696666e+17,29.837915785935,60.4611059025186,1.857,1.53349,5.96333,8.872,0.0,8.83,0.03,8.296,0.026,8.213,0.024,8.157,0.023,8.76281,0.000213,8.90976,0.000489,8.53909,0.000561,8.118,0.023,8.155,0.019,8.093,0.02,7.627,0.122,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
11244460,5081.0,10.239,0.85,0.80462,0.0012619759305599,5.088504465815364e+17,29.9934721931181,62.6949043715009,0.85,0.80462,9.99062,11.893,0.107,11.058,0.008,9.428,0.022,9.005,0.022,8.895,0.018,10.7906,0.001001,11.2609,0.003719,10.1879,0.002467,8.832,0.023,8.869,0.02,8.819,0.027,8.377,0.279,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
11286076,8049.0,10.4633,1.95,1.57463,0.001834201008,3.2161092425342894e+18,84.6146911544724,-2.72572579912873,1.95,1.57463,2.36729,10.884,0.027,10.746,0.035,10.176,0.028,10.099,0.026,10.103,0.027,10.6272,0.000455,10.7563,0.001615,10.4167,0.000754,10.022,0.022,10.04,0.02,9.898,0.053,8.165,,9.0,,Ori-Per,Kerr+2023
113528585,4557.0,9.602,0.72,0.698747,0.0008092055376001,2.826708403464612e+18,355.667397345217,21.8201389319588,0.72,0.698747,19.5702,11.69,0.113,10.589,0.011,8.645,0.019,8.106,0.021,8.002,0.027,10.2707,0.000348,10.8906,0.001145,9.55268,0.001017,7.925,0.024,8.015,0.021,7.932,0.02,7.909,0.238,190.0,,Crius_168,
113810286,5786.81,7.9033,1.04,0.936308,0.0006660001310399,1.1036509884187494e+17,47.8076752207526,22.4158642302216,1.04,0.936308,19.7241,9.14,0.033,8.51,0.03,7.273,0.02,7.069,0.053,6.968,0.027,8.33262,0.001182,8.67856,0.003955,7.86049,0.004064,6.912,0.058,6.929,0.018,6.938,0.017,6.703,0.078,150.0,,ABDMG,
113922425,6313.67,8.70319,1.243,1.4928,0.0006261041232,6.457573094490355e+16,54.3502219083882,22.3509987686557,1.243,1.4928,7.53316,9.679,0.04,9.154,0.003,8.141,0.021,7.946,0.017,7.902,0.027,9.06954,0.000503,9.35693,0.001478,8.66195,0.002121,7.839,0.025,7.868,0.019,7.856,0.021,7.871,0.228,112.0,,PLE,
113955498,6109.6,9.53893,1.151,1.1116,0.0008500245559199,6.467190385261862e+16,54.5940794382466,22.4996789254476,1.151,1.1116,7.24835,10.67,0.042,10.09,0.03,9.018,0.03,8.775,0.023,8.696,0.018,9.93384,0.000869,10.2459,0.002335,9.49574,0.002203,8.656,0.023,8.693,0.02,8.625,0.029,8.533,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
113978010,4664.01,11.6994,0.742,0.728184,0.0025643232993599,6.427631588856742e+16,54.6242326902301,21.5650847493455,0.742,0.728184,7.30924,13.717,0.035,12.603,0.069,10.637,0.021,10.086,0.023,9.951,0.02,12.3888,0.001448,13.0137,0.005794,11.6457,0.003825,9.816,0.024,9.849,0.019,9.808,0.06,8.369,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
113978124,5583.67,9.96245,0.986,0.948109,0.0010446263712001,6.425659769503117e+16,54.6369267951588,21.2842632388508,0.986,0.948109,8.50796,11.372,0.112,10.349,0.01,9.316,0.02,8.978,0.021,8.882,0.018,10.4436,0.000798,10.8387,0.002466,9.9173,0.002003,8.835,0.022,8.88,0.021,8.815,0.028,8.43,0.334,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
113982192,6431.0,9.42944,1.299,1.1566,0.0007915677155999,6.51135596343392e+16,54.9215612288966,23.2908814279107,1.299,1.1566,7.08998,10.522,0.073,9.94,0.03,8.92,0.02,8.686,0.02,8.634,0.019,9.80654,0.000588,10.1018,0.001832,9.3837,0.001348,8.591,0.023,8.605,0.021,8.343,0.024,7.128,0.106,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114021052,5503.0,7.5249,0.97,0.877681,0.00032718215952,5.592237639209047e+18,113.947760109677,-32.2039007222959,0.97,0.877681,27.4077,8.858,0.0,8.23,0.03,6.905,0.026,6.578,0.046,6.458,0.024,8.00293,0.000894,8.40557,0.003267,7.48841,0.002929,6.448,0.087,6.369,0.025,6.416,0.015,5.644,0.036,38.5,,Argus,
114029810,5683.09,10.2181,1.011,0.940784,0.00120313044864,6.81297648428896e+16,55.1432049289415,23.6826086351957,1.011,0.940784,7.42664,11.491,0.13,10.734,0.009,9.585,0.02,9.241,0.021,9.148,0.017,10.6978,0.000778,11.0889,0.00279,10.1706,0.001689,9.114,0.022,9.144,0.021,9.121,0.038,8.289,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114029971,5805.0,10.188,1.043,0.922655,0.0011412791568001,6.511916456741786e+16,55.2101720045527,23.4184416126824,1.043,0.922655,7.40397,11.755,0.192,11.007,0.013,9.531,0.021,9.192,0.023,9.123,0.018,10.6592,0.000789,11.042,0.002617,10.1408,0.002137,9.11,0.026,9.122,0.024,9.12,0.041,8.67,0.48,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114060256,6722.23,8.74282,1.431,1.3226,0.0006206955695999,6.512047023746048e+16,55.3456961973142,23.4869364737612,1.431,1.3226,7.51535,9.556,0.044,9.17,0.03,8.279,0.021,8.178,0.02,8.094,0.015,9.06211,0.000246,9.3083,0.001429,8.70216,0.001932,8.036,0.024,8.051,0.019,8.053,0.022,8.099,0.335,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114060377,5552.25,10.4601,0.978,0.833681,0.0013526182367998,6.51509473253696e+16,55.3659453127055,23.7083400621492,0.978,0.833681,7.39251,11.956,0.21,11.143,0.015,9.761,0.02,9.407,0.023,9.313,0.018,10.9669,0.001142,11.391,0.003094,10.4154,0.002065,9.281,0.022,9.333,0.02,9.281,0.037,8.662,0.428,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114083795,6307.0,9.32852,1.24,1.11786,0.0007623728467199,6.431799854764134e+16,55.5999792000907,21.4734907525017,1.24,1.11786,7.71946,10.333,0.06,9.85,0.03,8.797,0.021,8.604,0.029,8.526,0.019,9.70646,0.000408,10.0014,0.001387,9.28329,0.001359,8.48,0.023,8.503,0.02,8.479,0.026,8.031,0.267,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114084192,5743.0,9.75913,1.026,1.10987,0.0009775187495998,6.444972948799091e+16,55.6001025364815,22.4211389800974,1.026,1.10987,7.24834,11.011,0.058,10.4,0.03,9.117,0.022,8.868,0.026,8.758,0.018,10.2034,0.001623,10.56,0.004629,9.71227,0.003968,8.723,0.021,8.741,0.02,8.707,0.03,8.585,0.414,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114084199,4977.21,10.7142,0.82,1.10791,0.0014998851792,6.445028354025024e+16,55.5164169793341,22.4269097519254,0.82,1.10791,7.04203,12.732,0.048,11.715,0.034,9.797,0.022,9.338,0.021,9.159,0.018,11.3588,0.002836,11.9387,0.006678,10.6815,0.004329,9.13,0.027,9.138,0.026,9.049,0.035,8.33,0.302,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114084434,6431.0,8.7108,1.299,1.46663,0.0006531374937599,6.50275958648e+16,55.5196823614258,22.8585572954206,1.299,1.46663,7.36894,9.638,0.052,9.17,0.03,8.236,0.019,8.033,0.023,8.002,0.029,9.04963,0.000351,9.31048,0.001521,8.66825,0.000712,7.974,0.024,7.993,0.02,8.026,0.023,7.911,0.191,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114085232,4672.32,11.4952,0.744,0.657917,0.02693734580952,6.512950684873114e+16,55.676588231116,23.5028631610491,0.744,0.657917,8.29418,13.471,0.063,12.373,0.057,10.344,0.022,9.821,0.021,9.675,0.022,12.1799,0.002188,12.8084,0.008991,11.439,0.006797,9.643,0.023,9.65,0.021,9.535,0.046,8.345,0.303,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114085501,5130.41,11.2159,0.865,0.668182,0.002081543616,6.503034464385178e+16,55.7467299592374,22.9009039830852,0.865,0.668182,7.64526,13.033,0.095,12.183,0.057,10.28,0.02,9.85,0.024,9.713,0.019,11.8239,0.001221,12.3572,0.003656,11.1656,0.002738,9.66,0.023,9.706,0.02,9.598,0.049,8.362,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114165968,4845.0,11.6226,0.787,0.697735,0.0025133473403998,6.35473783354432e+16,55.8111994102468,21.1527885715696,0.787,0.697735,7.59676,13.725,0.033,12.521,0.069,10.627,0.018,10.101,0.018,9.973,0.016,12.3069,0.00129,12.9222,0.005177,11.5751,0.003419,9.927,0.023,9.979,0.02,9.843,0.054,8.9,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114166409,6138.04,9.75864,1.163,1.11773,0.0009559353297599,6.438063635058854e+16,55.8797074423167,22.1583778195718,1.163,1.11773,7.38156,11.148,0.111,10.466,0.008,9.086,0.02,8.819,0.021,8.777,0.021,10.2288,0.000751,10.6132,0.001432,9.71323,0.001932,8.693,0.024,8.712,0.02,8.741,0.029,8.243,,112.0,,PLE,
114166829,6018.23,9.84777,1.114,1.05145,0.0010213472591998,6.506370794977254e+16,55.8522459728289,23.2259270947932,1.114,1.05145,7.17749,11.231,0.100005,10.51,0.001,9.101,0.019,8.722,0.017,8.655,0.018,10.3491,0.000491,10.7593,0.001233,9.79821,0.001944,8.542,0.024,8.55,0.021,8.554,0.027,8.264,,135.0,,Theia_369,Kounkel+2019;Kounkel+2020
114237359,7768.0,9.0425,1.837,1.57677,0.0010999298692799,3.39884377580894e+18,87.8954186645169,19.3733110047259,1.837,1.57677,4.50667,9.443,0.034,9.233,0.003,8.778,0.021,8.715,0.026,8.685,0.019,9.20066,0.000834,9.32867,0.001003,9.01017,0.001277,8.658,0.024,8.678,0.022,8.587,0.031,7.204,0.121,58.0,,Per OB3,Kerr+2023
116011834,7852.0,8.5059,1.871,1.69788,0.0019350859607999,4.3919143715906e+17,44.4754450600712,48.8787236611285,1.871,1.69788,5.47685,8.931,0.013,8.73,0.03,8.204,0.027,8.158,0.029,8.121,0.027,8.67749,0.000637,8.816,0.001791,8.468,0.002188,8.066,0.022,8.077,0.02,8.086,0.02,8.076,0.218,58.0,,Per OB3,Kerr+2023
11614485,3309.0,11.6243,0.353185,0.36645,0.0026763834556799,5.040416186560252e+18,20.7122305228039,-24.6640814762897,0.353185,0.36645,29.5326,15.706,0.071,14.244,0.074,10.084,0.028,9.47,0.023,9.198,0.026,12.9025,0.001151,14.4402,0.003465,11.7008,0.002122,9.022,0.023,8.857,0.019,8.747,0.031,8.298,0.317,22.5,,ABDor,
116209991,6668.0,9.84544,1.408,0.898847,0.0009154491084,4.412451874424112e+17,45.0465823266505,53.4297487184132,1.408,0.898847,8.82594,11.196,0.089,10.517,0.006,9.145,0.024,8.741,0.033,8.645,0.018,10.335,0.000253,10.7384,0.000842,9.79291,0.00067,8.615,0.023,8.67,0.02,8.6,0.024,8.325,0.274,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
116492352,6252.0,9.41861,1.214,1.56208,0.0007141555965599,4.3927630571520166e+17,45.7865620241749,49.6435031497368,1.214,1.56208,5.47324,10.524,0.071,10.068,0.005,8.798,0.027,8.528,0.024,8.515,0.025,9.81855,0.000234,10.1308,0.000663,9.36961,0.000825,8.348,0.023,8.356,0.02,8.36,0.021,8.458,0.314,58.0,,Per OB3,Kerr+2023
116495965,5624.68,10.4253,0.996,0.831555,0.0011931422911199,4.361145569475319e+17,45.9064242208698,48.3964410428021,0.996,0.831555,7.27164,12.183,0.21,11.105,0.02,9.773,0.022,9.39,0.021,9.341,0.023,10.924,0.001799,11.3279,0.006427,10.3688,0.004076,9.228,0.024,9.257,0.02,9.179,0.032,8.742,,58.0,,Per OB3,Kerr+2023
116848291,5340.87,11.6108,0.922,0.658214,0.0022138566249601,4.362538513289431e+17,46.7809115696825,49.0985310005173,0.922,0.658214,5.75444,13.337,0.054,12.726,0.069,10.807,0.022,10.359,0.021,10.204,0.018,12.2147,0.0009,12.738,0.002894,11.5528,0.002138,10.131,0.023,10.164,0.021,10.012,0.056,8.593,,58.0,,Per OB3,Kerr+2023
117114750,6083.57,9.74117,1.14,1.04752,0.0020343956796001,4.3592568146849e+17,47.8201938533084,48.1768517008382,1.14,1.04752,7.08502,11.183,0.109,10.478,0.008,9.129,0.032,8.841,0.023,8.715,0.018,10.2042,0.00111,10.5754,0.003508,9.6905,0.002777,8.653,0.023,8.659,0.02,8.61,0.027,8.535,0.373,58.0,,Per OB3,Kerr+2023
117118743,5574.0,10.438,0.984,1.11634,0.00320853029472,4.36802645068907e+17,47.6740267872266,50.5255747334523,0.984,1.11634,5.73916,11.816,0.177,11.077,0.012,9.707,0.023,9.415,0.022,9.28,0.02,10.9319,0.002025,11.3476,0.005335,10.4,0.004521,9.227,0.023,9.244,0.02,9.153,0.031,8.717,0.363,58.0,,Per OB3,Kerr+2023
117167689,4929.0,11.0463,0.81,0.970951,0.00170396677944,4.399276246141138e+17,47.8326115736482,51.8035800874098,0.81,0.970951,6.18978,12.731,0.3,11.632,0.028,10.197,0.023,9.764,0.023,9.625,0.022,11.6415,0.001502,12.1591,0.004857,10.9931,0.003568,9.529,0.024,9.54,0.02,9.414,0.044,8.493,,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
117179162,3896.0,11.7547,0.598458,0.612862,0.00366491366784,4.367794479461422e+17,48.0049207042554,50.1765819462279,0.598458,0.612862,11.2515,14.83,0.008,13.442,0.091,10.539,0.023,9.883,0.024,9.731,0.021,12.701,0.00025,13.6293,0.001302,11.763,0.000982,9.601,0.023,9.615,0.021,9.482,0.046,8.66,,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
117225312,3770.0,9.95569,0.608107,0.625106,0.00127789346664,1.8517871798790072e+18,319.640654282269,30.2429500461638,0.608107,0.625106,26.7573,13.239,0.217,11.849,0.054,8.643,0.023,7.982,0.023,7.787,0.016,10.9408,0.001763,11.9766,0.003022,9.97557,0.001952,7.733,0.027,7.705,0.02,7.599,0.019,7.572,0.123,160.0,,Crius_227,
117262738,7142.0,8.27911,1.591,1.56869,0.0021205415462399,4.359094636676048e+17,47.9214599694773,48.0541116965871,1.591,1.56869,7.40441,8.958,0.005,8.618,0.005,7.914,0.026,7.79,0.015,7.766,0.027,8.53587,0.000304,8.73396,0.000722,8.23935,0.000815,7.698,0.029,7.713,0.02,7.654,0.02,7.297,0.112,58.0,,Per OB3,Kerr+2023
117505069,6488.0,9.63765,1.326,1.24104,0.00083433897504,4.36499557817967e+17,48.8481815003714,49.4402797559444,1.326,1.24104,5.52823,10.625,0.091,10.12,0.03,9.111,0.021,8.924,0.017,8.846,0.018,10.0078,0.000298,10.2922,0.000788,9.59015,0.000766,8.798,0.023,8.817,0.02,8.787,0.026,8.659,0.428,58.0,,Per OB3,Kerr+2023
