,tic,ra,dec,teff,plx,rstar,mstar,tmag,age,assoc,ref,rms
923,284159822,82.67264591,8.84147335,6557.17,2.42616,1.59944,1.36,11.0227,,OSFC,roquette25,0.0004626140258523481
924,200514491,82.80683785,9.029306534,4125.0,2.46979,1.22128,0.65,13.7362,,OSFC,roquette25,
925,284159439,82.72982573,9.264657578,10879.0,2.51096,1.77973,2.83,9.5907,,OSFC,roquette25,0.0002003816448617468
926,200519481,82.96851541,9.385774423,3738.0,2.50012,1.27519,0.56,14.113,,OSFC,roquette25,
927,200525203,83.11534982,9.630428379,3858.0,2.43403,1.00394,0.59,14.5289,,OSFC,roquette25,
928,200525421,83.02769239,9.899467298,5650.0,2.55596,1.50242,1.0,11.7364,,OSFC,roquette25,0.0007850344621286587
929,284997053,82.4534125,11.113533333333333,3974.0,2.3407,1.09601,0.62,14.268,,OSFC,roquette25,
930,200515337,82.8025054,10.02544689,3441.0,2.51314,0.667102,0.639794,15.1585,,OSFC,roquette25,
931,284158089,82.75723985,10.55859209,4460.97,2.53927,1.45288,0.7,12.7854,,OSFC,roquette25,0.0015105016456848364
932,200591757,85.373101,9.122326,4559.32,2.52133,1.68631,,12.2867,,OSFC,roquette25,0.0011170146886067822
933,284995176,82.31635877,11.04843671,3411.0,2.53762,1.12069,0.41,14.8818,,OSFC,roquette25,
934,284200846,84.43947694,8.956261962,3521.0,2.79942,1.2136,0.47,14.0699,,OSFC,roquette25,
935,436098476,83.82940917,9.376120317,3808.0,2.60478,1.00725,0.58,14.3587,,OSFC,roquette25,
936,144546397,84.59165886,9.417538998,3531.0,2.70302,1.29299,,14.2041,,OSFC,roquette25,
937,436246042,83.98768574,11.8187488,3380.0,2.60021,0.646522,0.624514,15.2236,,OSFC,roquette25,
938,156187711,86.26714583333332,9.081213889,3988.0,2.47928,1.6028,,14.0618,,OSFC,roquette25,
939,365750395,81.80861112,8.789235782,3938.0,2.55609,1.48509,,13.7072,,OSFC,roquette25,
940,365693807,81.64143871,8.852323414,3324.0,2.47884,0.703625,0.666061,15.079,,OSFC,roquette25,
941,200540082,83.24776666666668,11.654069444444444,4028.0,2.49781,1.48739,,13.3697,,OSFC,roquette25,
942,284999221,82.49660543,9.140891183,3963.0,2.53982,1.57343,,13.2918,,OSFC,roquette25,0.0022062924630705805
943,200588087,83.26313333333333,10.93562222222222,3723.0,2.38861,1.59884,,13.6817,,OSFC,roquette25,0.004601820966709941
944,284911937,82.31374842,9.150640786,3889.0,2.49833,1.26451,0.6,13.9016,,OSFC,roquette25,
945,284998878,82.51625472,9.44877534,4478.4,2.36564,1.56435,,12.8721,,OSFC,roquette25,0.0015513826156612204
946,284912372,82.30924257,9.527011641,3308.0,2.48663,0.69824,0.662238,15.1859,,OSFC,roquette25,
947,302672834,82.6212125,12.56579722222222,6973.0,2.38965,,,14.7396,,OSFC,roquette25,
948,365778810,81.99152012,10.52685193,3402.0,2.35277,0.953329,0.4,15.3975,,OSFC,roquette25,
949,715999597,83.65116666666665,9.925605555555556,,0.12025,,,19.2141,,OSFC,roquette25,
950,200540802,83.24653333333335,10.882311111111113,4042.0,2.49812,,,13.5888,,OSFC,roquette25,0.003010813441635188
951,715999716,83.783125,10.001736111111107,,,,,17.983,,OSFC,roquette25,
952,436248363,84.19525,9.91417,4926.7,1.15767,3.44752,,12.3725,,OSFC,roquette25,0.0010465231133844483
953,156187576,86.22006666666668,9.218105555555557,4092.0,2.47664,1.39912,,13.2516,,OSFC,roquette25,0.003942881663040396
954,284284089,85.96807499999998,9.283422222,3328.0,2.41922,1.49007,,14.503,,OSFC,roquette25,
955,200539981,83.24574166666669,11.772072222222222,4305.82,2.50046,1.60329,,12.7453,,OSFC,roquette25,0.0022279620494849994
956,200639700,85.88991666666666,9.282336111,,,,,13.0849,,OSFC,roquette25,
957,200639561,85.88413333333334,9.156758333333332,,,,,13.2138,,OSFC,roquette25,0.005294593099929301
958,436106075,83.80241666666666,9.886333333333331,,,,,15.0362,,OSFC,roquette25,
959,200640092,85.86807916666666,9.619061111111112,4027.0,5.74283,1.26696,0.629,11.677,,OSFC,roquette25,0.0006593548341676803
960,200639477,85.84675,9.092188889,,,,,12.4428,,OSFC,roquette25,0.0043958253659610175
961,284199852,84.35687916666666,9.828722222222224,,,,,14.4301,,OSFC,roquette25,
962,200639492,85.83716666666668,9.101977777777778,4211.0,2.52095,2.58683,,11.7577,,OSFC,roquette25,0.0032654943042145085
963,302761607,82.80204,12.131799697875977,3156.0,2.44694,,,15.4666,,OSFC,roquette25,
964,309795683,85.72915,9.250408333333334,,,,,13.8101,,OSFC,roquette25,0.005349265962062422
965,200604904,85.64587499999999,9.442641666666669,,,,,14.323,,OSFC,roquette25,
966,200605165,85.63517500000002,9.572938888888888,3430.0,2.71692,1.24873,,14.4747,,OSFC,roquette25,
967,436008450,83.72395833333333,9.449308333333333,3919.0,2.46835,0.996048,0.609,14.2485,,OSFC,roquette25,
968,290174508,85.4733125,9.562536111,,,,,14.1238,,OSFC,roquette25,
969,284284126,85.98575416666667,9.304694444444443,3628.0,2.65707,0.773094,0.52,15.2178,,OSFC,roquette25,
970,200592903,85.38196666666668,10.173902777777778,3838.0,2.63133,1.90394,,12.8975,,OSFC,roquette25,0.0016950010230704082
971,371626230,79.64924,7.60395,3404.0,2.42828,0.653596,0.629815,15.7116,,OSFC,roquette25,
972,200592827,85.345,10.112108333333332,4881.21,2.28771,1.65509,,12.4391,,OSFC,roquette25,0.00110705186009738
973,435934927,83.423868,11.615748,3608.0,2.54759,1.00864,0.512,14.7108,,OSFC,roquette25,
974,144702974,85.00854583333332,9.925388888888888,5341.96,3.6538,0.886568,0.923,12.0252,,OSFC,roquette25,0.0011408909737189998
975,144697607,84.95004583333333,9.850730555555558,3290.0,2.54001,0.706471,0.668077,15.296,,OSFC,roquette25,
976,284284773,85.98150416666668,9.8086,3810.0,2.31828,1.85881,,13.2703,,OSFC,roquette25,0.0027258000543674277
977,200517085,82.97058,12.048800468444824,2953.0,2.63377,0.617549,0.602176,15.8784,,OSFC,roquette25,
978,144666722,84.79221250000002,9.667088889,3413.0,2.67942,1.20579,0.41,14.6332,,OSFC,roquette25,
979,144666702,84.77887083333336,9.687125000000002,3598.0,2.52216,0.963149,0.51,14.9413,,OSFC,roquette25,
980,144666385,84.747725,9.957205555555555,3480.0,2.50216,1.0598,0.45,14.8806,,OSFC,roquette25,
981,302538729,82.39255,12.939358333333333,3830.0,2.69762,1.7414,,12.9655,,OSFC,roquette25,0.0029563977064708813
982,436153859,83.97868,9.73417,4823.32,0.681008,8.20595,,11.68,,OSFC,roquette25,0.0007239913037756368
983,144616828,84.67932916666666,9.930544444444443,3357.0,2.4052,1.20413,0.37,14.8317,,OSFC,roquette25,
984,144617252,84.65269583333333,10.285783333333336,3568.0,2.1998,1.25405,0.49,14.6704,,OSFC,roquette25,
985,144546338,84.581825,9.471380555555555,,,,,14.9056,,OSFC,roquette25,
986,284199380,84.39265833333336,10.232430555555556,3607.0,2.44248,0.936891,0.51,15.094,,OSFC,roquette25,
987,436248383,84.19633333333333,10.097747222222225,4047.0,2.47955,1.27628,0.63,13.885,,OSFC,roquette25,
988,436103156,83.82370833333331,9.3958,4645.37,2.46084,1.44439,0.74,12.6767,,OSFC,roquette25,0.0013075917429282435
989,436337242,84.3455625,10.1181,3627.0,2.51504,0.85435,0.52,15.1048,,OSFC,roquette25,
990,302830354,82.98654,12.419400215148926,3477.0,2.7772,1.12124,0.446,14.4964,,OSFC,roquette25,
991,302762023,82.85325907,12.20205554,3918.0,2.49713,1.73281,,14.1068,,OSFC,roquette25,
992,302831734,83.1955,12.662294444444443,3990.0,2.50924,1.63407,,13.4869,,OSFC,roquette25,0.003973657465066172
993,436008726,83.50987,10.36854,4299.0,0.0472497,32.4324,,12.6401,,OSFC,roquette25,
994,436331620,84.28371657,9.461406916,3679.0,2.41542,1.01245,0.54,14.773,,OSFC,roquette25,
995,436012515,83.71911,9.93057,3613.0,2.60675,0.577532,0.51,15.8091,,OSFC,roquette25,
996,200640498,85.92532500000002,10.039119444444443,4122.0,2.36482,1.85163,,12.7486,,OSFC,roquette25,0.0017600410093761287
997,436158992,84.04316666666666,10.148583333333336,4057.3,0.133942,30.8734,,12.8609,,OSFC,roquette25,0.0013120563953027131
998,284284877,85.935875,9.883747222222222,4228.0,2.43405,,,12.219,,OSFC,roquette25,
999,436098497,83.78462,9.56473,4684.0,0.374618,8.4165,,12.8828,,OSFC,roquette25,0.0013934963399422906
1000,436013377,83.70629166666669,9.979961111,3282.0,,0.510336,0.508177,16.2384,,OSFC,roquette25,
1001,302671707,82.561497,12.460156,,,,,16.4584,,OSFC,roquette25,
1002,302830371,83.079361,12.40625,,,,,12.586,,OSFC,roquette25,0.0025601448877242416
1003,436098496,83.78983333333335,9.536038889,4525.19,2.45865,1.48293,,12.7062,,OSFC,roquette25,0.0012465025868807489
1004,200639875,85.90262083333334,9.415416666666667,3933.0,2.37464,1.63001,,13.2803,,OSFC,roquette25,0.00221232973330987
