tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,rec_prob,tr_prob,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
144700586,650.0,1.2120552281711392,1.834717791556596,73.40073861301207,3.340291448734176e+18,85.0301123846388,11.8074252170291,10.0205,16.4522,,,,,14.508,0.033,13.831,0.032,13.583,0.043,17.957,0.001933,19.8148,0.062963,16.5656,0.007928,13.382,0.026,13.182,0.031,12.125,,8.804,,Hyades,650.0,Lodieu2019,3068.0,0.167342,0.137928,[12],1,73.40073861301207,1.2120552281711392,,0.0640244266046627,0.08229242009639781,,,0.0066314705124903,0.004386660318107597,,0,,0,,0
264541923,650.0,1.7443622908392824,3.971510727511597,20.948881716480848,3.2218834609913964e+18,81.6362135949084,0.956425242744378,13.4669,17.3578,,,,,14.921,0.049,14.171,0.046,13.782,0.056,19.0683,0.004217,21.2571,0.172208,17.5096,0.021919,13.67,0.026,13.438,0.031,12.504,0.452,8.409,,Hyades,650.0,Lodieu2019,2887.0,0.126137,0.101398,[3],1,,,,0.132777227617504,0.2194605255775486,,,0.0066314705124903,,,0,,0,,0
123580550,650.0,3.31622068503064,10.586790232793671,7.980867724066065,3.050998124020262e+18,102.988104047629,-8.38959707124864,,12.9229,17.371,0.0,15.852,0.195,11.234,0.026,10.598,0.023,10.356,0.024,14.2596,0.000853,15.8905,0.006348,13.0096,0.00241,10.208,0.023,10.045,0.02,9.904,0.051,8.731,,Hyades,650.0,Lodieu2019,3240.0,0.449879,0.446424,[13],1,7.980867724066065,3.31622068503064,,0.01291540282298105,0.010511054628022262,,,0.0066314705124903,0.034996661613752485,,0,,0,,0
436157851,650.0,2.0343055611386283,1.2298625670656962,58.96762626300279,3.333966409312501e+18,84.060551823286,6.95620670637473,12.9666,13.1063,17.235,0.163,15.741,0.137,11.548,0.024,10.909,0.024,10.666,0.021,14.3607,0.001117,15.8294,0.005171,13.1753,0.002281,10.523,0.023,10.388,0.021,10.239,0.071,8.762,,Hyades,650.0,Roeser2019,3351.0,0.409978,0.402699,[10],1,58.96762626300279,2.0343055611386283,,0.012912424240770671,0.010572622441500843,,,0.0066314705124903,0.008701045149982784,,0,,0,,0
264631371,650.0,0.8930594554898293,0.6199974825806546,48.70233405532724,3.223734390032419e+18,82.1980889762546,1.86877822407172,15.3436,12.9278,17.257,0.162,14.98,0.2,11.231,0.023,10.635,0.022,10.399,0.022,14.2251,0.001963,15.7758,0.012979,13.0059,0.006135,10.235,0.023,10.089,0.022,9.901,0.053,8.709,,Hyades,650.0,Roeser2019,3294.0,0.396127,0.387101,[3],1,48.70233405532724,0.8930594554898293,,0.011345340678074401,0.009234664454230282,,,0.0066314705124903,0.009676983061947345,,0,,0,,0
138936446,650.0,2.392382850636721,6.58976764384804,91.06755535103996,3.223884404650487e+18,83.1269817105711,2.64839590619952,15.5387,7.0536,7.939,0.026,7.47,0.002,6.611,0.019,6.485,0.031,6.37,0.024,7.37333,0.000291,7.62526,0.002182,7.02007,0.00149,6.369,0.087,6.344,0.026,6.397,0.014,6.348,0.063,Hyades,650.0,Roeser2019,6529.0,1.43709,1.35,"[3, 10]",2,,,,0.003682261044580154,0.0006225427311569421,,,0.0066314705124903,,,0,,0,,0
323420504,650.0,1.7138684216065072,1.956169307949998,20.623906529272265,3.223261634391666e+18,84.5994345901729,2.40221680759909,16.0163,14.4669,19.072,0.162,,,12.606,0.024,12.047,0.026,11.757,0.026,15.8884,0.000886,17.7799,0.012496,14.5778,0.002798,11.55,0.025,11.357,0.022,11.476,0.218,8.314,,Hyades,650.0,Roeser2019,3089.0,0.22949,0.199013,[3],1,20.623906529272265,1.7138684216065072,,0.023110893278700365,0.020657671934639167,,,0.0066314705124903,0.012409934230731546,,0,,0,,0
220062121,650.0,2.7796662827174754,11.608250977354668,5.824525642550256,3.2242986456558326e+18,83.8110169504359,3.11813115870097,12.4951,14.2078,19.073,0.162,17.127,1.133,12.519,0.026,11.94,0.024,11.633,0.028,15.5647,0.000954,17.2599,0.011081,14.2999,0.007207,11.447,0.023,11.291,0.022,11.349,0.183,8.891,,Hyades,650.0,Roeser2019,3202.0,0.296756,0.272921,[10],1,5.824525642550256,2.7796662827174754,,0.017799160085922194,0.015528116719021825,,,0.0066314705124903,0.03355523618893845,,0,,0,,0
436334950,650.0,1.888916817295325,1.2103791096073728,8.164262737846045,3.3347996329678587e+18,84.2374011029544,8.75677313139385,15.0469,15.6662,,,,,13.602,0.03,13.025,0.027,12.671,0.03,17.189,0.002308,19.2104,0.04849,15.7932,0.004696,12.457,0.025,12.269,0.024,12.02,,8.786,,Hyades,650.0,Roeser2019,2997.0,0.169241,0.139671,[12],1,8.164262737846045,1.888916817295325,,0.044072922512462795,0.0471765636343557,,,0.0066314705124903,0.01910171396399372,,0,,0,,0
264485406,650.0,2.7148486197173014,43.37587481004535,16.25926543625087,3.2217976346599864e+18,81.565462677829,0.562909117263357,19.3555,13.5094,18.568,0.162,16.13,0.2,11.716,0.022,11.139,0.022,10.898,0.019,14.8862,0.000638,16.661,0.005472,13.6092,0.002088,10.712,0.022,10.522,0.021,10.208,0.067,8.851,,Hyades,650.0,Roeser2019,3159.0,0.273434,0.246627,[3],1,16.25926543625087,2.7148486197173014,,0.015745228925637705,0.013114551319239203,,,0.0066314705124903,0.016130649161667805,,0,,0,,0
200639287,650.0,1.9127140071569095,2.168781484101914,42.70034770683343,3.336095678002852e+18,85.889440008432,8.92972783218477,18.4671,11.0451,14.34,0.056,12.694,0.057,9.789,0.021,9.106,0.021,8.932,0.022,12.0516,0.000356,13.0827,0.002482,11.0656,0.001732,8.8,0.023,8.8,0.02,8.691,0.027,8.184,,Hyades,650.0,Roeser2019,3756.0,0.563507,0.557243,[12],1,42.70034770683343,1.9127140071569095,,0.005154363082237441,0.004078182024842935,,,0.0066314705124903,0.01330894563363337,,0,,0,,0
