tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
156393348,1905.4607179632444,1.3863487265215235,3.0778293855154413,5.50041681735076,3.333420085176065e+18,87.0259724385791,7.30892163076695,0.38135,15.8937,16.606,0.079,16.6553,0.0459,15.13,0.049,14.766,0.074,14.689,0.09,16.4397,0.001047,16.8821,0.004945,15.8325,0.004142,14.456,0.033,14.465,0.061,12.519,,8.975,,Collinder_74,1905.4607179632444,Cantat-Gaudin2020,6003.0,1.28523,1.11,[5],1,5.50041681735076,1.3863487265215235,9.736871651000943e-05,0.014228608712821035,0.017026806560576997,110.54361729550745,5.454132113291244,0.705044463549456,0,0.21897637066544848,0,,0,,0
71966743,8.51138038202376,2.301088721042301,5.154471519820183,21.69347046656947,3.018462097476695e+18,91.7845202348767,-6.43135610039151,1.04602,14.1292,16.988,0.142,15.684,0.149,12.71,0.024,12.084,0.025,11.908,0.021,15.0636,0.002592,15.9498,0.012233,14.1269,0.008688,11.802,0.024,11.809,0.024,11.85,,8.498,,Theia130,8.51138038202376,Kounkel2020,6331.0,1.96702,1.25,[17],1,,,,,,,,,0,,0,,0,,0
178060479,23.442288153199225,1.9891362166322653,3.873472746810915,94.93670948232143,3.048308924736035e+18,107.853869301227,-9.13518542775534,0.384091,16.1088,,,16.8166,0.0459,15.32,0.06,14.945,0.066,14.831,0.143,16.6234,0.000887,17.026,0.00459,16.0387,0.003568,,,,,,,,,Theia1774,23.442288153199225,Kounkel2020,5798.0,1.1572,1.04,[2],1,,,,,,,,,0,,0,,0,,0
347614514,61.65950018614822,1.3004174879589094,2.397614807293305,90.71256179594435,5.976727677106936e+18,256.058002945507,-36.6634052978453,1.10895,13.0033,14.389,0.047,13.775,0.126,12.257,0.024,11.963,0.025,11.892,0.021,13.5029,0.000241,13.9043,0.001593,12.9346,0.000783,11.836,0.031,11.943,0.03,11.526,,8.18,,Theia195,61.65950018614822,Kounkel2020,6871.0,1.65486,1.49,[22],1,,,,,,,,,0,,0,,0,,0
436012279,10.0,3.061079920553062,24.01096355861584,14.434292089663112,3.3347695295402107e+18,83.73774065,8.85272189,2.68368,15.6475,20.17,0.163,,,13.821,0.03,13.157,0.029,12.947,0.03,17.0247,0.002689,18.7622,0.04296,15.7434,0.00534,12.765,0.024,12.569,0.025,11.132,0.175,7.895,0.216,OSFC,10.0,roquette25,3174.0,0.592426,0.581865,[5],1,,,,,,,,,0,,0,,0,,0
1537625934,436.51583224016656,1.2535489249562075,2.083379763616225,3.5145639642826234,5.959142298582456e+18,262.841600421758,-42.1489997144059,0.415675,16.4321,,,17.5779,0.0465,,,,,,,17.1826,0.001109,17.7727,0.011779,16.3157,0.008313,,,,,,,,,Theia4673,436.51583224016656,Kounkel2020,6243.0,1.3139,1.21,[23],1,,,,,,,,,0,,0,,0,,0
408793658,14.490728211606326,1.884889123984961,3.144303228240897,51.04470340374677,5.957652872713411e+18,265.189935048549,-40.9522825408669,6.58286,13.9991,18.044,0.166,16.891,0.435,12.232,0.023,11.646,0.029,11.362,0.024,15.3431,0.001419,16.984,0.006744,14.0865,0.003067,11.201,0.024,11.07,0.025,11.527,0.206,9.162,,ScoCen,14.490728211606326,Ratzenbock2023,3232.0,0.529931,0.526846,[23],1,,,,,,,,,0,,0,,0,,0
116482019,38.01893963205613,2.675880735732848,12.923255588890298,44.3801049814688,4.066727240704722e+18,273.121174917359,-22.3418998881685,0.379097,13.5828,15.957,0.065,14.599,0.15,12.411,0.054,11.35,,11.08,,14.1813,0.000446,14.6631,0.002096,13.4988,0.003285,,,,,,,,,Theia1898,38.01893963205613,Kounkel2020,6793.0,4.10856,1.46,[11],1,44.3801049814688,2.675880735732848,3.54968991772446e-05,0.0053162726489373105,0.00474308032512894,631.0015358245287,0.6759785722121815,0.49374096943355195,0,0.20713968611807648,0,,0,,0
174517703,478.630092322638,2.1367611876270307,4.992629342166469,16.889973770534993,4.267963569652667e+18,288.704022971823,2.49383638830593,0.715843,15.7909,17.882,0.079,16.515,1.133,14.787,0.049,14.381,0.06,14.237,0.083,16.5321,0.00058,17.1914,0.005047,15.7476,0.002673,,,,,,,,,Theia4863,478.630092322638,Kounkel2020,5264.0,1.09524,0.9,[21],1,,,,,,,,,0,,0,,0,,0
337772663,239.88329190194943,1.971545581961513,13.757060066524389,6.407775328392482,2.021342077783053e+18,293.557871393836,24.9341107645945,2.40416,16.8903,,,,,15.185,0.048,14.588,0.061,14.319,0.085,18.2378,0.001672,19.8685,0.041836,16.9757,0.007186,,,,,,,,,Theia821,239.88329190194943,Kounkel2020,3234.0,0.409935,0.40265,[10],1,,,,,,,,,0,,0,,0,,0
43278201,61.65950018614822,1.8363558599951684,9.9886690087652,46.45139890147724,5.977183497726579e+18,257.05380210751,-35.5882834481851,1.12991,14.3254,16.522,0.034,15.431,0.126,13.266,0.026,12.909,0.031,12.814,0.04,15.0552,0.00035,15.6939,0.003338,14.2795,0.00136,12.585,0.029,13.024,0.033,12.135,,8.99,,Theia195,61.65950018614822,Kounkel2020,5816.0,1.27772,1.05,[22],1,,,,,,,,,0,,0,,0,,0
