ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,dstArcSec,TESS
1761575002,282.000074470506,-8.58990745525289,,,18.9757,STAR,gaia2,20190415,,,,,,,4251566243545817728,,,gaia2,,,,,,,24.8896722969687,-3.14753216291412,282.25088288707,14.3404934399334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4057,0.007399,0.6,goffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,-1,,,,,2.14475616301334,2.08396070362773,282.000074470506,-8.58990745525289,2.14475616301334,2.08396070362773,-1,-1,0.42575481807317656,18.9757
146395092,282.000325058257,-8.59000069508141,,,16.4061,STAR,tmgaia2,20190415,,,,18480007-0835237,,,4251566239167209984,,,tmgaia2,,,,,,,24.8897016211598,-3.14779527827804,282.251129483813,14.3403793892787,,,18.0227,0.0814,,,,,,,,,,,14.624,0.063,13.803,0.05,13.609,0.051,AAA-222-111-cc0-0-0,,,,,,,,,,17.3175,0.002016,0.0309,gbprp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1191,0.097042,16.1463,0.008856,0,,gaia2,,,0.12804429793165,0.118891876622202,282.000325058257,-8.59000069508141,0.12804429793165,0.118891876622202,0,0,1.1570855609572341,16.4061
1761575000,281.999542370986,-8.59059996451725,-0.854186,-7.35701,19.0302,STAR,gaia2,20190415,,,,,,,4251566243473626880,,,gaia2,1.38214,1.48763,gaia2,0.608473,0.719059,gaia2,24.8888215249801,-3.14737953724573,282.250268552073,14.3398489211849,,,20.6102,0.9712,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9293,0.008438,0.4847,gbprp,gaia2,,,,,,,,,,,,,,,,3228.99,2564.45,0.445298,0.247916,,,,,,0.166801,0.329031,panstarrs,,,,,,,,,,,1843.81,3285.08,bj2018,,,,19.9875,0.035728,18.0503,1.4305,0,,gaia2,,,21.495886814341,23.069222665121,281.999538651512,-8.59063164053281,0.728999700351341,0.710949761030664,1,0,2.7052971617333257,19.0302
146395091,281.999289817126,-8.58967801325763,-17.3729,7.97414,16.8569,STAR,tmgaia2,20190415,,,,18475980-0835227,,,4251566243545820288,,,tmgaia2,2.60432,2.60393,hsoy,,,,24.8895310069275,-3.14673882902444,282.250092967969,14.3407888233455,,,17.8947,0.0514,,,,,,,,,,,15.487,0.08,14.148,,13.765,,AUU-200-100-c00-0-0,,,,,,,,,,17.5407,0.001601,0.0082,gbprp,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0266,0.03966,16.6527,0.0268,0,,gaia2,,,40.4808655047184,40.3610672018447,281.999214168613,-8.58964368016195,0.118391207808526,0.110842386290483,1,0,2.7810639950788616,16.8569
1761574932,282.000746202105,-8.58948212442338,,,20.1185,STAR,gaia2,20190415,,,,,,,4251566243469548800,,,gaia2,,,,,,,24.8903536377835,-3.14793120969588,282.251603419743,14.3408605187779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5485,0.017398,0.6,goffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,-1,,,,,4.03397952175743,3.38912632806165,282.000746202105,-8.58948212442338,4.03397952175743,3.38912632806165,-1,-1,3.2451783860345644,20.1185
1761574929,281.998852782738,-8.58981446175165,-3.69977,-4.0095,18.4326,STAR,gaia2,20190415,,,,,,,4251566239184096640,,,gaia2,0.853567,0.832796,gaia2,0.155836,0.42205,gaia2,24.8892129270821,-3.14641558530397,282.249636543865,14.3406897578902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8626,0.00571,0.6,goffs,gaia2,,,,,,,,,,,,,,,,3789.87,2555.97,0.478516,0.244102,,,,,,0.184756,0.303448,panstarrs,,,,,,,,,,,1837.15,3274.79,bj2018,,,,,0.0,,0.0,-1,,,,,13.2760623277799,12.9176036392668,281.998836672463,-8.58983172487712,0.475378083746426,0.489176715466582,-1,-1,4.137919560003521,18.4326
1761574933,282.000828653018,-8.58902530617694,-1.3416,-7.50093,19.4103,STAR,gaia2,20190415,,,,,,,4251566243469548928,,,gaia2,1.54616,1.49207,gaia2,1.19105,0.831666,gaia2,24.8908047486567,-3.14779887344526,282.251715260725,14.3413092616074,,,20.4347,0.1079,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0879,0.010082,0.0593,gbprp,gaia2,,,,,,,,,,,,,,,,2779.42,2515.41,0.368078,0.2457345,,,,,,0.091332,0.400137,panstarrs,,,,,,,,,,,1777.53,3253.28,bj2018,,,,20.0489,0.195315,18.6899,0.05711,0,,gaia2,,,24.0469312259552,23.1409651771973,282.000822811169,-8.58905760184627,0.819327706589433,0.801379270404516,1,0,4.5839983454149325,19.4103
