ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,dstArcSec,TESS
139965042,276.999380118922,-22.5003679952079,0.00263551,-2.89857,16.2511,STAR,tmgaia2,20190415,,,,18275985-2230012,,,4089942123055389056,,,tmgaia2,0.280464,0.247256,gaia2,0.577913,0.149495,gaia2,10.2768110167641,-5.19523059097648,276.46480614261,0.78197424559407,20.634,0.177,17.544,0.0477,,,,,,,,,,,14.956,0.062,14.386,0.058,14.167,0.074,AAA-222-111-000-0-0,,,,,,,,,,17.0609,0.002345,0.014,rered,gaia2,4541.0,127.0,4.00784,,,,1.39245,,0.72,,0.26668,,DWARF,0.742783,,1771.71,670.37,0.207019,0.02255645,,,,,,0.0200895,0.0250234,panstarrs,,,,,,,,,,,452.1,888.64,bj2018,,,dered,17.7405,0.02106,16.1207,0.008013,1,,gaia2,bpbj,,4.43485402606414,3.83509025299554,276.999380131204,-22.5003804751622,0.14865583819779,0.14179660643811,1,0,2.4506447517774532,16.2511
1628132198,276.999942185818,-22.5012004830651,-1.83337,-5.46465,18.7258,STAR,gaia2,20190415,,,,,,,4089942118837709312,,,gaia2,0.713755,0.754957,gaia2,0.381441,0.351258,gaia2,10.2763066625075,-5.19607344307772,276.465284497438,0.781117562393197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1558,0.007441,0.6,goffs,gaia2,,,,,,,,,,,,,,,,3314.59,2506.14,0.25254,0.101321749,,,,,,0.0477785,0.154865,panstarrs,,,,,,,,,,,1641.42,3370.86,bj2018,,,,,0.0,,0.0,-1,,,,,11.2840194234887,11.7054252009008,276.99993364169,-22.5012240114186,0.302011377229372,0.289951499672108,-1,-1,4.3260146374852635,18.7258
1628132311,277.000477368026,-22.4987558387795,0.127359,-4.51615,19.0707,STAR,gaia2,20190415,,,,,,,4089942153197448960,,,gaia2,1.8184,1.79664,gaia2,-0.206341,0.741785,gaia2,10.2787162482829,-5.1953935373737,276.46589694045,0.783535359738203,,,20.3584,0.0764,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8622,0.007813,0.0255,gbprp,gaia2,,,,,,,,,,,,,,,,4170.13,2844.0,0.301184,0.0987437,,,,,,0.0898374,0.10765,panstarrs,,,,,,,,,,,2132.9,3555.11,bj2018,,,,20.1829,0.098427,18.5402,0.037212,0,,gaia2,,,28.7482367087906,27.8577813869011,277.000477961552,-22.4987752833135,0.787110912993744,0.741171689943725,1,0,4.75206386814632,19.0707
1628132277,276.998760119248,-22.4992412764864,-1.54471,-4.49182,17.7025,STAR,gaia2,20190415,,,,,,,4089942123055394688,,,gaia2,0.403716,0.350798,gaia2,0.203876,0.237871,gaia2,10.2775533999567,-5.19420541452297,276.464288579644,0.783127406521756,,,18.6086,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3226,0.003085,0.0082,gbprp,gaia2,,,,,,,,,,,,,,,,3979.01,2488.56,0.298685,0.09926475,,,,,,0.0890385,0.109491,panstarrs,,,,,,,,,,,1704.56,3272.57,bj2018,,,,18.5356,0.032792,17.3103,0.022025,0,,gaia2,,,6.38372002670606,5.44124232397821,276.998752920476,-22.4992606162673,0.212428856538611,0.205271493614554,1,0,4.946352638172897,17.7025
