tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
425961590,21.379620895022324,1.4378207539395005,3.558589992803748,65.19612247543145,4.103544829866399e+18,280.889608576239,-14.4459356546953,0.654352,15.2043,18.764,0.195,16.997,0.15,13.788,0.088,13.175,0.294,10.194,,16.0881,0.000863,16.8966,0.007416,15.1674,0.013409,,,,,,,,,Theia1753,21.379620895022324,Kounkel2020,5174.0,1.92841,0.88,[6],1,,,,,,,,,0,,0,,0,,0
147960763,57.54399373371567,2.220437355154056,4.501386940411466,2.652753816346761,2.9482250155237023e+18,105.699461904405,-15.1218515297502,0.891729,15.7747,17.537,0.114,16.552,1.133,14.707,0.033,14.159,0.037,13.898,0.052,16.4773,0.000508,17.0932,0.004467,15.7185,0.001859,13.935,0.029,13.97,0.042,12.521,,8.806,,Theia2063,57.54399373371567,Kounkel2020,5029.0,0.863295,0.84,[4],1,,,,,,,,,0,,0,,0,,0
125414195,114.8153621496884,2.395909488459562,0.6984753378287285,27.762739842299684,3.051561967323942e+18,105.67853905671,-8.37132499490932,0.995374,15.6617,17.777,0.112,16.6621,0.046,14.711,0.03,14.157,0.052,14.038,0.072,16.3355,0.0012,16.9171,0.005876,15.6011,0.005056,14.123,0.031,14.402,0.056,12.294,,8.626,,Theia294,114.8153621496884,Kounkel2020,5070.0,0.777588,0.85,[2],1,,,,,,,,,0,,0,,0,,0
1466482959,154.88166189124794,2.721004886012774,0.9249277238978184,20.060670524387803,4.119365878818473e+18,269.328202424917,-19.1326487691736,1.15628,16.3017,,,17.9678,0.0624,,,,,,,17.2738,0.001441,18.1923,0.060282,16.2358,0.013602,,,,,,,,,Theia653,154.88166189124794,Kounkel2020,4423.0,0.837923,0.69,[11],1,,,,,,,,,0,,0,,0,,0
464088070,218.7761623949552,2.149009089491985,1.425255592621643,24.26245647621699,5.959207921373538e+18,261.832199169334,-41.6802289320475,0.547655,15.4995,18.207,0.103,16.7095,0.0461,14.347,0.026,13.9,0.041,13.737,0.044,16.282,0.000779,16.975,0.005111,15.4563,0.007027,13.805,0.035,14.143,0.05,11.54,0.28,8.982,,Theia3432,218.7761623949552,Kounkel2020,5899.0,1.62587,1.07,[23],1,,,,,,,,,0,,0,,0,,0
433042248,2754.2287033381635,2.0310140921976347,2.352075595343431,17.36399123814215,4.10290849190237e+18,278.177149078117,-16.002490188914,0.626115,16.9402,,,18.2869,0.0548,15.657,0.089,14.843,0.072,14.598,0.094,17.773,0.002035,18.4483,0.049988,16.7752,0.01086,,,,,,,,,Ruprecht_171,2754.2287033381635,Cantat-Gaudin2020,4476.0,0.954223,0.7,[6],1,,,,,,,,,0,,0,,0,,0
201455036,208.9296130854041,1.8585266571971024,3.019388450134721,44.04088779441352,5.962022366246887e+18,261.981967896809,-38.4457715488925,7.4088,13.6968,17.496,0.173,16.219,0.195,12.228,0.028,11.579,0.026,11.368,0.023,14.8723,0.000519,16.1706,0.0048,13.7474,0.001986,11.195,0.026,11.22,0.028,10.384,0.22,8.339,0.39,Theia425,208.9296130854041,Kounkel2020,3475.0,0.486926,0.484987,[23],1,,,,,,,,,0,,0,,0,,0
181193643,162.1810097358933,2.9737446720395466,18.41460059207045,44.1284896338017,4.268992678188575e+18,287.690233891995,3.11123472021801,0.782871,16.288,18.42,0.086,17.6035,0.0464,15.098,0.059,14.626,0.058,14.322,0.096,17.1163,0.001102,17.8745,0.011301,16.2475,0.005686,,,,,,,,,Theia3011,162.1810097358933,Kounkel2020,4962.0,0.940237,0.82,[21],1,,,,,,,,,0,,0,,0,,0
42668625,1819.7008586099823,1.1335416618630725,1.4315532152192347,4.045503233065106,5.979745840936972e+18,256.893716075718,-33.5082901722,1.6332,13.085,15.087,0.029,14.045,0.092,12.062,0.037,11.654,0.076,11.515,0.065,13.7473,0.000202,14.3222,0.001945,13.0282,0.000947,,,,,,,,,Theia1427,1819.7008586099823,Kounkel2020,5047.0,1.54151,0.84,[22],1,,,,,,,,,0,,0,,0,,0
388850990,5.503982608784827,4.927312565586914,22.023871914778425,2.237994456062693,3.0171571446773263e+18,83.66075,-6.21659,2.61624,16.6091,,,,,14.597,0.033,13.948,0.042,13.684,0.035,18.1437,0.001888,20.1147,0.073685,16.7328,0.005487,13.523,0.026,13.271,0.031,11.624,,8.41,,OSFC,10.0,roquette25,3011.0,0.477369,0.47525,[0],1,,,,,,,,,0,,0,,0,,0
