tic,sigmaOptical,sigmaIR,mstar,rstar,teff,age,tmag,baseline
177323404,0.028420293100192437,0.025767145807493834,1.13,1.3438,6062.0,47.863009232263806,14.5995,45
269117375,0.014309361655275363,0.011558832707140783,0.8,1.24397,4893.79,9.979888002220898,12.6489,45
397079072,0.06699489322506985,0.059368118650883525,1.11,1.91645,6008.0,19.952623149688787,14.38,45
433168237,0.03781666315803235,0.037389758029727396,0.99,2.22972,5594.0,21.379620895022324,15.2314,45
436098590,0.05631917883663984,0.0537849855608973,0.534,0.833775,3661.0,8.703817918727173,15.006,45
61504216,0.04860332767262846,0.056728176819156206,1.03,0.996727,5756.0,22.90867652767775,16.0629,45
11300003,0.05720015368899836,0.07107002082763661,0.50556,0.507644,3224.0,6.0,16.3199,45
264485063,0.031481912293531755,0.02964895396013635,0.660664,0.696029,3371.0,13.71460285151741,14.9065,45
427399794,0.020778583731055993,0.018275123753551715,0.590433,0.602881,3473.0,6.157230058912342,14.2998,45
712995345,0.010827257582695551,0.008801410723998817,0.66,1.34648,4213.0,9.0,12.8843,45
50747957,0.09662987624162758,0.15817039919551332,0.320811,0.33841,2932.0,9.375450948084778,17.3238,45
172738995,0.006777865809466883,0.005399608953518544,1.053,0.985334,5840.0,30.19951720402019,11.8511,45
427458655,0.02706445911895563,0.023141776212906993,0.68,0.991063,4379.0,16.595869074375596,13.9493,45
124510769,0.04656456607228815,0.052637027024865994,0.446877,0.450303,3159.0,25.0,15.9229,45
50898963,0.007236315690518095,0.00574257887182063,1.08,2.60935,5910.4,5.982435334631933,11.4691,45
118926235,0.014766006826063908,0.012433850799490205,1.26,1.13314,6358.0,11.748975549395302,13.7111,45
35581547,0.01674315375123165,0.014207629870814958,1.08,2.76924,5928.0,22.90867652767775,13.8362,45
167159866,0.013442644952608182,0.011007197097945641,1.26,3.02208,6341.0,23.988329190194897,13.1074,45
264593460,0.007363868168233556,0.0058233951083342134,1.13,1.64413,6055.62,14.77777661148984,10.9532,45
177410627,0.022478863446353442,0.019591900593408536,1.04,1.69058,5791.0,23.442288153199225,14.1965,45
220066493,0.3883246483618952,0.47683589083794603,0.518527,0.52111,2931.0,9.0,16.2729,45
125636779,0.06333277891658033,0.07102943286311506,1.1,1.76726,5977.0,23.442288153199225,15.8873,45
427349399,0.027194697026139615,0.026261033750748276,0.48,0.941642,3549.0,7.282279959886279,15.0813,45
427334895,0.047477822255960235,0.0522727244794105,0.602104,0.617458,3188.0,12.206798475469888,15.802,45
177096600,0.03695842823217027,0.03602256228814659,1.42,2.66013,6701.0,41.68693834703355,15.1419,45
432416490,0.04085517863717899,0.043819767936199336,1.22,1.52604,6259.0,43.65158322401656,15.6761,45
264593719,0.013749927331766625,0.010874717174219888,0.985,1.12173,5579.94,12.647156623490815,10.9735,45
11195609,0.03604442857505688,0.03324639634120187,0.5,1.08296,3572.17,6.360538795412958,14.7458,45
50748234,0.06126830243560254,0.07269245455626784,0.536245,0.54008,3228.0,9.020051100205466,16.1322,45
220283004,0.03624592711007249,0.035860238381014146,0.62,1.19598,3968.0,2.5118864315095824,15.2354,45
